Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 02.03.2023	Time: 15:40:20

Name:	Group 21B Steel Tensile Test
User Comment:	Marcus Cleaver-Smith,Max Trachtenberg, Faisal Bindakhil, Kevan Kenner, Hannah Song

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0618	0.0285	Inf	Inf
0.0947	0.0997	Inf	Inf
0.1946	0.1143	Inf	Inf
0.2954	0.1150	Inf	Inf
0.3954	0.1353	Inf	Inf
0.4954	0.1443	Inf	Inf
0.5954	0.1413	Inf	Inf
0.6954	0.1390	Inf	Inf
0.7954	0.1454	Inf	Inf
0.8961	0.1503	Inf	Inf
0.9961	0.1510	Inf	Inf
1.0961	0.1517	Inf	Inf
1.1969	0.1596	Inf	Inf
1.2244	0.2600	Inf	Inf
1.2366	0.3605	Inf	Inf
1.2503	0.4601	Inf	Inf
1.2549	0.6827	Inf	Inf
1.2564	0.5602	Inf	Inf
1.2709	0.8760	Inf	Inf
1.2862	1.0589	Inf	Inf
1.2931	1.1911	Inf	Inf
1.3037	1.3167	Inf	Inf
1.3091	1.4160	Inf	Inf
1.3160	1.6157	Inf	Inf
1.3167	1.5164	Inf	Inf
1.3198	1.7161	Inf	Inf
1.3228	1.8435	Inf	Inf
1.3259	2.1575	Inf	Inf
1.3297	2.0413	Inf	Inf
1.3312	1.9424	Inf	Inf
1.3343	2.4479	Inf	Inf
1.3396	2.7098	Inf	Inf
1.3427	2.8360	Inf	Inf
1.3503	2.9661	Inf	Inf
1.3511	3.1129	Inf	Inf
1.3587	3.3730	Inf	Inf
1.3602	3.2433	Inf	Inf
1.3648	3.4917	Inf	Inf
1.3694	3.5925	Inf	Inf
1.3709	3.6918	Inf	Inf
1.3724	3.7919	Inf	Inf
1.3785	3.9916	Inf	Inf
1.3808	3.8919	Inf	Inf
1.3824	4.0912	Inf	Inf
1.3869	4.2906	Inf	Inf
1.3877	4.1909	Inf	Inf
1.3915	4.3903	Inf	Inf
1.3953	4.4907	Inf	Inf
1.3999	4.6908	Inf	Inf
1.4030	4.5903	Inf	Inf
1.4030	4.7904	Inf	Inf
1.4060	4.8901	Inf	Inf
1.4106	4.9901	Inf	Inf
1.4175	5.0902	Inf	Inf
1.4198	5.3899	Inf	Inf
1.4205	5.1898	Inf	Inf
1.4221	5.2899	Inf	Inf
1.4221	5.4900	Inf	Inf
1.4320	5.6901	Inf	Inf
1.4335	5.5900	Inf	Inf
1.4343	5.8905	Inf	Inf
1.4381	5.7901	Inf	Inf
1.4381	5.9906	Inf	Inf
1.4419	6.0906	Inf	Inf
1.4465	6.1903	Inf	Inf
1.4465	6.3904	Inf	Inf
1.4472	6.2903	Inf	Inf
1.4526	6.4904	Inf	Inf
1.4526	6.6905	Inf	Inf
1.4533	6.5904	Inf	Inf
1.4541	6.7905	Inf	Inf
1.4595	6.8906	Inf	Inf
1.4610	6.9906	Inf	Inf
1.4678	7.1907	Inf	Inf
1.4686	7.2904	Inf	Inf
1.4694	7.3908	Inf	Inf
1.4732	7.4897	Inf	Inf
1.4762	7.7130	Inf	Inf
1.4785	7.8119	Inf	Inf
1.4808	8.0146	Inf	Inf
1.4846	7.9138	Inf	Inf
1.4862	8.1143	Inf	Inf
1.4907	8.3125	Inf	Inf
1.4915	8.2136	Inf	Inf
1.4953	8.5115	Inf	Inf
1.4969	8.4122	Inf	Inf
1.5037	8.7112	Inf	Inf
1.5053	8.6115	Inf	Inf
1.5098	8.8333	Inf	Inf
1.5114	8.9326	Inf	Inf
1.5152	9.1428	Inf	Inf
1.5159	9.0435	Inf	Inf
1.5198	9.2440	Inf	Inf
1.5213	9.3440	Inf	Inf
1.5251	9.5426	Inf	Inf
1.5266	9.4430	Inf	Inf
1.5327	9.7438	Inf	Inf
1.5343	9.6442	Inf	Inf
1.5350	9.8446	Inf	Inf
1.5427	9.9450	Inf	Inf
1.5442	10.0451	Inf	Inf
1.5449	10.1451	Inf	Inf
1.5457	10.2512	Inf	Inf
1.5465	10.4513	Inf	Inf
1.5488	10.5524	Inf	Inf
1.5549	10.4385	Inf	Inf
1.5869	9.9518	Inf	Inf
1.6159	9.5059	Inf	Inf
1.6259	9.3778	Inf	Inf
1.6312	9.1762	Inf	Inf
1.6327	9.2762	Inf	Inf
1.6480	9.0750	Inf	Inf
1.6533	8.9738	Inf	Inf
1.6594	9.0728	Inf	Inf
1.6762	9.1758	Inf	Inf
1.7136	9.2770	Inf	Inf
1.7320	9.3778	Inf	Inf
1.7571	9.4767	Inf	Inf
1.7739	9.3748	Inf	Inf
1.8487	9.2721	Inf	Inf
1.8579	9.1694	Inf	Inf
1.9113	9.0675	Inf	Inf
1.9365	9.1687	Inf	Inf
2.0365	9.2185	Inf	Inf
2.1365	9.1410	Inf	Inf
2.1388	9.0387	Inf	Inf
2.1457	8.9379	Inf	Inf
2.1594	9.0368	Inf	Inf
2.1686	9.1380	Inf	Inf
2.2686	9.2155	Inf	Inf
2.3388	9.3152	Inf	Inf
2.3670	9.4167	Inf	Inf
2.4373	9.3141	Inf	Inf
2.4449	9.2121	Inf	Inf
2.4518	9.1117	Inf	Inf
2.4563	9.0113	Inf	Inf
2.4716	9.1129	Inf	Inf
2.4869	9.2406	Inf	Inf
2.5006	9.3512	Inf	Inf
2.5579	9.4520	Inf	Inf
2.6434	9.5497	Inf	Inf
2.6693	9.6479	Inf	Inf
2.7159	9.7483	Inf	Inf
2.7624	9.8487	Inf	Inf
2.8014	9.9469	Inf	Inf
2.8220	9.8458	Inf	Inf
2.8235	9.7453	Inf	Inf
2.8349	9.8446	Inf	Inf
2.8365	9.9417	Inf	Inf
2.8586	10.0410	Inf	Inf
2.9265	10.1403	Inf	Inf
2.9731	10.2384	Inf	Inf
3.0074	10.3373	Inf	Inf
3.0868	10.4385	Inf	Inf
3.0922	10.2369	Inf	Inf
3.0937	10.3373	Inf	Inf
3.1013	10.3328	Inf	Inf
3.1074	10.4336	Inf	Inf
3.1418	10.5326	Inf	Inf
3.2128	10.6334	Inf	Inf
3.3021	10.7341	Inf	Inf
3.3456	10.8353	Inf	Inf
3.4296	10.9354	Inf	Inf
3.4479	10.8342	Inf	Inf
3.4586	10.7334	Inf	Inf
3.4609	10.8304	Inf	Inf
3.4731	10.9294	Inf	Inf
3.5540	11.0290	Inf	Inf
3.6150	11.1287	Inf	Inf
3.6753	11.2291	Inf	Inf
3.6998	11.1268	Inf	Inf
3.7242	11.2284	Inf	Inf
3.7776	11.3299	Inf	Inf
3.8257	11.2287	Inf	Inf
3.8326	11.1283	Inf	Inf
3.8448	11.2310	Inf	Inf
3.8891	11.3307	Inf	Inf
3.9417	11.4311	Inf	Inf
4.0112	11.5304	Inf	Inf
4.1112	11.5468	Inf	Inf
4.1158	11.4449	Inf	Inf
4.1249	11.3445	Inf	Inf
4.1295	11.4446	Inf	Inf
4.1364	11.5435	Inf	Inf
4.1845	11.6435	Inf	Inf
4.2745	11.7432	Inf	Inf
4.3730	11.8425	Inf	Inf
4.4585	11.9410	Inf	Inf
4.5165	11.8346	Inf	Inf
4.5196	11.7327	Inf	Inf
4.5280	11.6312	Inf	Inf
4.5364	11.7342	Inf	Inf
4.5425	11.8331	Inf	Inf
4.5638	12.0141	Inf	Inf
4.6638	11.9849	Inf	Inf
4.7638	12.0785	Inf	Inf
4.8379	11.9774	Inf	Inf
4.8516	11.8758	Inf	Inf
4.8570	11.8762	Inf	Inf
4.8631	11.9849	Inf	Inf
4.8753	12.0864	Inf	Inf
4.9753	12.1186	Inf	Inf
5.0753	12.2123	Inf	Inf
5.1753	12.3067	Inf	Inf
5.1898	12.2018	Inf	Inf
5.1913	12.1010	Inf	Inf
5.1966	12.0006	Inf	Inf
5.2134	12.1059	Inf	Inf
5.2386	12.2887	Inf	Inf
5.2714	12.1872	Inf	Inf
5.2753	12.0842	Inf	Inf
5.2875	11.9841	Inf	Inf
5.2898	12.0864	Inf	Inf
5.2936	12.1868	Inf	Inf
5.3004	12.2861	Inf	Inf
5.4004	12.3030	Inf	Inf
5.4722	12.4030	Inf	Inf
5.5630	12.2655	Inf	Inf
5.5722	12.3667	Inf	Inf
5.5760	12.1640	Inf	Inf
5.5874	12.2648	Inf	Inf
5.5882	12.3652	Inf	Inf
5.6882	12.3907	Inf	Inf
5.7767	12.4903	Inf	Inf
5.8370	12.3865	Inf	Inf
5.8432	12.2861	Inf	Inf
5.8546	12.1857	Inf	Inf
5.8638	12.2872	Inf	Inf
5.8760	12.4484	Inf	Inf
5.8935	12.5821	Inf	Inf
5.9943	12.5952	Inf	Inf
6.0065	12.4914	Inf	Inf
6.0378	12.5896	Inf	Inf
6.1378	12.5829	Inf	Inf
6.1844	12.3802	Inf	Inf
6.1859	12.4810	Inf	Inf
6.1981	12.4761	Inf	Inf
6.2279	12.6960	Inf	Inf
6.2324	12.4442	Inf	Inf
6.2500	12.5458	Inf	Inf
6.2607	12.4439	Inf	Inf
6.2737	12.5420	Inf	Inf
6.3332	12.6424	Inf	Inf
6.4332	12.6263	Inf	Inf
6.5301	12.7264	Inf	Inf
6.5790	12.6196	Inf	Inf
6.5920	12.4997	Inf	Inf
6.5988	12.3989	Inf	Inf
6.5996	12.5008	Inf	Inf
6.6110	12.6020	Inf	Inf
6.6347	12.7013	Inf	Inf
6.7347	12.7425	Inf	Inf
6.8347	12.7357	Inf	Inf
6.9347	12.7665	Inf	Inf
6.9416	12.6623	Inf	Inf
6.9477	12.5608	Inf	Inf
6.9500	12.4592	Inf	Inf
6.9568	12.5608	Inf	Inf
6.9721	12.6619	Inf	Inf
6.9851	12.7661	Inf	Inf
7.0851	12.7631	Inf	Inf
7.1851	12.7710	Inf	Inf
7.2851	12.8358	Inf	Inf
7.3041	12.7301	Inf	Inf
7.3087	12.5971	Inf	Inf
7.3209	12.4963	Inf	Inf
7.3278	12.5994	Inf	Inf
7.3408	12.7916	Inf	Inf
7.4408	12.7807	Inf	Inf
7.5156	12.8804	Inf	Inf
7.6163	12.7672	Inf	Inf
7.6667	12.8661	Inf	Inf
7.7385	12.7575	Inf	Inf
7.7430	12.6233	Inf	Inf
7.7537	12.7159	Inf	Inf
7.7965	12.8223	Inf	Inf
7.8972	12.8189	Inf	Inf
7.9972	12.8594	Inf	Inf
8.0102	12.7567	Inf	Inf
8.0308	12.8549	Inf	Inf
8.1316	12.8508	Inf	Inf
8.1575	12.7459	Inf	Inf
8.1644	12.6286	Inf	Inf
8.1804	12.7305	Inf	Inf
8.2285	12.8365	Inf	Inf
8.2644	12.9370	Inf	Inf
8.3155	12.8324	Inf	Inf
8.3224	12.6282	Inf	Inf
8.3232	12.7301	Inf	Inf
8.3316	12.7294	Inf	Inf
8.3636	12.9669	Inf	Inf
8.4308	12.8661	Inf	Inf
8.5285	12.9666	Inf	Inf
8.6292	12.9905	Inf	Inf
8.7147	12.8796	Inf	Inf
8.7239	12.6882	Inf	Inf
8.7415	12.7893	Inf	Inf
8.8361	12.8912	Inf	Inf
8.8552	12.9890	Inf	Inf
8.9559	12.9673	Inf	Inf
9.0567	12.9681	Inf	Inf
9.1575	12.9815	Inf	Inf
9.2574	12.9894	Inf	Inf
9.2895	12.8822	Inf	Inf
9.3025	12.6915	Inf	Inf
9.3032	12.5904	Inf	Inf
9.3147	12.6844	Inf	Inf
9.3773	13.0104	Inf	Inf
9.4780	12.9504	Inf	Inf
9.5162	12.8422	Inf	Inf
9.5246	12.7384	Inf	Inf
9.5452	12.8317	Inf	Inf
9.5612	12.9707	Inf	Inf
9.6620	12.9718	Inf	Inf
