Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 02.03.2023	Time: 16:23:10

Name:	Wood (against grain)
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0353	0.1002	Inf	Inf
0.1341	0.1400	Inf	Inf
0.2338	0.1601	Inf	Inf
0.3334	0.1909	Inf	Inf
0.4327	0.1917	Inf	Inf
0.5341	0.1910	Inf	Inf
0.6330	0.1795	Inf	Inf
0.7324	0.2307	Inf	Inf
0.7793	0.3313	Inf	Inf
0.8011	0.4308	Inf	Inf
0.8575	0.6279	Inf	Inf
0.9019	0.8315	Inf	Inf
0.9285	0.9301	Inf	Inf
0.9547	1.0297	Inf	Inf
0.9996	1.1971	Inf	Inf
1.0354	1.3275	Inf	Inf
1.1003	1.4279	Inf	Inf
1.1754	1.5272	Inf	Inf
1.2757	1.5359	Inf	Inf
1.3767	1.5345	Inf	Inf
1.4770	1.5822	Inf	Inf
1.5776	1.6230	Inf	Inf
1.6771	1.6576	Inf	Inf
1.7768	1.6681	Inf	Inf
1.8768	1.6615	Inf	Inf
1.9455	1.7624	Inf	Inf
2.0453	1.7597	Inf	Inf
2.1454	1.7922	Inf	Inf
2.2452	1.8510	Inf	Inf
2.3442	1.8416	Inf	Inf
2.4440	1.8933	Inf	Inf
2.5295	1.7909	Inf	Inf
2.6012	1.8900	Inf	Inf
2.7019	1.9187	Inf	Inf
2.8012	1.9112	Inf	Inf
2.9014	1.9804	Inf	Inf
3.0005	2.0063	Inf	Inf
3.1003	2.0130	Inf	Inf
3.2005	2.0267	Inf	Inf
3.3006	1.9972	Inf	Inf
3.3999	2.0727	Inf	Inf
3.5005	2.0925	Inf	Inf
3.6004	2.1155	Inf	Inf
3.6999	2.0936	Inf	Inf
3.8000	2.1874	Inf	Inf
3.9000	2.2271	Inf	Inf
3.9998	2.2383	Inf	Inf
4.0996	2.2803	Inf	Inf
4.1996	2.2636	Inf	Inf
4.3004	2.2716	Inf	Inf
4.4006	2.2851	Inf	Inf
4.5010	2.2342	Inf	Inf
4.6000	2.2808	Inf	Inf
4.7010	2.2786	Inf	Inf
4.7363	2.1756	Inf	Inf
4.8368	2.1916	Inf	Inf
4.9369	2.2542	Inf	Inf
5.0382	2.2849	Inf	Inf
5.1378	2.3213	Inf	Inf
5.2379	2.3665	Inf	Inf
5.3379	2.3883	Inf	Inf
5.4378	2.3755	Inf	Inf
5.5370	2.4512	Inf	Inf
5.6364	2.4620	Inf	Inf
5.7355	2.4328	Inf	Inf
5.8355	2.4090	Inf	Inf
5.9352	2.3989	Inf	Inf
6.0355	2.3780	Inf	Inf
6.1357	2.3912	Inf	Inf
6.2354	2.4280	Inf	Inf
6.3362	2.4184	Inf	Inf
6.4364	2.4147	Inf	Inf
6.5365	2.4419	Inf	Inf
6.6359	2.4112	Inf	Inf
6.7362	2.4090	Inf	Inf
6.8355	2.4776	Inf	Inf
6.9355	2.5085	Inf	Inf
6.9779	2.6065	Inf	Inf
7.0776	2.6510	Inf	Inf
7.1781	2.6901	Inf	Inf
7.2774	2.7171	Inf	Inf
7.3775	2.7458	Inf	Inf
7.4775	2.6916	Inf	Inf
7.5772	2.7150	Inf	Inf
7.6735	2.8151	Inf	Inf
