Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 10:11:32

Name:	22A Aluminum
User Comment:	Maurice, Andrew, Sunny, Emily, Rory

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0020	0.1005	-Inf	Inf
0.0445	0.6134	Inf	Inf
0.0988	1.1439	Inf	Inf
0.1359	1.7943	Inf	Inf
0.1430	1.8917	Inf	Inf
0.2014	2.8551	Inf	Inf
0.2442	3.5687	Inf	Inf
0.2663	3.8571	Inf	Inf
0.3012	4.0055	Inf	Inf
0.3513	4.1127	Inf	Inf
0.3745	4.2141	Inf	Inf
0.4157	4.3150	Inf	Inf
0.4776	4.4440	Inf	Inf
0.5203	4.5465	Inf	Inf
0.5737	4.6448	Inf	Inf
0.6237	4.7656	Inf	Inf
0.6714	4.8653	Inf	Inf
0.7331	4.9638	Inf	Inf
0.7953	5.0651	Inf	Inf
0.8465	5.1675	Inf	Inf
0.9111	5.2657	Inf	Inf
0.9818	5.3657	Inf	Inf
1.0771	5.4653	Inf	Inf
1.1776	5.5603	Inf	Inf
1.2791	5.6417	Inf	Inf
1.3779	5.7371	Inf	Inf
1.4755	5.8349	Inf	Inf
1.5757	5.7849	Inf	Inf
1.5977	5.8836	Inf	Inf
1.6973	5.9362	Inf	Inf
1.7985	5.9735	Inf	Inf
1.8993	6.0184	Inf	Inf
1.9998	6.0310	Inf	Inf
2.0981	6.0804	Inf	Inf
2.1970	6.1032	Inf	Inf
2.2955	6.1166	Inf	Inf
2.3961	6.1146	Inf	Inf
2.4958	6.1778	Inf	Inf
2.5973	6.1767	Inf	Inf
2.6476	6.0745	Inf	Inf
2.6670	6.1771	Inf	Inf
2.7652	6.2177	Inf	Inf
2.8645	6.2077	Inf	Inf
2.9645	6.2210	Inf	Inf
2.9818	6.1207	Inf	Inf
2.9972	6.2202	Inf	Inf
3.0978	6.2487	Inf	Inf
3.1990	6.2428	Inf	Inf
3.3005	6.2439	Inf	Inf
3.3996	6.2586	Inf	Inf
3.5004	6.2749	Inf	Inf
3.6000	6.2690	Inf	Inf
3.6999	6.2685	Inf	Inf
3.7973	6.2651	Inf	Inf
3.8949	6.2643	Inf	Inf
3.9744	6.1622	Inf	Inf
3.9823	6.2605	Inf	Inf
4.0834	6.2766	Inf	Inf
4.1315	6.1744	Inf	Inf
4.1393	6.2756	Inf	Inf
4.2405	6.3100	Inf	Inf
4.3422	6.3031	Inf	Inf
4.4410	6.2843	Inf	Inf
4.5414	6.2847	Inf	Inf
4.6412	6.2617	Inf	Inf
4.7401	6.2434	Inf	Inf
4.8404	6.2089	Inf	Inf
4.9384	6.1834	Inf	Inf
5.0391	6.1295	Inf	Inf
5.0772	6.0288	Inf	Inf
5.0780	6.1278	Inf	Inf
5.1772	6.1081	Inf	Inf
5.2782	6.0413	Inf	Inf
5.3790	5.9824	Inf	Inf
5.4794	5.9255	Inf	Inf
5.5803	5.8354	Inf	Inf
5.6120	5.7344	Inf	Inf
5.6234	5.8323	Inf	Inf
5.7246	5.7607	Inf	Inf
5.7973	5.6546	Inf	Inf
5.8976	5.5898	Inf	Inf
5.9983	5.4887	Inf	Inf
6.0990	5.3882	Inf	Inf
6.1712	5.2859	Inf	Inf
6.2694	5.2154	Inf	Inf
6.3470	5.1114	Inf	Inf
6.4126	5.0028	Inf	Inf
6.4619	4.8493	Inf	Inf
6.5727	4.5332	Inf	Inf
6.6491	4.3734	Inf	Inf
6.7327	4.2139	Inf	Inf
6.8210	4.0537	Inf	Inf
Data End	

