Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 09:55:53

Name:	22A  Steel
User Comment:	Maurice, Andrew, Sunny, Rory, Emily

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0043	0.0991	Inf	Inf
0.0096	0.2488	Inf	Inf
0.0135	0.3488	Inf	Inf
0.0168	0.5488	Inf	Inf
0.0214	0.4489	Inf	Inf
0.0293	0.6492	Inf	Inf
0.0316	0.7491	Inf	Inf
0.0393	0.8490	Inf	Inf
0.0485	0.9490	Inf	Inf
0.0503	1.0487	Inf	Inf
0.0579	1.1484	Inf	Inf
0.0629	1.2486	Inf	Inf
0.0721	1.4487	Inf	Inf
0.0746	1.3486	Inf	Inf
0.0751	1.5491	Inf	Inf
0.0794	1.6494	Inf	Inf
0.0828	1.7498	Inf	Inf
0.0861	1.8504	Inf	Inf
0.0916	1.9505	Inf	Inf
0.1009	2.0511	Inf	Inf
0.1065	2.1510	Inf	Inf
0.1123	2.2510	Inf	Inf
0.1156	2.3509	Inf	Inf
0.1204	2.5504	Inf	Inf
0.1205	2.4508	Inf	Inf
0.1260	2.6508	Inf	Inf
0.1337	2.7507	Inf	Inf
0.1367	2.8505	Inf	Inf
0.1383	2.9501	Inf	Inf
0.1424	3.0503	Inf	Inf
0.1427	3.1497	Inf	Inf
0.1467	3.3493	Inf	Inf
0.1498	3.2492	Inf	Inf
0.1523	3.4500	Inf	Inf
0.1578	3.5497	Inf	Inf
0.1597	3.6498	Inf	Inf
0.1625	3.8499	Inf	Inf
0.1647	3.7506	Inf	Inf
0.1706	4.0684	Inf	Inf
0.1722	3.9502	Inf	Inf
0.1772	4.1774	Inf	Inf
0.1828	4.2758	Inf	Inf
0.1879	4.4767	Inf	Inf
0.1969	4.9153	Inf	Inf
0.2001	5.0163	Inf	Inf
0.2037	5.1159	Inf	Inf
0.2060	5.3672	Inf	Inf
0.2086	5.2143	Inf	Inf
0.2200	5.6377	Inf	Inf
0.2218	5.8148	Inf	Inf
0.2286	5.9798	Inf	Inf
0.2377	6.1875	Inf	Inf
0.2427	6.4644	Inf	Inf
0.2449	6.7156	Inf	Inf
0.2561	6.8740	Inf	Inf
0.2646	7.0648	Inf	Inf
0.2713	7.3632	Inf	Inf
0.2812	7.6429	Inf	Inf
0.2867	7.7433	Inf	Inf
0.2901	7.9191	Inf	Inf
0.2988	8.2908	Inf	Inf
0.3072	8.6931	Inf	Inf
0.3234	9.0162	Inf	Inf
0.3237	9.3850	Inf	Inf
0.3322	9.6513	Inf	Inf
0.3382	9.9184	Inf	Inf
0.3580	10.1561	Inf	Inf
0.4413	9.2543	Inf	Inf
0.4562	9.1534	Inf	Inf
0.4982	9.0507	Inf	Inf
0.5165	9.1502	Inf	Inf
0.5251	9.2505	Inf	Inf
0.5430	9.3507	Inf	Inf
0.6152	9.2427	Inf	Inf
0.6246	9.1373	Inf	Inf
0.6611	8.9042	Inf	Inf
0.6752	8.7165	Inf	Inf
0.6756	8.5903	Inf	Inf
0.6815	8.4857	Inf	Inf
0.7181	8.5876	Inf	Inf
0.7279	8.6880	Inf	Inf
0.7594	8.4844	Inf	Inf
0.7645	8.5862	Inf	Inf
0.7688	8.3828	Inf	Inf
0.7693	8.2819	Inf	Inf
0.7829	8.3842	Inf	Inf
0.7946	8.4846	Inf	Inf
0.8176	8.5848	Inf	Inf
0.8682	8.4823	Inf	Inf
0.9682	8.4362	Inf	Inf
0.9818	8.3319	Inf	Inf
0.9934	8.2290	Inf	Inf
1.0006	8.1274	Inf	Inf
1.0124	8.2262	Inf	Inf
1.0257	8.3269	Inf	Inf
1.0419	8.4272	Inf	Inf
1.0929	8.5273	Inf	Inf
1.1316	8.6279	Inf	Inf
1.1439	8.5230	Inf	Inf
1.2206	8.4191	Inf	Inf
1.3021	8.5191	Inf	Inf
