Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 10:38:34

Name:	22A Timber parallel
User Comment:	Emily, Rory, Sunny, Maurice, Andrew

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0994	0.0237	Inf	Inf
0.1997	0.0833	Inf	Inf
0.2659	0.1830	Inf	Inf
0.3057	0.2829	Inf	Inf
0.3668	0.4385	Inf	Inf
0.4058	0.5402	Inf	Inf
0.4676	0.7116	Inf	Inf
0.5086	0.8132	Inf	Inf
0.5705	1.0078	Inf	Inf
0.6175	1.1076	Inf	Inf
0.6725	1.2796	Inf	Inf
0.7212	1.3780	Inf	Inf
0.7867	1.4781	Inf	Inf
0.8867	1.4608	Inf	Inf
0.9130	1.5618	Inf	Inf
0.9884	1.6818	Inf	Inf
1.0896	1.6950	Inf	Inf
1.1887	1.7142	Inf	Inf
1.2732	1.6114	Inf	Inf
1.2733	1.5103	Inf	Inf
1.3134	1.6121	Inf	Inf
1.3676	1.7219	Inf	Inf
1.4668	1.7884	Inf	Inf
1.5663	1.7692	Inf	Inf
1.6106	1.6671	Inf	Inf
1.6124	1.5652	Inf	Inf
1.6540	1.6640	Inf	Inf
1.7171	1.7824	Inf	Inf
1.8173	1.8523	Inf	Inf
1.9184	1.8489	Inf	Inf
1.9921	1.6438	Inf	Inf
1.9933	1.7446	Inf	Inf
2.0718	1.7440	Inf	Inf
2.1351	1.8432	Inf	Inf
2.2350	1.8733	Inf	Inf
2.3288	1.6928	Inf	Inf
2.3351	1.7934	Inf	Inf
2.3423	1.5925	Inf	Inf
2.4058	1.6936	Inf	Inf
2.4424	1.7935	Inf	Inf
2.5390	1.8937	Inf	Inf
2.6401	1.9103	Inf	Inf
2.6818	1.8086	Inf	Inf
2.6841	1.7062	Inf	Inf
2.7563	1.8052	Inf	Inf
2.8309	1.9045	Inf	Inf
2.9303	1.9296	Inf	Inf
3.0298	1.9065	Inf	Inf
3.0421	1.8048	Inf	Inf
3.0434	1.7042	Inf	Inf
3.1045	1.8028	Inf	Inf
3.1550	1.9028	Inf	Inf
3.2543	1.9742	Inf	Inf
3.3549	1.9700	Inf	Inf
3.4381	1.8642	Inf	Inf
3.4471	1.7624	Inf	Inf
3.5288	1.8625	Inf	Inf
3.6027	1.9628	Inf	Inf
3.7033	1.9905	Inf	Inf
3.8025	1.8867	Inf	Inf
3.8039	1.7849	Inf	Inf
3.8741	1.8864	Inf	Inf
3.9282	1.9866	Inf	Inf
4.0294	2.0415	Inf	Inf
4.1299	1.9796	Inf	Inf
4.1598	1.7764	Inf	Inf
4.1607	1.8775	Inf	Inf
4.2203	1.8784	Inf	Inf
4.2704	1.9800	Inf	Inf
4.3702	2.0628	Inf	Inf
4.4702	2.0555	Inf	Inf
4.5440	1.9521	Inf	Inf
4.5460	1.8372	Inf	Inf
4.5505	1.7368	Inf	Inf
4.5995	1.8382	Inf	Inf
4.6532	1.9631	Inf	Inf
4.7534	2.0438	Inf	Inf
4.8536	2.0414	Inf	Inf
4.8692	1.9396	Inf	Inf
4.8788	1.8387	Inf	Inf
4.9581	1.9368	Inf	Inf
5.0052	2.0356	Inf	Inf
5.1053	2.1148	Inf	Inf
5.2055	2.0613	Inf	Inf
5.2123	1.9590	Inf	Inf
5.2204	1.8573	Inf	Inf
5.2871	1.9595	Inf	Inf
5.3362	2.0581	Inf	Inf
5.4366	2.0943	Inf	Inf
5.5060	1.9921	Inf	Inf
5.5069	1.8916	Inf	Inf
5.5886	1.9906	Inf	Inf
5.6328	2.0921	Inf	Inf
5.7310	2.1628	Inf	Inf
5.8311	2.1425	Inf	Inf
5.8575	2.0401	Inf	Inf
