Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 10:41:08

Name:	Group 22 Sample 1
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0053	0.1019	Inf	Inf
0.0214	0.3413	Inf	Inf
0.0282	3.0155	Inf	Inf
0.0305	0.8685	Inf	Inf
0.0343	1.0652	Inf	Inf
0.0366	0.9690	Inf	Inf
0.0366	1.9128	Inf	Inf
0.0672	4.3962	Inf	Inf
0.1008	5.7732	Inf	Inf
0.1084	5.8778	Inf	Inf
0.1176	6.3210	Inf	Inf
0.1550	8.1656	Inf	Inf
0.1763	9.5524	Inf	Inf
0.1832	9.6580	Inf	Inf
0.1908	10.0117	Inf	Inf
0.2885	10.7064	Inf	Inf
0.3443	10.6011	Inf	Inf
0.3878	10.4895	Inf	Inf
0.4473	10.1586	Inf	Inf
0.4702	9.8840	Inf	Inf
0.4816	9.6614	Inf	Inf
0.4946	9.5591	Inf	Inf
0.4992	9.6607	Inf	Inf
0.5992	10.1710	Inf	Inf
0.6984	10.1624	Inf	Inf
0.7992	10.1024	Inf	Inf
0.8351	9.9968	Inf	Inf
0.8450	9.8926	Inf	Inf
0.8465	9.7910	Inf	Inf
0.8580	9.8915	Inf	Inf
0.9488	10.4565	Inf	Inf
1.0503	10.4561	Inf	Inf
1.1503	10.4764	Inf	Inf
1.1839	10.3681	Inf	Inf
1.2076	10.0155	Inf	Inf
1.2129	9.9001	Inf	Inf
1.2305	9.9994	Inf	Inf
1.2740	10.4333	Inf	Inf
1.3327	10.6386	Inf	Inf
1.3770	10.7450	Inf	Inf
1.4388	10.8458	Inf	Inf
1.5388	10.7637	Inf	Inf
1.5457	10.6607	Inf	Inf
1.5518	10.5487	Inf	Inf
1.5587	10.6442	Inf	Inf
1.5671	10.7443	Inf	Inf
1.6633	11.2152	Inf	Inf
1.7228	11.1077	Inf	Inf
1.7289	10.8971	Inf	Inf
1.7381	11.0020	Inf	Inf
1.8197	11.3235	Inf	Inf
1.8350	11.0661	Inf	Inf
1.8457	11.1740	Inf	Inf
1.9388	11.6203	Inf	Inf
