Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 10:48:23

Name:	Group 22 sample 2
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0168	0.1019	Inf	Inf
0.0275	0.2016	Inf	Inf
0.0870	1.0679	Inf	Inf
0.1290	1.6726	Inf	Inf
0.1557	2.4246	Inf	Inf
0.2053	3.3688	Inf	Inf
0.2168	3.4640	Inf	Inf
0.3076	3.8803	Inf	Inf
0.3465	3.9833	Inf	Inf
0.3832	4.0800	Inf	Inf
0.4549	4.2501	Inf	Inf
0.4962	4.3509	Inf	Inf
0.5587	4.4843	Inf	Inf
0.6068	4.5866	Inf	Inf
0.6626	4.7027	Inf	Inf
0.7160	4.8035	Inf	Inf
0.7870	4.9028	Inf	Inf
0.8305	5.0021	Inf	Inf
0.8740	5.1033	Inf	Inf
0.9725	5.2015	Inf	Inf
1.0633	5.2978	Inf	Inf
1.1587	5.3982	Inf	Inf
1.2595	5.4592	Inf	Inf
1.3060	5.5600	Inf	Inf
1.4068	5.6031	Inf	Inf
1.5091	5.6627	Inf	Inf
1.6106	5.7069	Inf	Inf
1.7075	5.7519	Inf	Inf
1.8052	5.7920	Inf	Inf
1.9052	5.7860	Inf	Inf
1.9808	5.8856	Inf	Inf
2.0831	5.8965	Inf	Inf
2.1823	5.9145	Inf	Inf
2.2793	5.9344	Inf	Inf
2.3800	5.9535	Inf	Inf
2.4808	5.9696	Inf	Inf
2.5808	5.9482	Inf	Inf
2.5930	5.8474	Inf	Inf
2.6059	5.9471	Inf	Inf
2.6968	6.0494	Inf	Inf
2.7975	6.0288	Inf	Inf
2.8975	6.0303	Inf	Inf
2.9983	6.0385	Inf	Inf
3.0983	6.0520	Inf	Inf
3.1975	6.0505	Inf	Inf
3.2990	6.0280	Inf	Inf
3.3372	5.9272	Inf	Inf
3.3601	6.0265	Inf	Inf
3.4616	6.1150	Inf	Inf
3.5639	6.0951	Inf	Inf
3.6631	6.0906	Inf	Inf
3.7601	6.0913	Inf	Inf
3.8601	6.0899	Inf	Inf
3.9601	6.0861	Inf	Inf
4.0593	6.0543	Inf	Inf
4.0929	5.9531	Inf	Inf
4.1066	6.0535	Inf	Inf
4.2051	6.1127	Inf	Inf
4.3020	6.0966	Inf	Inf
4.4035	6.0925	Inf	Inf
4.5058	6.0857	Inf	Inf
4.6074	6.0760	Inf	Inf
4.7089	6.0539	Inf	Inf
4.8089	5.9729	Inf	Inf
4.9096	6.0565	Inf	Inf
5.0119	6.0003	Inf	Inf
5.1150	5.9670	Inf	Inf
5.2188	5.9254	Inf	Inf
5.3218	5.8733	Inf	Inf
5.4203	5.8167	Inf	Inf
5.5004	5.7144	Inf	Inf
5.6004	5.7586	Inf	Inf
5.7035	5.6676	Inf	Inf
5.8065	5.5911	Inf	Inf
5.9065	5.5140	Inf	Inf
6.0080	5.4199	Inf	Inf
6.1096	5.3172	Inf	Inf
6.2088	5.2086	Inf	Inf
6.2714	5.1059	Inf	Inf
6.3714	5.0804	Inf	Inf
6.4530	4.9703	Inf	Inf
6.5278	4.7777	Inf	Inf
6.6576	4.4779	Inf	Inf
6.7339	4.3258	Inf	Inf
6.8103	4.1714	Inf	Inf
6.8835	4.0159	Inf	Inf
7.0125	3.7072	Inf	Inf
Data End	

