Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 11:20:44

Name:	Group 22 sample 5
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1015	0.0097	Inf	Inf
0.2015	0.0090	Inf	Inf
0.3038	0.0813	Inf	Inf
0.3481	0.1810	Inf	Inf
0.4038	0.3297	Inf	Inf
0.4496	0.4777	Inf	Inf
0.5068	0.7438	Inf	Inf
0.5526	0.8880	Inf	Inf
0.6145	0.9888	Inf	Inf
0.7068	1.0904	Inf	Inf
0.8061	1.1698	Inf	Inf
0.9061	1.2316	Inf	Inf
1.0053	1.2657	Inf	Inf
1.1045	1.2844	Inf	Inf
1.2053	1.2710	Inf	Inf
1.3037	1.3167	Inf	Inf
1.4045	1.3980	Inf	Inf
1.5083	1.4201	Inf	Inf
1.6083	1.4362	Inf	Inf
1.7045	1.4815	Inf	Inf
1.8052	1.5201	Inf	Inf
1.9052	1.5478	Inf	Inf
2.0060	1.5756	Inf	Inf
2.1045	1.5928	Inf	Inf
2.2052	1.5707	Inf	Inf
2.3060	1.5752	Inf	Inf
2.4052	1.5879	Inf	Inf
2.5067	1.6164	Inf	Inf
2.6075	1.6310	Inf	Inf
2.7059	1.6404	Inf	Inf
2.8067	1.5527	Inf	Inf
2.8601	1.6509	Inf	Inf
2.9174	1.7476	Inf	Inf
3.0166	1.8277	Inf	Inf
3.1189	1.8570	Inf	Inf
3.2181	1.8794	Inf	Inf
3.3158	1.8986	Inf	Inf
3.4158	1.9023	Inf	Inf
3.5158	1.9143	Inf	Inf
3.6135	1.9244	Inf	Inf
3.7135	1.9413	Inf	Inf
3.8127	1.9450	Inf	Inf
3.9127	1.8832	Inf	Inf
4.0135	1.9177	Inf	Inf
4.1135	1.9739	Inf	Inf
4.2173	2.0653	Inf	Inf
4.3158	2.0526	Inf	Inf
4.4150	2.0458	Inf	Inf
4.5165	2.0657	Inf	Inf
4.6165	2.0893	Inf	Inf
4.7173	2.1290	Inf	Inf
4.8196	2.1504	Inf	Inf
4.9195	2.1683	Inf	Inf
5.0173	2.1901	Inf	Inf
5.1195	2.1946	Inf	Inf
5.2188	2.1889	Inf	Inf
5.3180	2.2178	Inf	Inf
5.4065	2.1110	Inf	Inf
5.4760	2.2099	Inf	Inf
5.5760	2.2766	Inf	Inf
5.6760	2.3549	Inf	Inf
5.7767	2.3976	Inf	Inf
5.8767	2.4085	Inf	Inf
5.9760	2.3924	Inf	Inf
6.0386	2.2897	Inf	Inf
6.1225	2.3924	Inf	Inf
6.2019	2.4921	Inf	Inf
6.3050	2.5063	Inf	Inf
6.4027	2.5108	Inf	Inf
6.5004	2.5235	Inf	Inf
6.6019	2.4954	Inf	Inf
6.7026	2.4752	Inf	Inf
6.8011	2.4887	Inf	Inf
6.9003	2.4081	Inf	Inf
6.9545	2.5037	Inf	Inf
7.0118	2.6030	Inf	Inf
7.1087	2.6588	Inf	Inf
7.2102	2.6030	Inf	Inf
7.2476	2.4962	Inf	Inf
7.2683	2.2227	Inf	Inf
7.2858	2.3257	Inf	Inf
7.3766	2.6011	Inf	Inf
7.4744	2.6794	Inf	Inf
7.5751	2.6922	Inf	Inf
7.6743	2.7244	Inf	Inf
7.7759	2.7813	Inf	Inf
7.8728	2.8353	Inf	Inf
7.9758	2.8698	Inf	Inf
8.0766	2.8698	Inf	Inf
8.1545	2.7667	Inf	Inf
8.1613	2.6614	Inf	Inf
8.2033	2.7656	Inf	Inf
8.2705	2.9758	Inf	Inf
8.3537	3.0773	Inf	Inf
8.4514	3.1017	Inf	Inf
8.5521	3.1335	Inf	Inf
8.6521	3.1778	Inf	Inf
8.7521	3.1822	Inf	Inf
8.8514	3.1995	Inf	Inf
8.9277	3.3022	Inf	Inf
9.0300	3.3835	Inf	Inf
9.1300	3.4041	Inf	Inf
9.2315	3.4670	Inf	Inf
9.3307	3.5240	Inf	Inf
9.4315	3.6188	Inf	Inf
9.5315	3.3681	Inf	Inf
9.5529	3.4614	Inf	Inf
9.5674	3.5577	Inf	Inf
9.6612	3.9047	Inf	Inf
9.7605	3.8889	Inf	Inf
9.7895	3.9931	Inf	Inf
9.8307	4.0969	Inf	Inf
9.9292	4.1969	Inf	Inf
10.0047	4.0898	Inf	Inf
10.0673	4.1860	Inf	Inf
10.1085	4.3311	Inf	Inf
10.2078	4.2737	Inf	Inf
10.2330	4.3816	Inf	Inf
10.3169	4.7211	Inf	Inf
10.3604	4.8178	Inf	Inf
10.4375	4.9174	Inf	Inf
10.5383	5.0160	Inf	Inf
10.6368	5.0493	Inf	Inf
10.7360	5.0707	Inf	Inf
10.7833	5.1719	Inf	Inf
10.8566	5.0553	Inf	Inf
10.8642	4.9410	Inf	Inf
10.8764	4.6211	Inf	Inf
10.9001	4.7230	Inf	Inf
10.9810	5.5237	Inf	Inf
11.0031	5.6380	Inf	Inf
11.0886	5.7365	Inf	Inf
11.1024	5.8336	Inf	Inf
11.1054	5.7242	Inf	Inf
Data End	

