Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 11:09:27

Name:	Timber parallel 
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0641	0.0985	Inf	Inf
0.1023	0.2068	Inf	Inf
0.1305	0.3050	Inf	Inf
0.1542	0.6134	Inf	Inf
0.1717	1.1866	Inf	Inf
0.2000	1.8442	Inf	Inf
0.2259	2.4580	Inf	Inf
0.2633	2.9481	Inf	Inf
0.2809	3.6274	Inf	Inf
0.3122	4.6211	Inf	Inf
0.3298	5.1868	Inf	Inf
0.3343	5.0786	Inf	Inf
0.3359	5.1809	Inf	Inf
0.3588	6.2922	Inf	Inf
0.4206	7.4653	Inf	Inf
0.4366	7.9854	Inf	Inf
0.4687	8.8929	Inf	Inf
0.5076	9.6052	Inf	Inf
0.5565	10.1110	Inf	Inf
0.5954	10.5655	Inf	Inf
0.6557	11.1137	Inf	Inf
0.6961	11.4022	Inf	Inf
0.7213	11.5551	Inf	Inf
0.7549	11.0676	Inf	Inf
0.7648	10.8548	Inf	Inf
0.7771	10.7214	Inf	Inf
0.7824	10.8166	Inf	Inf
0.7961	11.3910	Inf	Inf
0.8290	12.1748	Inf	Inf
0.9076	12.2779	Inf	Inf
0.9167	12.4420	Inf	Inf
1.0091	12.7623	Inf	Inf
1.1091	12.7425	Inf	Inf
1.1709	12.6361	Inf	Inf
1.2709	12.6391	Inf	Inf
1.3541	12.5300	Inf	Inf
1.4488	12.4139	Inf	Inf
1.4587	12.2974	Inf	Inf
1.4824	11.4052	Inf	Inf
1.4999	11.1246	Inf	Inf
1.5129	11.2059	Inf	Inf
1.5869	12.1834	Inf	Inf
1.6144	12.3715	Inf	Inf
1.7144	12.2985	Inf	Inf
1.7365	12.1748	Inf	Inf
1.7938	11.9732	Inf	Inf
1.8442	11.7657	Inf	Inf
1.9029	11.4846	Inf	Inf
1.9533	11.2981	Inf	Inf
2.0029	11.1347	Inf	Inf
2.0571	10.9222	Inf	Inf
2.1075	10.7446	Inf	Inf
2.1625	10.4906	Inf	Inf
2.1976	10.1995	Inf	Inf
2.2487	9.2129	Inf	Inf
2.2579	8.9514	Inf	Inf
2.2724	9.0548	Inf	Inf
2.3479	9.5700	Inf	Inf
2.3747	9.7199	Inf	Inf
2.4540	9.5415	Inf	Inf
2.4853	9.2950	Inf	Inf
2.5166	8.9881	Inf	Inf
2.5937	8.6692	Inf	Inf
2.6273	8.5613	Inf	Inf
2.6998	8.2215	Inf	Inf
2.7273	8.1139	Inf	Inf
2.8029	7.9775	Inf	Inf
2.9044	7.9491	Inf	Inf
3.0044	7.9970	Inf	Inf
3.0227	7.8861	Inf	Inf
3.0777	7.7820	Inf	Inf
3.0899	7.3653	Inf	Inf
3.0922	7.1761	Inf	Inf
3.1097	7.3675	Inf	Inf
3.1105	7.2701	Inf	Inf
3.2090	8.3886	Inf	Inf
3.2876	8.2840	Inf	Inf
3.3403	8.1795	Inf	Inf
3.4402	8.0948	Inf	Inf
3.4677	7.9787	Inf	Inf
3.5166	8.0855	Inf	Inf
3.5761	7.9626	Inf	Inf
3.6425	8.0641	Inf	Inf
3.6807	7.6422	Inf	Inf
3.6830	7.5343	Inf	Inf
3.6960	7.2259	Inf	Inf
3.7120	7.0659	Inf	Inf
3.7257	7.0547	Inf	Inf
3.7288	6.9625	Inf	Inf
3.7379	7.3582	Inf	Inf
3.7753	8.1705	Inf	Inf
3.8395	8.5246	Inf	Inf
3.8982	8.4219	Inf	Inf
3.9982	8.3942	Inf	Inf
4.0517	8.4950	Inf	Inf
4.1349	8.5932	Inf	Inf
4.2356	8.6344	Inf	Inf
4.3364	8.6610	Inf	Inf
4.3387	8.5456	Inf	Inf
4.3600	8.2065	Inf	Inf
4.3631	7.9802	Inf	Inf
4.3768	7.8378	Inf	Inf
4.3921	7.9337	Inf	Inf
4.4158	8.9180	Inf	Inf
4.4944	9.4276	Inf	Inf
4.5898	9.5216	Inf	Inf
4.6127	9.6251	Inf	Inf
4.7135	9.6116	Inf	Inf
4.7730	9.7131	Inf	Inf
4.8715	9.7004	Inf	Inf
4.9600	9.5846	Inf	Inf
4.9669	9.4696	Inf	Inf
4.9852	9.0694	Inf	Inf
4.9905	8.8693	Inf	Inf
5.0073	8.8442	Inf	Inf
5.0111	8.7479	Inf	Inf
5.0424	9.8615	Inf	Inf
5.1119	10.5487	Inf	Inf
5.2119	10.4865	Inf	Inf
5.2394	10.5869	Inf	Inf
5.3203	10.3834	Inf	Inf
5.3684	10.4835	Inf	Inf
5.4218	10.6184	Inf	Inf
5.5233	10.7019	Inf	Inf
5.6226	10.7694	Inf	Inf
5.6844	10.6577	Inf	Inf
5.6966	10.4516	Inf	Inf
5.7477	10.0901	Inf	Inf
5.7767	9.7176	Inf	Inf
5.7958	9.8053	Inf	Inf
5.8821	11.2426	Inf	Inf
5.9744	11.1313	Inf	Inf
6.0263	11.0230	Inf	Inf
6.0805	10.8821	Inf	Inf
6.1683	10.7814	Inf	Inf
6.2347	10.6727	Inf	Inf
6.2767	10.5378	Inf	Inf
6.3782	10.4629	Inf	Inf
6.4561	10.3531	Inf	Inf
6.4805	9.9012	Inf	Inf
6.5072	10.0012	Inf	Inf
6.5721	9.6764	Inf	Inf
6.5897	9.2609	Inf	Inf
6.6294	9.3598	Inf	Inf
6.6912	10.5296	Inf	Inf
6.7904	10.5464	Inf	Inf
6.8889	10.5243	Inf	Inf
6.9896	10.4591	Inf	Inf
7.0874	10.4486	Inf	Inf
7.1812	10.3396	Inf	Inf
7.2026	10.2313	Inf	Inf
7.2858	10.0623	Inf	Inf
7.3141	9.9428	Inf	Inf
7.3255	9.7809	Inf	Inf
7.3476	9.2811	Inf	Inf
7.3515	9.0514	Inf	Inf
7.3621	9.1593	Inf	Inf
7.4095	10.2530	Inf	Inf
7.4667	10.5603	Inf	Inf
7.5660	10.5517	Inf	Inf
7.6659	10.4973	Inf	Inf
7.7652	10.4074	Inf	Inf
7.8652	10.4704	Inf	Inf
7.9285	10.3583	Inf	Inf
7.9667	10.0353	Inf	Inf
8.0125	9.9169	Inf	Inf
8.0239	9.4310	Inf	Inf
8.0400	9.2204	Inf	Inf
8.0552	9.3287	Inf	Inf
8.0995	10.4850	Inf	Inf
8.1598	10.8012	Inf	Inf
8.2529	10.6978	Inf	Inf
8.3522	10.7330	Inf	Inf
8.4308	10.6296	Inf	Inf
8.5315	10.5464	Inf	Inf
