Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 12:46:38

Name:	aluminium 23b
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0107	0.1004	Inf	Inf
0.0145	0.1997	Inf	Inf
0.0229	0.2998	Inf	Inf
0.0298	0.3998	Inf	Inf
0.0351	0.5002	Inf	Inf
0.0420	0.5988	Inf	Inf
0.0557	0.6999	Inf	Inf
0.0603	0.9019	Inf	Inf
0.0733	1.0645	Inf	Inf
0.0817	1.2507	Inf	Inf
0.0954	1.4654	Inf	Inf
0.1160	1.6887	Inf	Inf
0.1214	1.7899	Inf	Inf
0.1290	1.8888	Inf	Inf
0.1351	2.1114	Inf	Inf
0.1359	2.0128	Inf	Inf
0.1389	2.2118	Inf	Inf
0.1481	2.3752	Inf	Inf
0.1572	2.5648	Inf	Inf
0.1756	2.8915	Inf	Inf
0.1847	2.9912	Inf	Inf
0.1878	3.0923	Inf	Inf
0.1931	3.1927	Inf	Inf
0.1992	3.2928	Inf	Inf
0.2061	3.3936	Inf	Inf
0.2443	3.4936	Inf	Inf
0.2885	3.5933	Inf	Inf
0.3107	3.6933	Inf	Inf
0.3458	3.7941	Inf	Inf
0.3733	3.8930	Inf	Inf
0.4130	3.9923	Inf	Inf
0.4748	4.0954	Inf	Inf
0.5053	4.1954	Inf	Inf
0.5397	4.2955	Inf	Inf
0.6030	4.3955	Inf	Inf
0.6656	4.4974	Inf	Inf
0.6870	4.5982	Inf	Inf
0.7648	4.6960	Inf	Inf
0.8007	4.7964	Inf	Inf
0.8809	4.8950	Inf	Inf
0.9221	4.9958	Inf	Inf
0.9984	5.0969	Inf	Inf
1.0526	5.1951	Inf	Inf
1.1526	5.2614	Inf	Inf
1.2427	5.3607	Inf	Inf
1.3427	5.4424	Inf	Inf
1.4259	5.5428	Inf	Inf
1.5266	5.5900	Inf	Inf
1.6274	5.6694	Inf	Inf
1.7281	5.7020	Inf	Inf
1.8197	5.8025	Inf	Inf
1.8335	5.7002	Inf	Inf
1.8411	5.8021	Inf	Inf
1.9281	5.6987	Inf	Inf
1.9625	5.7976	Inf	Inf
2.0625	5.8485	Inf	Inf
2.1625	5.8984	Inf	Inf
2.2625	5.8778	Inf	Inf
2.3434	5.9782	Inf	Inf
2.4441	5.9284	Inf	Inf
2.4823	6.0273	Inf	Inf
2.5197	5.9254	Inf	Inf
2.6121	6.0258	Inf	Inf
2.7113	6.0209	Inf	Inf
2.8113	6.0498	Inf	Inf
2.8327	5.9478	Inf	Inf
2.8395	6.0468	Inf	Inf
2.9395	6.0805	Inf	Inf
3.0082	6.1790	Inf	Inf
3.0716	6.0775	Inf	Inf
3.0884	6.1779	Inf	Inf
3.1494	6.0760	Inf	Inf
3.1609	6.1760	Inf	Inf
3.2502	6.0734	Inf	Inf
3.3502	6.1333	Inf	Inf
3.4502	6.1434	Inf	Inf
3.5502	6.1209	Inf	Inf
3.6502	6.1745	Inf	Inf
3.7509	6.1116	Inf	Inf
3.8509	6.0992	Inf	Inf
3.9517	6.1712	Inf	Inf
4.0417	6.0689	Inf	Inf
4.0578	6.1674	Inf	Inf
4.1570	6.1772	Inf	Inf
4.2585	6.1809	Inf	Inf
4.2959	6.0764	Inf	Inf
4.3173	6.1749	Inf	Inf
4.3516	6.0734	Inf	Inf
4.3570	6.1708	Inf	Inf
4.4570	6.2274	Inf	Inf
4.5577	6.1491	Inf	Inf
4.6577	6.2315	Inf	Inf
4.6883	6.1288	Inf	Inf
4.7318	6.2274	Inf	Inf
4.8318	6.1966	Inf	Inf
4.9318	6.1768	Inf	Inf
5.0318	6.1674	Inf	Inf
5.1317	6.1449	Inf	Inf
5.2088	6.0438	Inf	Inf
5.3088	6.0816	Inf	Inf
5.3562	5.9816	Inf	Inf
5.4569	6.0224	Inf	Inf
5.5042	5.9205	Inf	Inf
5.5096	6.0228	Inf	Inf
5.5561	5.9201	Inf	Inf
5.5653	6.0205	Inf	Inf
5.5905	5.8778	Inf	Inf
5.5958	5.9778	Inf	Inf
5.6271	5.8725	Inf	Inf
5.7279	5.8905	Inf	Inf
5.8287	5.8302	Inf	Inf
5.9286	5.7774	Inf	Inf
6.0286	5.7009	Inf	Inf
6.1065	5.5986	Inf	Inf
6.2065	5.5432	Inf	Inf
6.3065	5.4435	Inf	Inf
6.3836	5.3390	Inf	Inf
6.4744	5.2352	Inf	Inf
6.5714	5.1310	Inf	Inf
6.6301	5.0291	Inf	Inf
6.7316	4.7335	Inf	Inf
6.8133	4.5817	Inf	Inf
6.9057	4.4296	Inf	Inf
7.0042	4.2775	Inf	Inf
7.1041	4.1216	Inf	Inf
7.2034	3.9635	Inf	Inf
Data End	

