Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 13:08:23

Name:	wood parallel grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0038	0.1004	Inf	Inf
0.0153	0.1997	Inf	Inf
0.0466	0.4807	Inf	Inf
0.0832	0.9086	Inf	Inf
0.1153	1.4021	Inf	Inf
0.1321	1.6160	Inf	Inf
0.1359	1.7153	Inf	Inf
0.1397	1.8956	Inf	Inf
0.1511	2.2804	Inf	Inf
0.1519	2.3857	Inf	Inf
0.1580	2.6772	Inf	Inf
0.1679	2.7746	Inf	Inf
0.1725	3.1096	Inf	Inf
0.1862	3.4505	Inf	Inf
0.1969	3.6941	Inf	Inf
0.2053	4.1531	Inf	Inf
0.2267	4.5956	Inf	Inf
0.2473	5.1726	Inf	Inf
0.2618	5.7077	Inf	Inf
0.2801	5.8092	Inf	Inf
0.3007	6.6822	Inf	Inf
0.3305	7.6714	Inf	Inf
0.3549	8.4144	Inf	Inf
0.3908	8.9397	Inf	Inf
0.4175	9.5835	Inf	Inf
0.4618	10.2946	Inf	Inf
0.5007	10.5708	Inf	Inf
0.5076	10.3152	Inf	Inf
0.5160	10.1972	Inf	Inf
0.5290	10.2995	Inf	Inf
0.5374	11.0125	Inf	Inf
0.6007	11.8713	Inf	Inf
0.6381	12.0737	Inf	Inf
0.7389	12.1415	Inf	Inf
0.8297	12.0223	Inf	Inf
0.8404	11.7230	Inf	Inf
0.8450	11.5633	Inf	Inf
0.8526	11.2606	Inf	Inf
0.8587	11.0946	Inf	Inf
0.8679	11.2025	Inf	Inf
0.8969	11.8923	Inf	Inf
0.9488	12.4364	Inf	Inf
1.0267	12.3285	Inf	Inf
1.0923	12.2202	Inf	Inf
1.1297	12.0568	Inf	Inf
1.2297	12.0553	Inf	Inf
1.2778	11.9391	Inf	Inf
1.2877	11.8275	Inf	Inf
1.3175	11.1283	Inf	Inf
1.3236	10.8608	Inf	Inf
1.3396	10.9631	Inf	Inf
1.3564	11.7541	Inf	Inf
1.4427	12.3000	Inf	Inf
1.4732	12.1906	Inf	Inf
1.4915	12.0722	Inf	Inf
1.5801	11.8548	Inf	Inf
1.6251	11.7376	Inf	Inf
1.6724	10.8391	Inf	Inf
1.6877	10.5363	Inf	Inf
1.7029	10.6386	Inf	Inf
1.7487	11.7881	Inf	Inf
1.8052	12.0965	Inf	Inf
1.8571	11.9373	Inf	Inf
1.9113	11.7106	Inf	Inf
1.9449	11.5101	Inf	Inf
2.0167	11.3764	Inf	Inf
2.0594	11.2681	Inf	Inf
2.1182	10.8814	Inf	Inf
2.1258	10.5730	Inf	Inf
2.1419	10.2032	Inf	Inf
2.1510	10.0308	Inf	Inf
2.1609	10.1343	Inf	Inf
2.2296	11.6454	Inf	Inf
2.3266	11.5371	Inf	Inf
2.3556	11.4311	Inf	Inf
2.4563	11.3243	Inf	Inf
2.5579	11.2126	Inf	Inf
2.5846	11.0931	Inf	Inf
2.6846	10.9863	Inf	Inf
2.7540	10.8799	Inf	Inf
2.7891	10.7019	Inf	Inf
2.8082	10.5951	Inf	Inf
2.8510	9.8469	Inf	Inf
2.8632	9.5636	Inf	Inf
2.8914	9.6753	Inf	Inf
2.8952	10.0140	Inf	Inf
2.9968	11.1441	Inf	Inf
3.0494	11.0272	Inf	Inf
3.1029	10.7930	Inf	Inf
3.1792	10.6764	Inf	Inf
3.2800	10.6791	Inf	Inf
3.2983	10.5625	Inf	Inf
3.3738	10.6615	Inf	Inf
3.4319	10.5449	Inf	Inf
3.5326	10.4644	Inf	Inf
3.6318	10.5311	Inf	Inf
3.6586	10.4078	Inf	Inf
3.6914	9.9361	Inf	Inf
3.7204	9.2890	Inf	Inf
3.7257	9.0664	Inf	Inf
3.7326	8.9259	Inf	Inf
3.7364	9.0263	Inf	Inf
3.7647	9.8783	Inf	Inf
3.8257	10.1200	Inf	Inf
3.8662	10.3179	Inf	Inf
3.9662	10.2796	Inf	Inf
4.0570	10.1747	Inf	Inf
4.1570	10.0807	Inf	Inf
4.2578	10.0511	Inf	Inf
4.3585	10.1047	Inf	Inf
4.4074	9.9956	Inf	Inf
4.4318	9.3294	Inf	Inf
4.4448	8.9120	Inf	Inf
4.4493	8.7262	Inf	Inf
4.4555	8.6108	Inf	Inf
4.4638	8.7194	Inf	Inf
4.5402	10.3209	Inf	Inf
4.5669	10.4408	Inf	Inf
4.6661	10.3598	Inf	Inf
4.7104	10.2553	Inf	Inf
4.7402	10.1388	Inf	Inf
4.8402	10.0477	Inf	Inf
4.9409	10.0623	Inf	Inf
5.0417	9.9731	Inf	Inf
5.1409	10.0383	Inf	Inf
5.2417	9.9454	Inf	Inf
5.3325	9.8248	Inf	Inf
5.3401	9.7124	Inf	Inf
5.3852	8.9589	Inf	Inf
5.3951	8.6966	Inf	Inf
5.4050	8.5598	Inf	Inf
5.4104	8.6505	Inf	Inf
5.4875	10.1923	Inf	Inf
5.5890	10.2437	Inf	Inf
5.6416	10.1365	Inf	Inf
5.6920	10.0316	Inf	Inf
5.7912	10.0065	Inf	Inf
5.8424	9.8978	Inf	Inf
5.9409	9.9904	Inf	Inf
5.9538	10.0927	Inf	Inf
6.0531	10.0871	Inf	Inf
6.1546	10.0279	Inf	Inf
6.1966	9.9233	Inf	Inf
6.2950	9.9087	Inf	Inf
6.3943	9.8023	Inf	Inf
6.4217	9.6756	Inf	Inf
6.4828	8.9068	Inf	Inf
6.4981	8.5006	Inf	Inf
6.5088	8.3249	Inf	Inf
6.5164	8.4122	Inf	Inf
6.6110	9.9484	Inf	Inf
6.6965	9.8311	Inf	Inf
6.7316	9.7060	Inf	Inf
6.8042	9.4160	Inf	Inf
6.8355	9.2920	Inf	Inf
6.9347	9.2013	Inf	Inf
7.0248	9.3021	Inf	Inf
7.0874	9.4017	Inf	Inf
7.1782	9.2965	Inf	Inf
7.2789	9.2980	Inf	Inf
7.3774	9.2818	Inf	Inf
7.4263	9.1728	Inf	Inf
7.4789	8.4867	Inf	Inf
7.4866	8.3841	Inf	Inf
7.4995	8.1435	Inf	Inf
7.5041	7.9783	Inf	Inf
7.5202	8.0802	Inf	Inf
7.6072	9.5295	Inf	Inf
7.6415	9.6299	Inf	Inf
7.7377	9.5243	Inf	Inf
7.8369	9.4325	Inf	Inf
7.9102	9.3268	Inf	Inf
8.0094	9.2507	Inf	Inf
8.1110	9.2552	Inf	Inf
8.1919	9.3527	Inf	Inf
8.2903	9.4283	Inf	Inf
8.3888	9.4283	Inf	Inf
8.4514	9.3189	Inf	Inf
8.4903	8.9154	Inf	Inf
8.5033	8.6377	Inf	Inf
8.5338	8.2114	Inf	Inf
8.5651	8.3076	Inf	Inf
8.6369	9.6490	Inf	Inf
8.6674	9.7997	Inf	Inf
8.7659	9.7937	Inf	Inf
8.8651	9.8169	Inf	Inf
8.9659	9.7487	Inf	Inf
9.0521	9.8551	Inf	Inf
9.0796	9.9563	Inf	Inf
9.1567	10.1009	Inf	Inf
9.2506	10.1961	Inf	Inf
9.2987	10.2988	Inf	Inf
9.3979	10.2407	Inf	Inf
9.4162	10.1241	Inf	Inf
9.4567	9.3530	Inf	Inf
9.4727	8.9487	Inf	Inf
9.4849	8.7490	Inf	Inf
9.4994	8.8416	Inf	Inf
9.5788	10.6596	Inf	Inf
9.6032	10.8956	Inf	Inf
9.6819	11.0834	Inf	Inf
9.7811	11.0272	Inf	Inf
9.8811	10.9346	Inf	Inf
9.9467	11.0391	Inf	Inf
9.9849	11.1613	Inf	Inf
10.0864	11.2261	Inf	Inf
10.1482	11.3288	Inf	Inf
10.1917	11.4783	Inf	Inf
10.2444	11.6443	Inf	Inf
10.3047	11.7447	Inf	Inf
10.3971	11.6319	Inf	Inf
10.4146	11.4966	Inf	Inf
10.4421	10.9275	Inf	Inf
10.4704	10.2714	Inf	Inf
10.4833	9.9904	Inf	Inf
10.4994	10.0897	Inf	Inf
10.5818	12.1033	Inf	Inf
10.6032	12.3221	Inf	Inf
10.6856	12.6436	Inf	Inf
10.7871	12.6282	Inf	Inf
10.8879	12.5656	Inf	Inf
10.9123	12.4487	Inf	Inf
11.0016	12.5574	Inf	Inf
11.0146	12.7770	Inf	Inf
11.1047	13.2937	Inf	Inf
11.2047	13.3746	Inf	Inf
11.2321	13.4758	Inf	Inf
11.3085	13.7785	Inf	Inf
11.4069	13.6564	Inf	Inf
