Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 13:11:43

Name:	wood perpendicular grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0237	0.1012	Inf	Inf
0.0343	0.2023	Inf	Inf
0.1252	0.5276	Inf	Inf
0.1687	0.6291	Inf	Inf
0.2305	0.7509	Inf	Inf
0.3267	0.8524	Inf	Inf
0.4252	0.9195	Inf	Inf
0.5236	0.9686	Inf	Inf
0.6236	1.0255	Inf	Inf
0.7229	1.0574	Inf	Inf
0.8244	1.0948	Inf	Inf
0.9244	0.9971	Inf	Inf
0.9946	1.0960	Inf	Inf
1.0954	1.1443	Inf	Inf
1.1953	1.1915	Inf	Inf
1.2953	1.1668	Inf	Inf
1.3946	1.1833	Inf	Inf
1.4938	1.2294	Inf	Inf
1.5953	1.2237	Inf	Inf
1.6961	1.2275	Inf	Inf
1.7976	1.2627	Inf	Inf
1.8984	1.2297	Inf	Inf
1.9235	1.1278	Inf	Inf
1.9793	1.2294	Inf	Inf
2.0808	1.3245	Inf	Inf
2.1815	1.3481	Inf	Inf
2.2815	1.3493	Inf	Inf
2.3823	1.3197	Inf	Inf
2.4823	1.3317	Inf	Inf
2.5838	1.3924	Inf	Inf
2.6846	1.4212	Inf	Inf
2.7838	1.4235	Inf	Inf
2.8846	1.4516	Inf	Inf
2.9838	1.4463	Inf	Inf
3.0845	1.3815	Inf	Inf
3.1822	1.4808	Inf	Inf
3.2815	1.5141	Inf	Inf
3.3822	1.4553	Inf	Inf
3.3937	1.3538	Inf	Inf
3.4570	1.4557	Inf	Inf
3.5166	1.5553	Inf	Inf
3.6181	1.5853	Inf	Inf
3.7189	1.5666	Inf	Inf
3.8189	1.5861	Inf	Inf
3.9196	1.5906	Inf	Inf
4.0188	1.6112	Inf	Inf
4.1204	1.6618	Inf	Inf
