Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 13:51:39

Name:	Aluminium
User Comment:	Stephanos Arsalides

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0018	0.0950	Inf	Inf
0.0064	0.2031	Inf	Inf
0.0240	0.4255	Inf	Inf
0.0415	0.5725	Inf	Inf
0.0563	0.6738	Inf	Inf
0.0629	0.8451	Inf	Inf
0.0794	1.0636	Inf	Inf
0.1001	1.4998	Inf	Inf
0.1110	1.6019	Inf	Inf
0.1235	1.7023	Inf	Inf
0.1612	2.3129	Inf	Inf
0.1818	2.7500	Inf	Inf
0.1927	2.8498	Inf	Inf
0.2053	3.1523	Inf	Inf
0.2547	3.6959	Inf	Inf
0.3061	3.9050	Inf	Inf
0.3420	4.0102	Inf	Inf
0.3731	4.1102	Inf	Inf
0.4062	4.2091	Inf	Inf
0.4739	4.3640	Inf	Inf
0.4984	4.4624	Inf	Inf
0.5442	4.5613	Inf	Inf
0.5943	4.6815	Inf	Inf
0.6511	4.7810	Inf	Inf
0.7048	4.8812	Inf	Inf
0.7132	4.9805	Inf	Inf
0.8043	5.0807	Inf	Inf
0.8441	5.1809	Inf	Inf
0.9390	5.2803	Inf	Inf
1.0391	5.3092	Inf	Inf
1.0490	5.4089	Inf	Inf
1.1465	5.5085	Inf	Inf
1.2237	5.6094	Inf	Inf
1.3240	5.6811	Inf	Inf
1.4240	5.7741	Inf	Inf
1.5241	5.8341	Inf	Inf
1.6244	5.8912	Inf	Inf
1.7243	5.9114	Inf	Inf
1.8244	5.9155	Inf	Inf
1.9239	5.9992	Inf	Inf
2.0253	6.0134	Inf	Inf
2.1251	6.0268	Inf	Inf
2.2253	6.0804	Inf	Inf
2.3258	6.0960	Inf	Inf
2.3624	5.9948	Inf	Inf
2.4231	6.0958	Inf	Inf
2.5232	6.1029	Inf	Inf
2.5365	6.0026	Inf	Inf
2.5472	6.1009	Inf	Inf
2.6477	6.1989	Inf	Inf
2.7480	6.1608	Inf	Inf
2.8480	6.1585	Inf	Inf
2.9488	6.1638	Inf	Inf
3.0480	6.1723	Inf	Inf
3.1237	6.0708	Inf	Inf
3.1276	6.1724	Inf	Inf
3.2277	6.2200	Inf	Inf
3.3270	6.1294	Inf	Inf
3.3631	6.2296	Inf	Inf
3.4622	6.2137	Inf	Inf
3.5112	6.1121	Inf	Inf
3.5216	6.2118	Inf	Inf
3.6222	6.2217	Inf	Inf
3.6877	6.1208	Inf	Inf
3.7082	6.2208	Inf	Inf
3.7502	6.1204	Inf	Inf
3.7654	6.2207	Inf	Inf
3.8653	6.2139	Inf	Inf
3.9657	6.2118	Inf	Inf
4.0657	6.2025	Inf	Inf
4.1670	6.1997	Inf	Inf
4.2677	6.1606	Inf	Inf
4.2820	6.0598	Inf	Inf
4.2863	6.1642	Inf	Inf
4.3868	6.1629	Inf	Inf
4.4528	6.0618	Inf	Inf
4.4738	6.1621	Inf	Inf
4.5740	6.1175	Inf	Inf
4.6074	6.0159	Inf	Inf
4.6192	6.1173	Inf	Inf
4.7194	6.0656	Inf	Inf
4.8007	5.9622	Inf	Inf
4.9016	5.9961	Inf	Inf
4.9998	5.8928	Inf	Inf
5.1001	5.8835	Inf	Inf
5.1943	5.7810	Inf	Inf
5.2948	5.7509	Inf	Inf
5.3705	5.6495	Inf	Inf
5.4699	5.6200	Inf	Inf
5.5693	5.5264	Inf	Inf
5.6610	5.4232	Inf	Inf
5.7605	5.3518	Inf	Inf
5.7963	5.2498	Inf	Inf
5.8960	5.1906	Inf	Inf
5.9809	5.0872	Inf	Inf
6.0221	4.9841	Inf	Inf
6.0960	4.8837	Inf	Inf
6.1139	4.7833	Inf	Inf
6.2183	4.4939	Inf	Inf
6.3452	4.1867	Inf	Inf
6.4193	4.0322	Inf	Inf
6.4984	3.8776	Inf	Inf
Data End	

