Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 13:38:56

Name:	Steel
User Comment:	Lena Dizane

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0024	0.2002	-Inf	Inf
-0.0023	0.0996	-Inf	Inf
0.0015	0.3406	Inf	Inf
0.0064	0.5774	Inf	Inf
0.0079	0.4769	Inf	Inf
0.0181	0.6767	Inf	Inf
0.0203	0.7769	Inf	Inf
0.0214	0.8771	Inf	Inf
0.0264	0.9770	Inf	Inf
0.0277	1.1844	Inf	Inf
0.0308	1.0759	Inf	Inf
0.0405	1.4133	Inf	Inf
0.0466	1.7812	Inf	Inf
0.0492	1.5635	Inf	Inf
0.0499	1.6627	Inf	Inf
0.0532	1.7613	Inf	Inf
0.0547	1.8615	Inf	Inf
0.0611	2.0045	Inf	Inf
0.0697	2.2372	Inf	Inf
0.0708	2.3873	Inf	Inf
0.0723	2.5360	Inf	Inf
0.0783	2.6727	Inf	Inf
0.0840	2.9020	Inf	Inf
0.0957	3.2155	Inf	Inf
0.0962	3.0980	Inf	Inf
0.0975	3.3613	Inf	Inf
0.1056	3.6812	Inf	Inf
0.1081	3.5273	Inf	Inf
0.1105	3.7801	Inf	Inf
0.1145	3.8967	Inf	Inf
0.1230	4.0593	Inf	Inf
0.1260	4.2673	Inf	Inf
0.1309	4.4864	Inf	Inf
0.1354	4.7162	Inf	Inf
0.1357	4.6170	Inf	Inf
0.1364	4.8168	Inf	Inf
0.1416	5.1688	Inf	Inf
0.1428	4.9815	Inf	Inf
0.1459	5.2691	Inf	Inf
0.1497	5.4678	Inf	Inf
0.1502	5.5682	Inf	Inf
0.1507	5.3686	Inf	Inf
0.1575	5.7248	Inf	Inf
0.1591	6.1706	Inf	Inf
0.1596	5.9519	Inf	Inf
0.1711	6.3249	Inf	Inf
0.1767	6.4368	Inf	Inf
0.1782	6.8101	Inf	Inf
0.1795	6.6564	Inf	Inf
0.1850	6.9097	Inf	Inf
0.1861	7.0219	Inf	Inf
0.1874	7.1248	Inf	Inf
0.1881	7.2651	Inf	Inf
0.1940	7.4258	Inf	Inf
0.1942	7.6740	Inf	Inf
0.1960	7.5251	Inf	Inf
0.1993	7.7926	Inf	Inf
0.2064	7.8935	Inf	Inf
0.2085	7.9935	Inf	Inf
0.2120	8.3211	Inf	Inf
