Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:10:31

Name:	Timber parallel 
User Comment:	Anastasios Lymperopoulos

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0089	0.1010	Inf	Inf
0.0591	0.4356	Inf	Inf
0.0728	0.5349	Inf	Inf
0.0929	0.7447	Inf	Inf
0.1215	0.8449	Inf	Inf
0.1293	0.9458	Inf	Inf
0.1576	1.1739	Inf	Inf
0.1996	1.5054	Inf	Inf
0.2467	1.8049	Inf	Inf
0.2747	1.9683	Inf	Inf
0.3154	2.1273	Inf	Inf
0.3572	2.2913	Inf	Inf
0.3727	2.1905	Inf	Inf
0.3959	2.2885	Inf	Inf
0.4746	2.6400	Inf	Inf
0.5756	2.6917	Inf	Inf
0.6767	2.6662	Inf	Inf
0.7594	2.5632	Inf	Inf
0.7668	2.4517	Inf	Inf
0.7793	2.3228	Inf	Inf
0.8060	2.4263	Inf	Inf
0.8597	2.6766	Inf	Inf
0.9608	2.6958	Inf	Inf
1.0604	2.6526	Inf	Inf
1.0790	2.5466	Inf	Inf
1.0856	2.3847	Inf	Inf
1.0932	2.2839	Inf	Inf
1.1172	2.3805	Inf	Inf
1.1559	2.5803	Inf	Inf
1.2188	2.7480	Inf	Inf
1.3180	2.7906	Inf	Inf
1.4193	2.7968	Inf	Inf
1.5184	2.7683	Inf	Inf
1.5324	2.6616	Inf	Inf
1.5349	2.5574	Inf	Inf
1.5382	2.4379	Inf	Inf
1.5724	2.5387	Inf	Inf
1.6408	2.8553	Inf	Inf
1.7408	2.8870	Inf	Inf
1.8401	2.9019	Inf	Inf
1.8942	2.7990	Inf	Inf
1.8960	2.6961	Inf	Inf
1.9040	2.5529	Inf	Inf
1.9151	2.4508	Inf	Inf
1.9367	2.5489	Inf	Inf
1.9540	2.6771	Inf	Inf
2.0332	2.9047	Inf	Inf
2.1262	2.8027	Inf	Inf
2.1344	2.6998	Inf	Inf
2.1378	2.5978	Inf	Inf
2.1807	2.7014	Inf	Inf
2.2402	2.9949	Inf	Inf
2.3020	3.0953	Inf	Inf
2.4012	3.1187	Inf	Inf
2.5014	3.0556	Inf	Inf
2.5158	2.9481	Inf	Inf
2.5231	2.8227	Inf	Inf
2.5351	2.6851	Inf	Inf
2.5497	2.5845	Inf	Inf
2.5603	2.6851	Inf	Inf
2.6178	2.9886	Inf	Inf
2.6626	3.0919	Inf	Inf
2.7631	3.1309	Inf	Inf
