Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:14:54

Name:	Timber perpendicular 
User Comment:	Stephanos Arsalides

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0206	0.1005	Inf	Inf
0.0529	0.2000	Inf	Inf
0.1146	0.3937	Inf	Inf
0.2111	0.4929	Inf	Inf
0.3112	0.5715	Inf	Inf
0.4102	0.6374	Inf	Inf
0.5100	0.6595	Inf	Inf
0.6106	0.6825	Inf	Inf
0.7106	0.7233	Inf	Inf
0.8107	0.7033	Inf	Inf
0.9105	0.7778	Inf	Inf
1.0103	0.7910	Inf	Inf
1.1103	0.8488	Inf	Inf
1.1328	0.7480	Inf	Inf
1.1994	0.8473	Inf	Inf
1.2992	0.8189	Inf	Inf
1.3782	0.9185	Inf	Inf
1.4783	0.9117	Inf	Inf
1.5781	0.9158	Inf	Inf
1.6084	0.8124	Inf	Inf
1.6662	0.9117	Inf	Inf
1.7662	0.9127	Inf	Inf
1.8660	0.9595	Inf	Inf
1.9418	0.8571	Inf	Inf
1.9864	0.9579	Inf	Inf
2.0870	1.0083	Inf	Inf
2.1867	0.9864	Inf	Inf
2.2861	1.0455	Inf	Inf
2.3861	1.1055	Inf	Inf
2.4859	1.0771	Inf	Inf
2.5859	1.1517	Inf	Inf
2.6038	1.0508	Inf	Inf
2.6451	1.1514	Inf	Inf
2.7439	1.2264	Inf	Inf
2.8434	1.2601	Inf	Inf
2.9430	1.2126	Inf	Inf
3.0425	1.2702	Inf	Inf
3.1351	1.1690	Inf	Inf
3.1765	1.2687	Inf	Inf
3.2769	1.3397	Inf	Inf
3.3772	1.3282	Inf	Inf
3.4643	1.2266	Inf	Inf
3.4990	1.3263	Inf	Inf
3.5984	1.3955	Inf	Inf
3.6685	1.2926	Inf	Inf
3.7339	1.3926	Inf	Inf
3.7579	1.2896	Inf	Inf
3.8087	1.3889	Inf	Inf
3.9096	1.4504	Inf	Inf
4.0087	1.4468	Inf	Inf
4.1098	1.4746	Inf	Inf
4.2091	1.5147	Inf	Inf
4.2458	1.4127	Inf	Inf
4.3220	1.5134	Inf	Inf
4.4220	1.4163	Inf	Inf
4.4604	1.5169	Inf	Inf
4.5602	1.5292	Inf	Inf
4.5985	1.4279	Inf	Inf
4.6661	1.5269	Inf	Inf
4.7660	1.6200	Inf	Inf
4.8164	1.5166	Inf	Inf
4.8611	1.6159	Inf	Inf
4.9612	1.6608	Inf	Inf
5.0167	1.5588	Inf	Inf
5.0996	1.6593	Inf	Inf
5.1586	1.5567	Inf	Inf
5.2009	1.6569	Inf	Inf
5.2556	1.7562	Inf	Inf
5.3462	1.6502	Inf	Inf
5.4468	1.7491	Inf	Inf
5.5310	1.6469	Inf	Inf
5.5631	1.7464	Inf	Inf
5.6503	1.8463	Inf	Inf
5.7171	1.7419	Inf	Inf
5.7277	1.6405	Inf	Inf
5.7637	1.7405	Inf	Inf
5.7829	1.8530	Inf	Inf
