Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 15:36:48

Name:	26A
User Comment:	Alumnium tensile

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1001	0.0920	Inf	Inf
0.2003	0.1105	Inf	Inf
0.3010	0.1129	Inf	Inf
0.4006	0.1183	Inf	Inf
0.5005	0.1098	Inf	Inf
0.6004	0.1114	Inf	Inf
0.6999	0.1079	Inf	Inf
0.8008	0.1103	Inf	Inf
0.9008	0.1083	Inf	Inf
1.0016	0.1120	Inf	Inf
1.1016	0.1784	Inf	Inf
1.1199	0.2783	Inf	Inf
1.1348	0.3787	Inf	Inf
1.1502	0.4783	Inf	Inf
1.1513	0.5777	Inf	Inf
1.1630	0.6781	Inf	Inf
1.1739	0.7786	Inf	Inf
1.1753	0.8786	Inf	Inf
1.1874	0.9788	Inf	Inf
1.1963	1.0789	Inf	Inf
1.1980	1.1789	Inf	Inf
1.2070	1.2791	Inf	Inf
1.2102	1.3791	Inf	Inf
1.2157	1.4794	Inf	Inf
1.2272	1.6793	Inf	Inf
1.2322	1.7797	Inf	Inf
1.2327	1.5787	Inf	Inf
1.2382	1.8800	Inf	Inf
1.2482	1.9799	Inf	Inf
1.2516	2.0801	Inf	Inf
1.2552	2.1813	Inf	Inf
1.2658	2.2818	Inf	Inf
1.2709	2.3818	Inf	Inf
1.2743	2.4816	Inf	Inf
1.2797	2.5809	Inf	Inf
1.2880	2.6807	Inf	Inf
1.2934	2.7811	Inf	Inf
1.3013	2.8803	Inf	Inf
1.3085	2.9805	Inf	Inf
1.3134	3.0810	Inf	Inf
1.3236	3.1805	Inf	Inf
1.3250	3.2803	Inf	Inf
1.3337	3.4814	Inf	Inf
1.3354	3.3808	Inf	Inf
1.3418	3.6808	Inf	Inf
1.3448	3.5811	Inf	Inf
1.3585	3.7806	Inf	Inf
1.3644	3.8809	Inf	Inf
1.3700	3.9808	Inf	Inf
1.3884	4.0813	Inf	Inf
1.4233	4.1809	Inf	Inf
1.4570	4.2806	Inf	Inf
1.5023	4.3807	Inf	Inf
1.5298	4.4808	Inf	Inf
1.5750	4.5807	Inf	Inf
1.6135	4.6810	Inf	Inf
1.6540	4.7805	Inf	Inf
1.7030	4.8812	Inf	Inf
1.7468	4.9803	Inf	Inf
1.8058	5.0800	Inf	Inf
1.8622	5.1805	Inf	Inf
1.9191	5.2807	Inf	Inf
1.9603	5.3822	Inf	Inf
2.0602	5.4596	Inf	Inf
2.1177	5.5597	Inf	Inf
2.2179	5.6385	Inf	Inf
2.3034	5.7383	Inf	Inf
2.3884	5.8378	Inf	Inf
2.4434	5.9379	Inf	Inf
2.5431	5.8783	Inf	Inf
2.6220	5.9786	Inf	Inf
2.7221	6.0576	Inf	Inf
2.8230	6.0647	Inf	Inf
2.8334	6.1624	Inf	Inf
2.9322	6.1449	Inf	Inf
3.0323	6.1685	Inf	Inf
3.1319	6.1919	Inf	Inf
3.2319	6.2529	Inf	Inf
3.3326	6.2575	Inf	Inf
3.3731	6.2571	Inf	Inf
3.3765	6.1572	Inf	Inf
3.4732	6.3164	Inf	Inf
3.5728	6.3506	Inf	Inf
3.6728	6.3545	Inf	Inf
3.7729	6.3443	Inf	Inf
3.8138	6.2433	Inf	Inf
3.8261	6.3415	Inf	Inf
3.9263	6.3980	Inf	Inf
4.0258	6.4076	Inf	Inf
4.1259	6.4092	Inf	Inf
4.2253	6.4071	Inf	Inf
4.3254	6.3769	Inf	Inf
4.4259	6.3906	Inf	Inf
4.5196	6.3869	Inf	Inf
4.5202	6.2902	Inf	Inf
4.5283	6.4859	Inf	Inf
4.6280	6.4438	Inf	Inf
4.7277	6.4476	Inf	Inf
4.8279	6.4400	Inf	Inf
4.9274	6.4408	Inf	Inf
5.0280	6.4325	Inf	Inf
5.1196	6.3311	Inf	Inf
5.1285	6.4283	Inf	Inf
5.1292	6.5260	Inf	Inf
5.2291	6.4444	Inf	Inf
5.3288	6.4239	Inf	Inf
5.4286	6.4056	Inf	Inf
5.5293	6.3885	Inf	Inf
5.6294	6.3534	Inf	Inf
5.7298	6.3207	Inf	Inf
5.7650	6.2190	Inf	Inf
5.7695	6.3186	Inf	Inf
5.8693	6.2792	Inf	Inf
5.9698	6.2259	Inf	Inf
6.0698	6.1776	Inf	Inf
6.1698	6.0971	Inf	Inf
6.2692	6.0333	Inf	Inf
6.3203	5.9298	Inf	Inf
6.3376	6.0295	Inf	Inf
6.4094	5.9288	Inf	Inf
6.5087	5.8338	Inf	Inf
6.6083	5.7492	Inf	Inf
6.7076	5.6681	Inf	Inf
6.8073	5.5744	Inf	Inf
6.8955	5.4719	Inf	Inf
6.9903	5.3714	Inf	Inf
7.0655	5.2692	Inf	Inf
7.0953	5.1679	Inf	Inf
7.0991	5.2684	Inf	Inf
7.1281	5.1361	Inf	Inf
7.2771	4.6895	Inf	Inf
7.3538	4.5308	Inf	Inf
7.4348	4.3710	Inf	Inf
7.5203	4.2098	Inf	Inf
Data End	

