Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 15:41:29

Name:	26A
User Comment:	Steel tensile

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0998	0.0401	Inf	Inf
0.2001	0.0536	Inf	Inf
0.2997	0.0665	Inf	Inf
0.3998	0.0709	Inf	Inf
0.4998	0.0730	Inf	Inf
0.5998	0.0699	Inf	Inf
0.6999	0.0832	Inf	Inf
0.7995	0.0745	Inf	Inf
0.8997	0.0746	Inf	Inf
0.9996	0.0726	Inf	Inf
1.0997	0.0671	Inf	Inf
1.2003	0.0720	Inf	Inf
1.3003	0.0729	Inf	Inf
1.3999	0.0738	Inf	Inf
1.5005	0.0730	Inf	Inf
1.6008	0.0761	Inf	Inf
1.7008	0.0763	Inf	Inf
1.8009	0.0718	Inf	Inf
1.9009	0.0752	Inf	Inf
2.0007	0.0673	Inf	Inf
2.1005	0.0691	Inf	Inf
2.1871	0.1685	Inf	Inf
2.1963	0.2680	Inf	Inf
2.2125	0.3878	Inf	Inf
2.2234	0.6149	Inf	Inf
2.2263	0.7471	Inf	Inf
2.2338	0.9096	Inf	Inf
2.2348	1.0101	Inf	Inf
2.2395	1.1103	Inf	Inf
2.2496	1.2344	Inf	Inf
2.2507	1.3357	Inf	Inf
2.2576	1.5682	Inf	Inf
2.2597	1.4689	Inf	Inf
2.2659	1.6689	Inf	Inf
2.2703	1.7699	Inf	Inf
2.2759	1.8700	Inf	Inf
2.2852	1.9700	Inf	Inf
2.2879	2.0697	Inf	Inf
2.2955	2.2101	Inf	Inf
2.2959	2.3146	Inf	Inf
2.3093	2.4857	Inf	Inf
2.3134	2.6067	Inf	Inf
2.3141	2.7055	Inf	Inf
2.3236	2.9163	Inf	Inf
2.3306	3.0181	Inf	Inf
2.3365	3.1185	Inf	Inf
2.3385	3.2534	Inf	Inf
2.3452	3.4454	Inf	Inf
2.3502	3.5789	Inf	Inf
2.3575	3.8662	Inf	Inf
2.3576	3.9650	Inf	Inf
2.3602	3.7533	Inf	Inf
2.3623	4.0894	Inf	Inf
2.3736	4.3881	Inf	Inf
2.3739	4.2813	Inf	Inf
2.3750	4.5202	Inf	Inf
2.3765	4.7672	Inf	Inf
2.3818	4.6685	Inf	Inf
2.3856	4.8851	Inf	Inf
2.3891	5.1059	Inf	Inf
2.3895	4.9880	Inf	Inf
2.3946	5.3833	Inf	Inf
2.3951	5.2812	Inf	Inf
2.3964	5.4839	Inf	Inf
2.3989	5.6833	Inf	Inf
2.4086	5.5835	Inf	Inf
2.4146	5.7832	Inf	Inf
2.4149	5.8834	Inf	Inf
2.4170	5.9831	Inf	Inf
2.4205	6.0834	Inf	Inf
2.4217	6.2828	Inf	Inf
2.4244	6.1833	Inf	Inf
2.4298	6.4840	Inf	Inf
2.4316	6.3840	Inf	Inf
2.4355	6.5839	Inf	Inf
2.4376	6.9085	Inf	Inf
2.4389	6.6838	Inf	Inf
2.4415	6.7837	Inf	Inf
2.4494	7.0106	Inf	Inf
2.4559	7.1526	Inf	Inf
2.4692	7.6871	Inf	Inf
2.4710	7.4738	Inf	Inf
2.4726	7.5890	Inf	Inf
2.4769	7.7864	Inf	Inf
2.4775	8.0877	Inf	Inf
2.4785	7.8859	Inf	Inf
2.4830	8.2862	Inf	Inf
2.4831	7.9867	Inf	Inf
2.4838	8.1860	Inf	Inf
2.4894	8.5315	Inf	Inf
2.4930	8.3868	Inf	Inf
