Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 16:02:57

Name:	26A
User Comment:	Wood Compression Parallel

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0007	0.1044	Inf	Inf
0.0048	0.3220	Inf	Inf
0.0363	0.9973	Inf	Inf
0.0634	1.3716	Inf	Inf
0.0805	1.7864	Inf	Inf
0.0886	2.1281	Inf	Inf
0.0920	1.9884	Inf	Inf
0.1021	2.3067	Inf	Inf
0.1066	2.4668	Inf	Inf
0.1114	2.6553	Inf	Inf
0.1233	2.9508	Inf	Inf
0.1249	2.7987	Inf	Inf
0.1329	3.1225	Inf	Inf
0.1367	3.2762	Inf	Inf
0.1379	3.5731	Inf	Inf
0.1592	3.8784	Inf	Inf
0.1629	3.7772	Inf	Inf
0.1742	3.8768	Inf	Inf
0.1835	4.5279	Inf	Inf
0.1866	4.2141	Inf	Inf
0.2032	4.7771	Inf	Inf
0.2112	4.8879	Inf	Inf
0.2139	4.9897	Inf	Inf
0.2182	5.0898	Inf	Inf
0.2251	5.1902	Inf	Inf
0.2253	5.2901	Inf	Inf
0.2329	5.3894	Inf	Inf
0.2379	5.4890	Inf	Inf
0.2413	5.5896	Inf	Inf
0.2502	5.6904	Inf	Inf
0.2609	5.7939	Inf	Inf
0.2698	5.9356	Inf	Inf
0.2769	6.1258	Inf	Inf
0.2898	6.3901	Inf	Inf
0.2943	6.1710	Inf	Inf
0.2961	6.2730	Inf	Inf
0.2985	6.0707	Inf	Inf
0.3073	6.1724	Inf	Inf
0.3102	6.3915	Inf	Inf
0.3176	6.6729	Inf	Inf
0.3259	6.9439	Inf	Inf
0.3427	7.1693	Inf	Inf
0.3598	7.3964	Inf	Inf
0.3845	7.5345	Inf	Inf
0.4060	7.6441	Inf	Inf
0.4198	7.7443	Inf	Inf
0.4323	7.8427	Inf	Inf
0.4438	7.9948	Inf	Inf
0.4617	8.1371	Inf	Inf
0.4810	8.2377	Inf	Inf
0.5050	8.1346	Inf	Inf
0.5086	8.0204	Inf	Inf
0.5093	7.8819	Inf	Inf
0.5169	7.7797	Inf	Inf
0.5201	7.5788	Inf	Inf
0.5239	7.6792	Inf	Inf
0.5314	7.6828	Inf	Inf
0.5362	8.0111	Inf	Inf
0.5562	8.3189	Inf	Inf
0.5657	8.6369	Inf	Inf
0.5880	8.8152	Inf	Inf
0.6719	8.9161	Inf	Inf
0.7281	9.0162	Inf	Inf
0.8111	8.9104	Inf	Inf
0.8648	8.8034	Inf	Inf
0.8778	8.6478	Inf	Inf
0.8958	8.2983	Inf	Inf
0.9029	8.1265	Inf	Inf
0.9046	8.0102	Inf	Inf
0.9059	7.9091	Inf	Inf
0.9110	7.8086	Inf	Inf
0.9228	7.9091	Inf	Inf
0.9355	8.3253	Inf	Inf
0.9598	8.7151	Inf	Inf
0.9886	8.9976	Inf	Inf
1.0798	8.8911	Inf	Inf
1.0949	8.7831	Inf	Inf
1.1945	8.7874	Inf	Inf
1.2131	8.6838	Inf	Inf
1.3111	8.5743	Inf	Inf
1.3145	8.4642	Inf	Inf
1.3251	8.0752	Inf	Inf
1.3389	7.8688	Inf	Inf
1.3470	7.7377	Inf	Inf
1.3618	7.8403	Inf	Inf
1.3685	8.1320	Inf	Inf
1.3940	8.5488	Inf	Inf
1.4355	8.7533	Inf	Inf
1.5356	8.7961	Inf	Inf
1.5726	8.6858	Inf	Inf
1.5976	8.2286	Inf	Inf
1.6140	7.8169	Inf	Inf
1.6392	8.0805	Inf	Inf
1.6934	8.4862	Inf	Inf
1.7942	8.5253	Inf	Inf
1.8940	8.4558	Inf	Inf
1.9251	8.3485	Inf	Inf
1.9749	8.2368	Inf	Inf
2.0745	8.1229	Inf	Inf
2.1687	8.0031	Inf	Inf
2.1757	7.8263	Inf	Inf
2.2055	7.3689	Inf	Inf
2.2148	7.0817	Inf	Inf
2.2441	7.1859	Inf	Inf
2.2556	7.5999	Inf	Inf
2.3216	8.0014	Inf	Inf
2.4220	7.9136	Inf	Inf
2.5165	7.8103	Inf	Inf
2.5760	7.7076	Inf	Inf
2.5902	7.5509	Inf	Inf
2.6898	7.5253	Inf	Inf
2.7141	7.6235	Inf	Inf
2.8128	7.6794	Inf	Inf
2.8343	7.5726	Inf	Inf
2.8855	6.8557	Inf	Inf
2.9064	6.5533	Inf	Inf
2.9146	6.3889	Inf	Inf
2.9214	6.4894	Inf	Inf
2.9902	7.3312	Inf	Inf
3.0908	7.3528	Inf	Inf
3.1149	7.2353	Inf	Inf
3.1543	7.0559	Inf	Inf
3.2203	6.7460	Inf	Inf
3.3198	6.7817	Inf	Inf
3.4195	6.7346	Inf	Inf
3.5193	6.6089	Inf	Inf
3.6191	6.5994	Inf	Inf
3.6739	6.7050	Inf	Inf
3.7106	6.8284	Inf	Inf
3.7761	6.4459	Inf	Inf
3.7893	6.0639	Inf	Inf
3.8097	5.8276	Inf	Inf
3.8281	5.9326	Inf	Inf
3.8529	6.3992	Inf	Inf
3.9291	6.8007	Inf	Inf
4.0286	6.7517	Inf	Inf
4.0635	6.6353	Inf	Inf
4.1444	6.5266	Inf	Inf
4.2442	6.4320	Inf	Inf
4.2895	6.3249	Inf	Inf
4.3298	6.4192	Inf	Inf
4.3363	6.5226	Inf	Inf
4.4361	6.5438	Inf	Inf
4.5125	6.4395	Inf	Inf
4.5653	6.3293	Inf	Inf
4.6145	6.4329	Inf	Inf
4.6514	6.6243	Inf	Inf
4.7513	6.7007	Inf	Inf
4.8418	6.5910	Inf	Inf
4.8532	6.4800	Inf	Inf
4.8721	6.2482	Inf	Inf
4.8940	5.8670	Inf	Inf
4.9121	6.0222	Inf	Inf
4.9827	6.6539	Inf	Inf
5.0822	6.6633	Inf	Inf
5.1824	6.6004	Inf	Inf
5.2766	6.4862	Inf	Inf
5.2834	6.3770	Inf	Inf
5.2867	6.1946	Inf	Inf
5.3034	5.9196	Inf	Inf
5.3118	5.7708	Inf	Inf
5.3222	5.8644	Inf	Inf
5.3716	6.5646	Inf	Inf
5.4236	6.7712	Inf	Inf
5.5236	6.7394	Inf	Inf
5.5775	6.8385	Inf	Inf
5.6035	6.9391	Inf	Inf
5.7030	6.9466	Inf	Inf
5.7370	6.8418	Inf	Inf
5.8372	6.9038	Inf	Inf
5.9093	6.7970	Inf	Inf
5.9661	6.8957	Inf	Inf
5.9884	6.9960	Inf	Inf
6.0660	7.1488	Inf	Inf
6.1599	7.0389	Inf	Inf
6.1653	6.9253	Inf	Inf
6.1905	6.4547	Inf	Inf
6.2140	6.5583	Inf	Inf
6.2654	7.2373	Inf	Inf
6.3166	7.4683	Inf	Inf
6.4170	7.4640	Inf	Inf
6.5163	7.5225	Inf	Inf
6.6164	7.4306	Inf	Inf
6.6886	7.3243	Inf	Inf
6.7028	6.9557	Inf	Inf
6.7192	6.6455	Inf	Inf
6.7328	6.4809	Inf	Inf
6.7440	6.5863	Inf	Inf
6.8234	7.7954	Inf	Inf
6.8643	7.8962	Inf	Inf
6.9651	7.8740	Inf	Inf
7.0243	7.9740	Inf	Inf
7.1232	7.8999	Inf	Inf
7.2225	7.9081	Inf	Inf
7.2817	8.0081	Inf	Inf
7.3257	7.8253	Inf	Inf
7.3967	7.9217	Inf	Inf
7.4284	8.0940	Inf	Inf
7.4643	8.1937	Inf	Inf
7.5338	8.3283	Inf	Inf
7.6335	8.2595	Inf	Inf
7.6961	8.1537	Inf	Inf
7.7358	7.7909	Inf	Inf
7.7545	7.4915	Inf	Inf
7.8000	7.5987	Inf	Inf
7.8573	8.4477	Inf	Inf
7.9050	8.5885	Inf	Inf
8.0048	8.4916	Inf	Inf
