Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 15:59:46

Name:	26A
User Comment:	Timber Perpendicular Compression

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0103	0.1002	Inf	Inf
0.0927	0.3622	Inf	Inf
0.1094	0.4655	Inf	Inf
0.1511	0.7107	Inf	Inf
0.2111	1.1267	Inf	Inf
0.2525	1.4742	Inf	Inf
0.2685	1.5771	Inf	Inf
0.3255	1.9037	Inf	Inf
0.3694	2.0967	Inf	Inf
0.4700	2.0507	Inf	Inf
0.5693	2.0672	Inf	Inf
0.5770	1.9646	Inf	Inf
0.5875	1.8635	Inf	Inf
0.5967	1.9622	Inf	Inf
0.6195	2.1035	Inf	Inf
0.7161	2.0027	Inf	Inf
0.8164	2.0001	Inf	Inf
0.9164	2.0429	Inf	Inf
1.0164	2.0920	Inf	Inf
1.1161	2.1515	Inf	Inf
1.1530	2.0496	Inf	Inf
1.1693	1.9488	Inf	Inf
1.1830	2.0487	Inf	Inf
1.1902	2.1485	Inf	Inf
1.2902	2.2062	Inf	Inf
1.3899	2.2092	Inf	Inf
1.4903	2.2546	Inf	Inf
1.5904	2.2857	Inf	Inf
1.6905	2.3375	Inf	Inf
1.7472	2.2365	Inf	Inf
1.7537	2.1340	Inf	Inf
1.7776	2.2340	Inf	Inf
1.7988	2.3346	Inf	Inf
1.8987	2.3730	Inf	Inf
1.9993	2.3793	Inf	Inf
2.0994	2.4617	Inf	Inf
2.1987	2.4605	Inf	Inf
2.2980	2.4857	Inf	Inf
2.3984	2.4636	Inf	Inf
2.4980	2.5000	Inf	Inf
2.5979	2.5066	Inf	Inf
2.6523	2.4063	Inf	Inf
2.6926	2.5088	Inf	Inf
2.7929	2.5499	Inf	Inf
2.8930	2.5334	Inf	Inf
2.9928	2.5767	Inf	Inf
3.0925	2.6008	Inf	Inf
3.1935	2.6209	Inf	Inf
3.2842	2.5194	Inf	Inf
3.2871	2.4187	Inf	Inf
3.3086	2.5177	Inf	Inf
3.3309	2.6179	Inf	Inf
3.4304	2.6393	Inf	Inf
3.5312	2.6250	Inf	Inf
3.5801	2.5229	Inf	Inf
3.5864	2.4217	Inf	Inf
3.5934	2.3216	Inf	Inf
3.6108	2.4188	Inf	Inf
3.6315	2.6268	Inf	Inf
3.6642	2.7333	Inf	Inf
3.7653	2.6594	Inf	Inf
3.8651	2.6955	Inf	Inf
3.9644	2.6547	Inf	Inf
4.0296	2.5537	Inf	Inf
4.0481	2.6535	Inf	Inf
4.0697	2.7533	Inf	Inf
4.1698	2.7662	Inf	Inf
4.2699	2.8300	Inf	Inf
4.2767	2.7263	Inf	Inf
4.2798	2.6248	Inf	Inf
4.3035	2.7257	Inf	Inf
4.3289	2.8255	Inf	Inf
4.4282	2.8701	Inf	Inf
4.5277	2.8794	Inf	Inf
4.6277	2.9335	Inf	Inf
4.6555	2.8292	Inf	Inf
4.6563	2.7278	Inf	Inf
4.6934	2.8278	Inf	Inf
4.7133	2.9437	Inf	Inf
4.8131	2.9490	Inf	Inf
4.9128	2.9624	Inf	Inf
5.0126	2.9982	Inf	Inf
5.0549	2.8940	Inf	Inf
5.0880	2.9946	Inf	Inf
5.1873	3.0544	Inf	Inf
5.2870	3.1021	Inf	Inf
5.3871	3.1100	Inf	Inf
5.4261	3.0069	Inf	Inf
5.5257	3.1078	Inf	Inf
5.6251	3.1348	Inf	Inf
5.6978	3.0314	Inf	Inf
5.7071	2.9142	Inf	Inf
5.7242	3.0144	Inf	Inf
5.7574	3.1144	Inf	Inf
5.8575	3.1544	Inf	Inf
5.9579	3.2371	Inf	Inf
6.0585	3.2189	Inf	Inf
6.1575	3.2756	Inf	Inf
6.2574	3.2784	Inf	Inf
6.3572	3.2684	Inf	Inf
6.4210	3.3699	Inf	Inf
6.4786	3.2678	Inf	Inf
6.4859	3.1665	Inf	Inf
6.5176	3.2671	Inf	Inf
6.5279	3.3678	Inf	Inf
6.6191	3.4680	Inf	Inf
6.7192	3.5447	Inf	Inf
6.8193	3.5473	Inf	Inf
6.8754	3.6470	Inf	Inf
6.9755	3.6837	Inf	Inf
7.0759	3.6240	Inf	Inf
7.1107	3.7248	Inf	Inf
7.2104	3.8169	Inf	Inf
7.2761	3.9171	Inf	Inf
7.3765	3.9468	Inf	Inf
7.4387	3.7397	Inf	Inf
7.4399	3.8414	Inf	Inf
7.4494	3.6371	Inf	Inf
7.4655	3.7348	Inf	Inf
7.4873	3.8348	Inf	Inf
7.5113	3.9578	Inf	Inf
7.5610	4.0910	Inf	Inf
7.6611	4.1232	Inf	Inf
7.7386	4.2229	Inf	Inf
7.8054	4.3237	Inf	Inf
7.8379	4.2190	Inf	Inf
7.8486	4.1163	Inf	Inf
7.8501	4.0095	Inf	Inf
7.8585	3.9091	Inf	Inf
7.8719	4.0119	Inf	Inf
7.8907	4.1821	Inf	Inf
7.9273	4.4528	Inf	Inf
7.9887	4.5783	Inf	Inf
