Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 16:46:19

Name:	26b AL
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0061	0.0979	-Inf	Inf
0.0186	0.4096	Inf	Inf
0.0564	0.9831	Inf	Inf
0.1068	1.7624	Inf	Inf
0.1095	1.8658	Inf	Inf
0.1569	2.8280	Inf	Inf
0.2084	3.6798	Inf	Inf
0.2581	3.9450	Inf	Inf
0.3098	4.0750	Inf	Inf
0.3504	4.1722	Inf	Inf
0.4111	4.3215	Inf	Inf
0.4475	4.4234	Inf	Inf
0.4763	4.5231	Inf	Inf
0.5491	4.6616	Inf	Inf
0.5892	4.7602	Inf	Inf
0.6510	4.8722	Inf	Inf
0.6992	4.9733	Inf	Inf
0.7624	5.0758	Inf	Inf
0.8479	5.1781	Inf	Inf
0.9145	5.2795	Inf	Inf
1.0099	5.3780	Inf	Inf
1.1102	5.4766	Inf	Inf
1.2110	5.5497	Inf	Inf
1.3122	5.6285	Inf	Inf
1.4125	5.6997	Inf	Inf
1.5122	5.7502	Inf	Inf
1.6113	5.7951	Inf	Inf
1.7108	5.8490	Inf	Inf
1.8106	5.8903	Inf	Inf
1.9100	5.9076	Inf	Inf
2.0105	5.9425	Inf	Inf
2.1121	5.9638	Inf	Inf
2.2121	5.9780	Inf	Inf
2.3110	6.0198	Inf	Inf
2.4123	6.0247	Inf	Inf
2.5132	6.0678	Inf	Inf
2.6131	6.0604	Inf	Inf
2.7121	6.0785	Inf	Inf
2.8138	6.0855	Inf	Inf
2.9150	6.0876	Inf	Inf
3.0159	6.1036	Inf	Inf
3.1160	6.0954	Inf	Inf
3.2182	6.1183	Inf	Inf
3.3191	6.1175	Inf	Inf
3.4177	6.1268	Inf	Inf
3.5176	6.1332	Inf	Inf
3.6178	6.1395	Inf	Inf
3.7172	6.1492	Inf	Inf
3.8175	6.1382	Inf	Inf
3.9177	6.1306	Inf	Inf
4.0166	6.1488	Inf	Inf
4.1166	6.1263	Inf	Inf
4.2158	6.1114	Inf	Inf
4.3157	6.0889	Inf	Inf
4.4159	6.0750	Inf	Inf
4.5169	6.0407	Inf	Inf
4.6159	5.9895	Inf	Inf
4.7157	5.9709	Inf	Inf
4.8164	5.9237	Inf	Inf
4.9167	5.8861	Inf	Inf
5.0164	5.8237	Inf	Inf
5.1171	5.7607	Inf	Inf
5.2167	5.6946	Inf	Inf
5.3169	5.6229	Inf	Inf
5.4155	5.5453	Inf	Inf
5.5179	5.4654	Inf	Inf
5.6169	5.3670	Inf	Inf
5.7152	5.2637	Inf	Inf
5.8141	5.1611	Inf	Inf
5.9119	5.0584	Inf	Inf
5.9835	4.9527	Inf	Inf
6.0522	4.8509	Inf	Inf
6.1210	4.6132	Inf	Inf
6.2513	4.3229	Inf	Inf
6.3287	4.1762	Inf	Inf
6.4063	4.0272	Inf	Inf
6.4809	3.8759	Inf	Inf
Data End	

