Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 16:28:06

Name:	26b steel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0989	0.0542	Inf	Inf
0.1394	0.1550	Inf	Inf
0.1592	0.2557	Inf	Inf
0.1687	0.4008	Inf	Inf
0.1840	0.5819	Inf	Inf
0.1913	0.6832	Inf	Inf
0.2056	0.7831	Inf	Inf
0.2077	0.8815	Inf	Inf
0.2116	1.0486	Inf	Inf
0.2281	1.2273	Inf	Inf
0.2354	1.4839	Inf	Inf
0.2533	1.7158	Inf	Inf
0.2566	1.9744	Inf	Inf
0.2595	2.2582	Inf	Inf
0.2636	2.0750	Inf	Inf
0.2701	2.4787	Inf	Inf
0.2777	2.6846	Inf	Inf
0.2833	2.9465	Inf	Inf
0.2944	3.2434	Inf	Inf
0.3010	3.5110	Inf	Inf
0.3082	3.7195	Inf	Inf
0.3115	4.0068	Inf	Inf
0.3138	3.9088	Inf	Inf
0.3213	4.2625	Inf	Inf
0.3396	5.1282	Inf	Inf
0.3443	5.5216	Inf	Inf
0.3542	5.7636	Inf	Inf
0.3596	5.9946	Inf	Inf
0.3668	6.2879	Inf	Inf
0.3682	6.1908	Inf	Inf
0.3779	6.6174	Inf	Inf
0.4019	7.5606	Inf	Inf
0.4164	8.2165	Inf	Inf
0.4184	8.3940	Inf	Inf
0.4328	9.0630	Inf	Inf
0.4364	9.4289	Inf	Inf
0.4440	9.5264	Inf	Inf
0.4459	9.8665	Inf	Inf
0.4474	9.7675	Inf	Inf
0.4627	10.3702	Inf	Inf
0.5157	10.0500	Inf	Inf
0.5680	9.5071	Inf	Inf
0.6199	8.9832	Inf	Inf
0.6405	8.5439	Inf	Inf
0.6762	8.0637	Inf	Inf
0.6879	7.9337	Inf	Inf
0.6930	7.8313	Inf	Inf
0.6998	7.8230	Inf	Inf
0.7051	7.7294	Inf	Inf
0.7269	8.3378	Inf	Inf
0.7857	8.5450	Inf	Inf
0.8295	8.7248	Inf	Inf
0.8597	8.8565	Inf	Inf
0.9590	8.9123	Inf	Inf
1.0116	8.8066	Inf	Inf
1.0121	8.7038	Inf	Inf
1.0154	8.5874	Inf	Inf
1.0197	8.4632	Inf	Inf
1.0259	8.3624	Inf	Inf
1.0479	8.4676	Inf	Inf
1.1247	8.8715	Inf	Inf
1.1723	8.7634	Inf	Inf
1.2166	8.6224	Inf	Inf
1.2655	8.3410	Inf	Inf
1.2712	8.1466	Inf	Inf
1.2766	8.0444	Inf	Inf
1.2842	8.1467	Inf	Inf
1.2987	8.2505	Inf	Inf
1.3319	8.5662	Inf	Inf
