Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 16:55:16

Name:	Wood Parallel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1011	0.0129	Inf	Inf
0.2015	0.0002	Inf	Inf
0.3011	0.0002	Inf	Inf
0.3997	0.0110	Inf	Inf
0.4989	0.0466	Inf	Inf
0.6001	0.1180	Inf	Inf
0.6745	0.2163	Inf	Inf
0.7360	0.3142	Inf	Inf
0.7890	0.4121	Inf	Inf
0.8398	0.5138	Inf	Inf
0.8914	0.6434	Inf	Inf
0.9452	0.7674	Inf	Inf
0.9937	0.8777	Inf	Inf
1.0479	0.9787	Inf	Inf
1.1182	1.0781	Inf	Inf
1.2174	1.1512	Inf	Inf
1.3139	1.2515	Inf	Inf
1.4129	1.3023	Inf	Inf
1.5141	1.3402	Inf	Inf
1.6126	1.3601	Inf	Inf
1.7129	1.3744	Inf	Inf
1.8141	1.3348	Inf	Inf
1.9140	1.3363	Inf	Inf
2.0156	1.3540	Inf	Inf
2.1152	1.3728	Inf	Inf
2.2159	1.3677	Inf	Inf
2.3167	1.4057	Inf	Inf
2.4160	1.4298	Inf	Inf
2.5141	1.4587	Inf	Inf
2.6126	1.5009	Inf	Inf
2.7118	1.4927	Inf	Inf
2.8108	1.5439	Inf	Inf
2.9103	1.5870	Inf	Inf
3.0103	1.6080	Inf	Inf
3.1079	1.6256	Inf	Inf
3.2089	1.6225	Inf	Inf
3.3084	1.6032	Inf	Inf
3.4089	1.6692	Inf	Inf
3.5087	1.7161	Inf	Inf
3.6088	1.6857	Inf	Inf
3.7101	1.7574	Inf	Inf
3.8091	1.7650	Inf	Inf
3.9076	1.7462	Inf	Inf
4.0076	1.7627	Inf	Inf
4.1082	1.7792	Inf	Inf
4.2110	1.8402	Inf	Inf
4.3123	1.8371	Inf	Inf
4.4137	1.8088	Inf	Inf
4.5116	1.7818	Inf	Inf
4.6129	1.7260	Inf	Inf
4.7141	1.7948	Inf	Inf
4.8124	1.8416	Inf	Inf
4.9141	1.8450	Inf	Inf
5.0126	1.8593	Inf	Inf
5.1120	1.8868	Inf	Inf
5.2128	1.8625	Inf	Inf
5.3126	1.9059	Inf	Inf
