Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 17:01:15

Name:	26b Wood 2
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0286	0.1013	Inf	Inf
0.1008	0.3521	Inf	Inf
0.1329	0.4542	Inf	Inf
0.2020	0.8142	Inf	Inf
0.2359	1.0207	Inf	Inf
0.2699	1.2072	Inf	Inf
0.3379	1.5510	Inf	Inf
0.3718	1.7065	Inf	Inf
0.4279	1.8655	Inf	Inf
0.5264	1.8776	Inf	Inf
0.6245	1.9019	Inf	Inf
0.7253	1.8446	Inf	Inf
0.8246	1.9244	Inf	Inf
0.9234	1.9835	Inf	Inf
1.0238	1.9905	Inf	Inf
1.1228	1.9873	Inf	Inf
1.1853	1.8844	Inf	Inf
1.2677	1.9867	Inf	Inf
1.3159	2.0913	Inf	Inf
1.4190	2.1330	Inf	Inf
1.5221	2.1254	Inf	Inf
1.6255	2.1106	Inf	Inf
1.7231	2.0863	Inf	Inf
1.8240	2.0677	Inf	Inf
1.9261	2.0551	Inf	Inf
2.0254	2.0109	Inf	Inf
2.1254	2.0138	Inf	Inf
2.2246	1.9179	Inf	Inf
2.3101	2.0169	Inf	Inf
2.4103	2.0853	Inf	Inf
2.5098	2.0848	Inf	Inf
2.6115	2.0768	Inf	Inf
2.7097	2.1144	Inf	Inf
2.8122	2.1689	Inf	Inf
2.9122	2.1947	Inf	Inf
3.0096	2.2435	Inf	Inf
3.1070	2.3123	Inf	Inf
3.2100	2.3687	Inf	Inf
3.3085	2.3922	Inf	Inf
3.3983	2.2834	Inf	Inf
3.4115	2.1762	Inf	Inf
3.4496	2.2683	Inf	Inf
3.5190	2.4687	Inf	Inf
3.6192	2.4967	Inf	Inf
3.7179	2.5121	Inf	Inf
3.8177	2.5942	Inf	Inf
3.9170	2.6388	Inf	Inf
4.0145	2.6466	Inf	Inf
4.1114	2.6739	Inf	Inf
4.2134	2.7184	Inf	Inf
4.3093	2.7364	Inf	Inf
4.4083	2.6677	Inf	Inf
4.4507	2.5578	Inf	Inf
4.5373	2.6554	Inf	Inf
4.5844	2.7525	Inf	Inf
4.6826	2.8014	Inf	Inf
4.7812	2.7566	Inf	Inf
4.8829	2.7722	Inf	Inf
4.9855	2.8369	Inf	Inf
5.0825	2.9336	Inf	Inf
5.1805	2.9766	Inf	Inf
5.2776	2.9879	Inf	Inf
