Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 11:37:39

Name:	Aluminium Tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0021	0.1001	Inf	Inf
0.0086	0.1999	Inf	Inf
0.0124	0.2999	Inf	Inf
0.0199	0.3996	Inf	Inf
0.0297	0.4995	Inf	Inf
0.0387	0.5998	Inf	Inf
0.0484	0.6998	Inf	Inf
0.0567	0.7997	Inf	Inf
0.0657	0.8993	Inf	Inf
0.0754	0.9986	Inf	Inf
0.0755	1.0989	Inf	Inf
0.0803	1.1995	Inf	Inf
0.0829	1.2994	Inf	Inf
0.0877	1.3992	Inf	Inf
0.0927	1.5991	Inf	Inf
0.0930	1.4995	Inf	Inf
0.1010	1.6986	Inf	Inf
0.1065	1.7991	Inf	Inf
0.1103	1.8994	Inf	Inf
0.1131	1.9998	Inf	Inf
0.1207	2.0993	Inf	Inf
0.1213	2.1993	Inf	Inf
0.1221	2.2994	Inf	Inf
0.1310	2.3986	Inf	Inf
0.1327	2.4979	Inf	Inf
0.1414	2.5977	Inf	Inf
0.1425	2.6977	Inf	Inf
0.1497	2.8982	Inf	Inf
0.1532	2.7975	Inf	Inf
0.1559	2.9973	Inf	Inf
0.1614	3.0966	Inf	Inf
0.1659	3.2963	Inf	Inf
0.1700	3.1968	Inf	Inf
0.1734	3.3973	Inf	Inf
0.1826	3.4962	Inf	Inf
0.1950	3.5968	Inf	Inf
0.2164	3.6954	Inf	Inf
0.2370	3.7954	Inf	Inf
0.2662	3.8957	Inf	Inf
0.3074	3.9960	Inf	Inf
0.3430	4.0960	Inf	Inf
0.3750	4.1960	Inf	Inf
0.4131	4.2957	Inf	Inf
0.4542	4.3950	Inf	Inf
0.4853	4.4943	Inf	Inf
0.5345	4.5937	Inf	Inf
0.5827	4.6931	Inf	Inf
0.6226	4.7933	Inf	Inf
0.6565	4.8932	Inf	Inf
0.6700	4.9924	Inf	Inf
0.7701	5.0899	Inf	Inf
0.7703	4.9895	Inf	Inf
0.8212	5.1896	Inf	Inf
0.8839	5.2897	Inf	Inf
0.9531	5.3904	Inf	Inf
1.0328	5.4906	Inf	Inf
1.1324	5.5462	Inf	Inf
1.2275	5.6462	Inf	Inf
1.2836	5.7464	Inf	Inf
1.3838	5.7593	Inf	Inf
1.4760	5.8589	Inf	Inf
1.5760	5.9196	Inf	Inf
1.6755	5.9051	Inf	Inf
1.7756	5.9441	Inf	Inf
1.8761	6.0306	Inf	Inf
1.9765	6.0667	Inf	Inf
2.0159	5.9661	Inf	Inf
2.0177	6.0660	Inf	Inf
2.0747	6.1663	Inf	Inf
2.1750	6.1668	Inf	Inf
2.2582	6.2680	Inf	Inf
2.2832	6.1652	Inf	Inf
2.3835	6.1001	Inf	Inf
2.4696	6.1993	Inf	Inf
2.5126	6.0985	Inf	Inf
2.5238	6.1993	Inf	Inf
2.5284	6.3009	Inf	Inf
2.6282	6.2476	Inf	Inf
2.7279	6.2582	Inf	Inf
2.8280	6.2631	Inf	Inf
2.9281	6.2988	Inf	Inf
3.0111	6.3984	Inf	Inf
3.0879	6.2955	Inf	Inf
3.0883	6.3939	Inf	Inf
3.1885	6.3081	Inf	Inf
3.2888	6.2599	Inf	Inf
3.2962	6.3614	Inf	Inf
3.3117	6.2595	Inf	Inf
3.4117	6.3468	Inf	Inf
3.5118	6.3011	Inf	Inf
3.6117	6.3108	Inf	Inf
3.7116	6.3313	Inf	Inf
3.8111	6.3169	Inf	Inf
3.9113	6.2809	Inf	Inf
4.0108	6.3126	Inf	Inf
4.0276	6.2121	Inf	Inf
4.0424	6.3101	Inf	Inf
4.0428	6.4089	Inf	Inf
4.1039	6.3084	Inf	Inf
4.2035	6.3011	Inf	Inf
4.3047	6.2652	Inf	Inf
4.4050	6.2301	Inf	Inf
4.5039	6.1879	Inf	Inf
4.6039	6.1659	Inf	Inf
4.7042	6.0921	Inf	Inf
4.8046	6.0406	Inf	Inf
4.8900	5.9389	Inf	Inf
4.8990	6.0396	Inf	Inf
4.9516	5.9372	Inf	Inf
5.0520	5.9056	Inf	Inf
5.1522	5.9498	Inf	Inf
5.1686	5.8455	Inf	Inf
5.2616	5.7433	Inf	Inf
5.3618	5.7044	Inf	Inf
5.4617	5.6263	Inf	Inf
5.5457	5.5240	Inf	Inf
5.5574	5.6238	Inf	Inf
5.5716	5.5210	Inf	Inf
5.6480	5.4201	Inf	Inf
5.7456	5.3199	Inf	Inf
5.8247	5.2183	Inf	Inf
5.8571	5.1168	Inf	Inf
5.9426	4.9283	Inf	Inf
6.0053	4.7712	Inf	Inf
6.0801	4.6130	Inf	Inf
6.1634	4.4548	Inf	Inf
6.2535	4.2959	Inf	Inf
6.3477	4.1363	Inf	Inf
6.4401	3.9754	Inf	Inf
Data End	

