Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 11:48:09

Name:	Steel tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0017	0.1010	Inf	Inf
0.0095	0.2035	Inf	Inf
0.0464	0.9551	Inf	Inf
0.0867	1.8677	Inf	Inf
0.1299	2.8949	Inf	Inf
0.1739	3.9194	Inf	Inf
0.1898	4.6597	Inf	Inf
0.1997	5.1114	Inf	Inf
0.2028	5.2126	Inf	Inf
0.2224	6.1913	Inf	Inf
0.2570	7.2288	Inf	Inf
0.2729	8.0705	Inf	Inf
0.2969	8.9793	Inf	Inf
0.3121	9.4398	Inf	Inf
0.3195	9.5439	Inf	Inf
0.3392	10.8015	Inf	Inf
0.4295	10.3634	Inf	Inf
0.4545	10.1518	Inf	Inf
0.5410	9.4569	Inf	Inf
0.5693	9.3437	Inf	Inf
0.6118	9.2419	Inf	Inf
0.6925	9.1313	Inf	Inf
0.7427	9.0218	Inf	Inf
0.7468	8.9114	Inf	Inf
0.7623	8.6357	Inf	Inf
0.7755	8.5056	Inf	Inf
0.7911	8.5982	Inf	Inf
0.8789	9.3568	Inf	Inf
0.9792	9.2599	Inf	Inf
1.0800	9.2160	Inf	Inf
1.1467	9.1107	Inf	Inf
1.2465	9.0766	Inf	Inf
1.2740	9.1780	Inf	Inf
1.3185	9.0737	Inf	Inf
1.3274	8.9367	Inf	Inf
1.3381	8.7913	Inf	Inf
1.3506	8.8959	Inf	Inf
1.4405	9.4768	Inf	Inf
1.4680	9.5738	Inf	Inf
1.5420	9.7480	Inf	Inf
1.5975	9.8471	Inf	Inf
1.6444	9.9481	Inf	Inf
1.6782	10.0511	Inf	Inf
1.7780	10.0724	Inf	Inf
1.8007	9.8618	Inf	Inf
1.8050	9.9657	Inf	Inf
1.8142	9.7615	Inf	Inf
1.8177	9.8590	Inf	Inf
1.8702	10.2783	Inf	Inf
1.9247	10.3774	Inf	Inf
1.9715	10.4993	Inf	Inf
2.0660	10.5975	Inf	Inf
2.1558	10.6982	Inf	Inf
2.2297	10.7982	Inf	Inf
2.3294	10.8056	Inf	Inf
2.3362	10.6976	Inf	Inf
2.3477	10.5940	Inf	Inf
2.3554	10.5853	Inf	Inf
