Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 12:15:11

Name:	Timber Parallel to Grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0976	0.0030	Inf	Inf
0.1968	0.0038	Inf	Inf
0.3000	0.0040	Inf	Inf
0.4005	0.0006	Inf	Inf
0.5004	0.0031	Inf	Inf
0.5989	0.0227	Inf	Inf
0.6567	0.1179	Inf	Inf
0.7047	0.3280	Inf	Inf
0.7590	0.9642	Inf	Inf
0.8059	1.9448	Inf	Inf
0.8128	2.0446	Inf	Inf
0.8623	3.3056	Inf	Inf
0.9139	5.2963	Inf	Inf
0.9270	5.6436	Inf	Inf
0.9520	6.6597	Inf	Inf
1.0001	8.3070	Inf	Inf
1.0555	9.7594	Inf	Inf
1.1026	10.5317	Inf	Inf
1.1512	11.0729	Inf	Inf
1.2060	11.8252	Inf	Inf
1.2529	12.2525	Inf	Inf
1.2940	11.9401	Inf	Inf
1.3235	12.0399	Inf	Inf
1.3869	12.6885	Inf	Inf
1.4348	12.7640	Inf	Inf
1.4919	13.6081	Inf	Inf
1.5385	13.8091	Inf	Inf
1.6374	13.8381	Inf	Inf
1.7373	13.7670	Inf	Inf
1.7715	13.6355	Inf	Inf
1.8378	12.8005	Inf	Inf
1.8480	12.6909	Inf	Inf
1.8890	12.7972	Inf	Inf
1.9494	13.6797	Inf	Inf
1.9833	13.0449	Inf	Inf
2.0370	13.1400	Inf	Inf
2.1365	13.1294	Inf	Inf
2.1418	13.2385	Inf	Inf
2.2450	13.9414	Inf	Inf
2.3282	13.8200	Inf	Inf
2.3636	13.6991	Inf	Inf
2.4413	13.3817	Inf	Inf
2.4731	13.2630	Inf	Inf
2.5512	13.0158	Inf	Inf
2.5790	12.8484	Inf	Inf
2.6457	11.7895	Inf	Inf
2.6910	11.8725	Inf	Inf
2.7475	12.9704	Inf	Inf
2.7992	13.2701	Inf	Inf
2.8983	13.1461	Inf	Inf
2.9329	13.0362	Inf	Inf
3.0070	12.7902	Inf	Inf
3.0411	12.5946	Inf	Inf
3.0752	12.2731	Inf	Inf
3.1722	12.3735	Inf	Inf
3.1783	12.4755	Inf	Inf
3.2794	12.9924	Inf	Inf
3.3315	12.8686	Inf	Inf
3.3868	12.5686	Inf	Inf
3.4364	12.0744	Inf	Inf
3.4448	11.9518	Inf	Inf
3.5237	12.0219	Inf	Inf
3.5495	12.3898	Inf	Inf
3.6342	12.9390	Inf	Inf
3.7328	12.8298	Inf	Inf
3.7587	12.7057	Inf	Inf
3.8373	11.8216	Inf	Inf
3.8434	11.6143	Inf	Inf
3.9198	11.6857	Inf	Inf
3.9506	12.2113	Inf	Inf
4.0245	12.7549	Inf	Inf
4.1056	12.6248	Inf	Inf
4.1349	12.4361	Inf	Inf
4.2043	11.1714	Inf	Inf
4.2479	11.2620	Inf	Inf
4.3099	12.3009	Inf	Inf
4.3537	12.6128	Inf	Inf
4.4523	12.5002	Inf	Inf
4.4663	12.3730	Inf	Inf
4.5198	11.6838	Inf	Inf
4.6139	11.7929	Inf	Inf
4.6254	11.9286	Inf	Inf
4.7180	12.5295	Inf	Inf
4.8019	12.3819	Inf	Inf
4.8282	12.1801	Inf	Inf
4.8929	11.0727	Inf	Inf
4.9415	11.1752	Inf	Inf
5.0044	11.9766	Inf	Inf
5.0542	12.3281	Inf	Inf
5.1120	12.5363	Inf	Inf
5.2135	12.3868	Inf	Inf
5.2356	12.2552	Inf	Inf
5.2980	11.5606	Inf	Inf
5.3353	10.5984	Inf	Inf
5.3607	10.6832	Inf	Inf
5.4439	11.8616	Inf	Inf
5.4684	12.0536	Inf	Inf
5.4918	12.2104	Inf	Inf
5.5798	12.3566	Inf	Inf
5.6163	12.2086	Inf	Inf
5.6840	11.4401	Inf	Inf
5.7150	10.6715	Inf	Inf
5.7530	10.7847	Inf	Inf
5.8227	11.7815	Inf	Inf
5.8623	12.0511	Inf	Inf
5.9345	12.2188	Inf	Inf
5.9907	12.0728	Inf	Inf
6.0481	11.6179	Inf	Inf
6.0844	10.8992	Inf	Inf
6.1147	10.0383	Inf	Inf
6.1245	9.7296	Inf	Inf
6.1271	9.5453	Inf	Inf
6.1424	9.6342	Inf	Inf
6.2346	11.2530	Inf	Inf
6.2522	11.4113	Inf	Inf
6.3406	11.8957	Inf	Inf
6.4176	11.7680	Inf	Inf
6.4534	11.4884	Inf	Inf
6.4839	10.9969	Inf	Inf
6.5154	9.9950	Inf	Inf
6.5522	10.0788	Inf	Inf
6.6234	11.1788	Inf	Inf
6.6610	11.5023	Inf	Inf
6.6950	11.6989	Inf	Inf
6.7664	11.9072	Inf	Inf
6.8702	11.8787	Inf	Inf
6.9585	11.7716	Inf	Inf
7.0421	11.6530	Inf	Inf
7.0992	11.5282	Inf	Inf
7.1587	11.2812	Inf	Inf
7.2083	10.8575	Inf	Inf
7.2225	10.6373	Inf	Inf
7.2630	9.6400	Inf	Inf
7.2970	9.7120	Inf	Inf
7.3362	10.4237	Inf	Inf
7.4085	11.1673	Inf	Inf
7.4485	11.4438	Inf	Inf
7.5168	11.7413	Inf	Inf
7.6153	11.8279	Inf	Inf
7.6956	11.6891	Inf	Inf
7.7491	11.5504	Inf	Inf
7.8133	11.3438	Inf	Inf
7.8655	11.1386	Inf	Inf
7.9239	10.8951	Inf	Inf
7.9727	10.7366	Inf	Inf
8.0289	10.4638	Inf	Inf
8.0655	9.6484	Inf	Inf
8.1203	9.7350	Inf	Inf
8.1694	10.5261	Inf	Inf
8.2242	11.0562	Inf	Inf
8.2789	11.2738	Inf	Inf
8.3755	11.1758	Inf	Inf
8.4211	11.0447	Inf	Inf
8.4894	10.7615	Inf	Inf
8.5298	10.5842	Inf	Inf
8.5994	10.3742	Inf	Inf
8.6929	10.2514	Inf	Inf
8.7028	10.1037	Inf	Inf
8.7124	9.8370	Inf	Inf
8.7378	9.1207	Inf	Inf
8.7441	8.8399	Inf	Inf
8.7659	8.9290	Inf	Inf
8.8444	10.3874	Inf	Inf
8.8689	10.6352	Inf	Inf
8.9533	10.9593	Inf	Inf
9.0510	10.9901	Inf	Inf
9.1488	10.8787	Inf	Inf
9.1935	10.7574	Inf	Inf
9.2317	10.5958	Inf	Inf
9.2966	9.9228	Inf	Inf
9.3250	9.2499	Inf	Inf
9.3394	8.8840	Inf	Inf
