Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 12:07:25

Name:	Timber Perpendicular to Grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0123	0.0992	Inf	Inf
0.0478	0.2014	Inf	Inf
0.1144	0.3893	Inf	Inf
0.1512	0.5226	Inf	Inf
0.1797	0.6183	Inf	Inf
0.2533	0.8742	Inf	Inf
0.2940	0.9736	Inf	Inf
0.3459	1.0746	Inf	Inf
0.4446	1.1665	Inf	Inf
0.5459	1.1453	Inf	Inf
0.6465	1.1406	Inf	Inf
0.7470	1.1429	Inf	Inf
0.8471	1.1620	Inf	Inf
0.9471	1.0953	Inf	Inf
1.0230	1.1962	Inf	Inf
1.1239	1.2155	Inf	Inf
1.2238	1.2667	Inf	Inf
1.3249	1.2934	Inf	Inf
1.4245	1.3152	Inf	Inf
1.5259	1.3601	Inf	Inf
1.6266	1.3787	Inf	Inf
1.7257	1.3604	Inf	Inf
1.8255	1.4228	Inf	Inf
1.9240	1.4468	Inf	Inf
2.0222	1.4842	Inf	Inf
2.1214	1.4904	Inf	Inf
2.2228	1.5012	Inf	Inf
2.3226	1.4355	Inf	Inf
2.3801	1.5349	Inf	Inf
2.4799	1.5360	Inf	Inf
2.5797	1.5867	Inf	Inf
2.6798	1.5798	Inf	Inf
2.7801	1.6055	Inf	Inf
2.8791	1.6302	Inf	Inf
2.9771	1.6706	Inf	Inf
3.0779	1.6303	Inf	Inf
3.1046	1.5289	Inf	Inf
3.1377	1.6253	Inf	Inf
3.2072	1.7400	Inf	Inf
3.3083	1.7442	Inf	Inf
3.4083	1.7862	Inf	Inf
3.5089	1.8234	Inf	Inf
3.6092	1.8690	Inf	Inf
3.7110	1.9111	Inf	Inf
3.7795	1.8075	Inf	Inf
3.8271	1.9036	Inf	Inf
3.8868	2.0125	Inf	Inf
3.9862	1.9908	Inf	Inf
4.0858	2.0173	Inf	Inf
4.1507	2.1157	Inf	Inf
4.2514	2.1230	Inf	Inf
4.3522	2.2077	Inf	Inf
4.4526	2.2185	Inf	Inf
4.5498	2.3181	Inf	Inf
4.6497	2.2515	Inf	Inf
4.6885	2.3510	Inf	Inf
4.7560	2.4504	Inf	Inf
4.8565	2.4818	Inf	Inf
4.9567	2.5049	Inf	Inf
5.0551	2.5144	Inf	Inf
5.1548	2.5758	Inf	Inf
5.2541	2.5529	Inf	Inf
5.3059	2.6517	Inf	Inf
5.4048	2.6738	Inf	Inf
5.5043	2.7141	Inf	Inf
5.6038	2.7010	Inf	Inf
5.7031	2.7918	Inf	Inf
5.8027	2.8402	Inf	Inf
5.9012	2.9055	Inf	Inf
6.0028	2.8871	Inf	Inf
6.1029	2.9564	Inf	Inf
6.1655	3.0581	Inf	Inf
6.2651	3.1151	Inf	Inf
6.3662	3.1729	Inf	Inf
6.4667	3.2020	Inf	Inf
6.5669	3.1299	Inf	Inf
6.6337	3.2294	Inf	Inf
