Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 12:43:14

Name:	Aluminium alloy 
User Comment:	MQ

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0145	0.2522	Inf	Inf
0.0572	0.8483	Inf	Inf
0.1160	1.5538	Inf	Inf
0.1221	1.7985	Inf	Inf
0.1275	1.8952	Inf	Inf
0.1633	2.4793	Inf	Inf
0.2267	3.5004	Inf	Inf
0.2649	3.7353	Inf	Inf
0.3298	3.9279	Inf	Inf
0.3771	4.0291	Inf	Inf
0.4313	4.1774	Inf	Inf
0.4748	4.2790	Inf	Inf
0.5328	4.4082	Inf	Inf
0.5763	4.5083	Inf	Inf
0.6381	4.6113	Inf	Inf
0.6595	4.7114	Inf	Inf
0.7419	4.8129	Inf	Inf
0.7992	4.9118	Inf	Inf
0.8755	5.0130	Inf	Inf
0.9488	5.1127	Inf	Inf
1.0434	5.2131	Inf	Inf
1.1343	5.3135	Inf	Inf
1.2335	5.4060	Inf	Inf
1.3198	5.5076	Inf	Inf
1.4190	5.5484	Inf	Inf
1.5205	5.6099	Inf	Inf
1.6213	5.6650	Inf	Inf
1.7228	5.7118	Inf	Inf
1.8220	5.7496	Inf	Inf
1.9213	5.7819	Inf	Inf
2.0205	5.8047	Inf	Inf
2.0449	5.7035	Inf	Inf
2.0587	5.8021	Inf	Inf
2.1579	5.8744	Inf	Inf
2.2571	5.8774	Inf	Inf
2.3563	5.9048	Inf	Inf
2.4563	5.9254	Inf	Inf
2.5571	5.9321	Inf	Inf
2.6571	5.9452	Inf	Inf
2.7571	5.8680	Inf	Inf
2.7869	5.9696	Inf	Inf
2.8861	5.9969	Inf	Inf
2.9868	5.9984	Inf	Inf
3.0868	6.0037	Inf	Inf
3.1891	6.0100	Inf	Inf
3.2899	6.0119	Inf	Inf
3.3891	6.0175	Inf	Inf
3.4906	6.0022	Inf	Inf
3.5349	5.9014	Inf	Inf
3.5578	6.0022	Inf	Inf
3.6570	6.0644	Inf	Inf
3.7585	6.0621	Inf	Inf
3.8578	6.0513	Inf	Inf
3.9562	6.0468	Inf	Inf
4.0570	6.0348	Inf	Inf
4.1562	6.0250	Inf	Inf
4.2433	5.9216	Inf	Inf
4.2807	6.0217	Inf	Inf
4.3791	6.0277	Inf	Inf
4.4791	6.0153	Inf	Inf
4.5806	5.9917	Inf	Inf
4.6822	5.9711	Inf	Inf
4.7799	5.9475	Inf	Inf
4.8829	5.9134	Inf	Inf
4.9844	5.8459	Inf	Inf
5.0859	5.8665	Inf	Inf
5.1867	5.8081	Inf	Inf
5.2859	5.7549	Inf	Inf
5.3852	5.6871	Inf	Inf
5.4867	5.6204	Inf	Inf
5.5874	5.5454	Inf	Inf
5.6882	5.4769	Inf	Inf
5.7684	5.3731	Inf	Inf
5.8661	5.3637	Inf	Inf
5.9546	5.2562	Inf	Inf
6.0569	5.1516	Inf	Inf
6.1561	5.0493	Inf	Inf
6.2469	4.9425	Inf	Inf
6.3233	4.8388	Inf	Inf
6.4141	4.5390	Inf	Inf
6.4813	4.3888	Inf	Inf
6.5561	4.2344	Inf	Inf
6.6324	4.0785	Inf	Inf
Data End	

