Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 13:17:00

Name:	parallel gain timber
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0038	0.0997	Inf	Inf
0.0183	0.2012	Inf	Inf
0.0229	0.3605	Inf	Inf
0.0718	0.9161	Inf	Inf
0.0916	1.5074	Inf	Inf
0.0977	1.9165	Inf	Inf
0.1114	2.3463	Inf	Inf
0.1206	2.7952	Inf	Inf
0.1343	3.1320	Inf	Inf
0.1481	3.6386	Inf	Inf
0.1710	4.2183	Inf	Inf
0.1931	4.7889	Inf	Inf
0.2076	5.2899	Inf	Inf
0.2137	5.3896	Inf	Inf
0.2221	5.8148	Inf	Inf
0.2374	6.4113	Inf	Inf
0.2603	7.0760	Inf	Inf
0.2740	7.4522	Inf	Inf
0.2878	7.5541	Inf	Inf
0.2977	8.0128	Inf	Inf
0.3175	8.7266	Inf	Inf
0.3519	9.1507	Inf	Inf
0.3755	9.4733	Inf	Inf
0.3969	9.7622	Inf	Inf
0.4023	9.5456	Inf	Inf
0.4130	9.6389	Inf	Inf
0.4328	10.3437	Inf	Inf
0.4870	11.0744	Inf	Inf
0.5343	11.3962	Inf	Inf
0.5656	11.4940	Inf	Inf
0.6229	11.8889	Inf	Inf
0.6671	12.0887	Inf	Inf
0.7030	12.2471	Inf	Inf
0.7687	12.4633	Inf	Inf
0.7916	12.5641	Inf	Inf
0.8748	12.6642	Inf	Inf
0.9106	12.7623	Inf	Inf
0.9648	12.3251	Inf	Inf
0.9854	11.8725	Inf	Inf
0.9984	11.9721	Inf	Inf
1.0289	12.8066	Inf	Inf
1.0999	13.0565	Inf	Inf
1.1121	12.9396	Inf	Inf
1.1953	12.5413	Inf	Inf
1.2129	12.1126	Inf	Inf
1.2358	12.2194	Inf	Inf
1.2824	12.6541	Inf	Inf
1.3671	12.5409	Inf	Inf
1.3839	12.1437	Inf	Inf
1.3946	11.9395	Inf	Inf
1.4274	12.0478	Inf	Inf
1.4411	12.4116	Inf	Inf
1.5304	12.8129	Inf	Inf
1.5770	12.7114	Inf	Inf
1.6365	12.4188	Inf	Inf
1.6694	11.8657	Inf	Inf
1.7167	11.9568	Inf	Inf
1.7663	12.4150	Inf	Inf
1.8663	12.3300	Inf	Inf
1.9052	12.2273	Inf	Inf
1.9716	12.1198	Inf	Inf
2.0358	12.0148	Inf	Inf
2.0831	11.9118	Inf	Inf
2.1426	11.8084	Inf	Inf
2.1846	11.6349	Inf	Inf
2.2312	11.7432	Inf	Inf
2.2770	11.9665	Inf	Inf
2.3770	11.8874	Inf	Inf
2.4785	11.8402	Inf	Inf
2.5258	11.7218	Inf	Inf
2.5663	11.2598	Inf	Inf
2.5960	10.5734	Inf	Inf
2.6250	10.6667	Inf	Inf
2.6388	10.7686	Inf	Inf
2.6777	11.2943	Inf	Inf
2.7777	11.3258	Inf	Inf
2.7968	11.2130	Inf	Inf
2.8975	11.2733	Inf	Inf
2.9533	11.1654	Inf	Inf
3.0540	11.0418	Inf	Inf
3.1548	10.9443	Inf	Inf
3.2174	11.0463	Inf	Inf
3.3174	10.9994	Inf	Inf
3.4166	10.6498	Inf	Inf
3.4257	10.7458	Inf	Inf
3.5227	11.0129	Inf	Inf
3.5402	10.8915	Inf	Inf
3.5563	10.7652	Inf	Inf
3.6456	10.5940	Inf	Inf
3.6616	10.4737	Inf	Inf
3.6799	10.2070	Inf	Inf
3.7227	10.0200	Inf	Inf
3.7639	10.1294	Inf	Inf
3.8105	10.2223	Inf	Inf
3.8349	10.4022	Inf	Inf
3.9127	10.7735	Inf	Inf
3.9372	10.6292	Inf	Inf
4.0349	10.5101	Inf	Inf
4.0402	10.3969	Inf	Inf
4.0517	9.9795	Inf	Inf
4.0921	10.0653	Inf	Inf
4.1455	10.6862	Inf	Inf
4.1959	10.8353	Inf	Inf
4.2486	10.6536	Inf	Inf
4.3440	10.7544	Inf	Inf
4.3883	10.8563	Inf	Inf
4.4883	10.8035	Inf	Inf
4.5890	10.7652	Inf	Inf
4.6440	10.6577	Inf	Inf
4.6516	10.5314	Inf	Inf
4.6768	9.9244	Inf	Inf
4.7096	10.0151	Inf	Inf
4.7470	10.8342	Inf	Inf
4.8104	11.0253	Inf	Inf
4.8860	10.9117	Inf	Inf
4.9127	10.4434	Inf	Inf
4.9157	10.2928	Inf	Inf
4.9340	9.9634	Inf	Inf
4.9402	9.7667	Inf	Inf
4.9501	9.8607	Inf	Inf
4.9890	10.6764	Inf	Inf
5.0524	11.2085	Inf	Inf
5.1516	11.1617	Inf	Inf
5.2073	11.0504	Inf	Inf
5.2501	10.3145	Inf	Inf
5.2775	10.4164	Inf	Inf
5.3058	10.8398	Inf	Inf
5.3516	10.6214	Inf	Inf
5.4081	10.7195	Inf	Inf
5.4287	11.0620	Inf	Inf
5.5119	11.3831	Inf	Inf
5.5768	11.2711	Inf	Inf
5.6126	10.8986	Inf	Inf
5.6737	10.9994	Inf	Inf
5.7172	11.2842	Inf	Inf
5.7951	11.1718	Inf	Inf
5.8958	11.0691	Inf	Inf
5.9630	10.9354	Inf	Inf
6.0622	10.9249	Inf	Inf
6.0775	10.8027	Inf	Inf
6.0851	10.6723	Inf	Inf
