Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 12:56:47

Name:	Steel
User Comment:	MC

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0649	0.1986	-Inf	Inf
-0.0542	0.2979	-Inf	Inf
-0.0405	0.4301	-Inf	Inf
-0.0198	0.6302	-Inf	Inf
-0.0008	0.9352	-Inf	Inf
0.0252	1.3879	Inf	Inf
0.0366	1.7033	Inf	Inf
0.0397	1.8011	Inf	Inf
0.0481	2.3954	Inf	Inf
0.0618	2.7671	Inf	Inf
0.0740	3.0620	Inf	Inf
0.0893	3.7019	Inf	Inf
0.1114	4.2482	Inf	Inf
0.1290	4.9025	Inf	Inf
0.1420	5.3450	Inf	Inf
0.1473	5.4480	Inf	Inf
0.1595	5.9306	Inf	Inf
0.1878	6.8733	Inf	Inf
0.2122	7.6591	Inf	Inf
0.2313	8.3736	Inf	Inf
0.2404	8.9030	Inf	Inf
0.2435	9.2099	Inf	Inf
0.2481	9.1166	Inf	Inf
0.2504	9.4119	Inf	Inf
0.2778	10.1575	Inf	Inf
0.2985	10.8080	Inf	Inf
0.3069	11.3962	Inf	Inf
0.4053	10.3280	Inf	Inf
0.4213	10.2141	Inf	Inf
0.4519	10.0035	Inf	Inf
0.5267	9.6562	Inf	Inf
0.5542	9.4639	Inf	Inf
0.6023	9.2118	Inf	Inf
0.6160	8.9664	Inf	Inf
0.6259	8.8648	Inf	Inf
0.6381	8.7614	Inf	Inf
0.6435	8.8626	Inf	Inf
0.6534	9.0870	Inf	Inf
0.7045	9.3294	Inf	Inf
0.7564	9.2275	Inf	Inf
0.8526	9.3264	Inf	Inf
0.8679	9.4280	Inf	Inf
0.9343	9.6224	Inf	Inf
0.9709	9.4141	Inf	Inf
1.0221	8.9937	Inf	Inf
1.0434	8.7093	Inf	Inf
1.0473	8.6055	Inf	Inf
1.0534	8.7026	Inf	Inf
1.1022	9.1578	Inf	Inf
1.1557	9.3718	Inf	Inf
1.2160	9.4718	Inf	Inf
1.2587	9.5722	Inf	Inf
1.2938	9.7067	Inf	Inf
1.3396	9.5857	Inf	Inf
1.3564	9.2901	Inf	Inf
1.3625	9.1840	Inf	Inf
1.3701	9.0799	Inf	Inf
1.3785	9.1762	Inf	Inf
1.3854	9.2878	Inf	Inf
1.4243	9.6790	Inf	Inf
1.4762	9.7937	Inf	Inf
1.5259	9.9604	Inf	Inf
1.6259	10.0560	Inf	Inf
1.6648	9.9282	Inf	Inf
1.7327	9.4789	Inf	Inf
1.7755	9.3759	Inf	Inf
1.7862	9.2728	Inf	Inf
1.7991	9.3725	Inf	Inf
1.8037	9.4849	Inf	Inf
1.8396	9.8918	Inf	Inf
1.8991	10.2081	Inf	Inf
1.9556	10.1077	Inf	Inf
1.9602	10.0042	Inf	Inf
1.9632	9.9012	Inf	Inf
1.9693	9.8971	Inf	Inf
1.9709	9.7974	Inf	Inf
1.9785	10.0938	Inf	Inf
2.0686	10.5573	Inf	Inf
2.1419	10.6588	Inf	Inf
2.2418	10.7589	Inf	Inf
2.2945	10.8600	Inf	Inf
2.3708	10.7540	Inf	Inf
2.3724	10.6127	Inf	Inf
2.3770	10.5093	Inf	Inf
2.3838	10.6154	Inf	Inf
2.3930	10.8065	Inf	Inf
2.4357	10.9743	Inf	Inf
2.5365	11.0549	Inf	Inf
2.6372	11.1343	Inf	Inf
2.6975	11.2362	Inf	Inf
2.7975	11.3172	Inf	Inf
2.8273	11.2100	Inf	Inf
2.8327	11.0635	Inf	Inf
2.8365	10.9608	Inf	Inf
2.8487	10.9680	Inf	Inf
2.9120	11.4210	Inf	Inf
3.0120	11.4865	Inf	Inf
3.1052	11.5843	Inf	Inf
3.2051	11.6435	Inf	Inf
3.3059	11.6982	Inf	Inf
3.3403	11.5933	Inf	Inf
3.3540	11.3872	Inf	Inf
3.3555	11.2846	Inf	Inf
3.3624	11.3865	Inf	Inf
3.3861	11.7046	Inf	Inf
3.4639	11.8590	Inf	Inf
3.5647	11.8949	Inf	Inf
3.6647	11.9339	Inf	Inf
3.7654	11.9755	Inf	Inf
3.8219	11.8710	Inf	Inf
3.8311	11.6536	Inf	Inf
3.8341	11.5502	Inf	Inf
3.8509	11.6540	Inf	Inf
3.9204	12.0486	Inf	Inf
4.0204	12.0849	Inf	Inf
4.1211	12.1486	Inf	Inf
4.2204	12.2056	Inf	Inf
4.3203	12.1145	Inf	Inf
4.3333	12.0096	Inf	Inf
4.3379	11.8245	Inf	Inf
4.3448	11.7237	Inf	Inf
4.3524	11.8275	Inf	Inf
4.4058	12.2595	Inf	Inf
4.5066	12.2936	Inf	Inf
4.6066	12.3172	Inf	Inf
4.7081	12.3165	Inf	Inf
4.8089	12.2516	Inf	Inf
4.8188	12.1396	Inf	Inf
4.8257	12.0066	Inf	Inf
