Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 08.03.2023	Time: 13:26:17

Name:	Timber Perpendicular
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0550	0.0989	Inf	Inf
0.0992	0.0187	Inf	Inf
0.1099	0.1967	Inf	Inf
0.1748	0.2971	Inf	Inf
0.2313	0.3945	Inf	Inf
0.2969	0.4935	Inf	Inf
0.3801	0.5958	Inf	Inf
0.4816	0.6909	Inf	Inf
0.5832	0.7456	Inf	Inf
0.6847	0.7898	Inf	Inf
0.7847	0.8048	Inf	Inf
0.8862	0.8322	Inf	Inf
0.9862	0.8363	Inf	Inf
1.0862	0.8337	Inf	Inf
1.1862	0.8633	Inf	Inf
1.2847	0.9109	Inf	Inf
1.3846	0.9097	Inf	Inf
1.4862	0.9176	Inf	Inf
1.5862	0.9304	Inf	Inf
1.6877	0.9480	Inf	Inf
1.7884	0.9690	Inf	Inf
1.8877	0.9937	Inf	Inf
1.9877	0.9982	Inf	Inf
2.0884	1.0060	Inf	Inf
2.1884	0.9851	Inf	Inf
2.2892	1.0278	Inf	Inf
2.3907	1.0563	Inf	Inf
2.4892	1.0784	Inf	Inf
2.5899	1.0012	Inf	Inf
2.6891	1.0844	Inf	Inf
2.7907	1.1020	Inf	Inf
2.8930	1.1214	Inf	Inf
2.9907	1.1207	Inf	Inf
3.0899	1.1263	Inf	Inf
3.1884	1.1334	Inf	Inf
3.2876	1.1432	Inf	Inf
3.3868	1.1518	Inf	Inf
3.4868	1.1653	Inf	Inf
3.5883	1.1642	Inf	Inf
3.6891	1.1552	Inf	Inf
3.7883	1.1702	Inf	Inf
3.8891	1.1829	Inf	Inf
3.9906	1.1904	Inf	Inf
4.0906	1.1863	Inf	Inf
4.1898	1.2207	Inf	Inf
4.2891	1.2305	Inf	Inf
4.3890	1.2436	Inf	Inf
4.4883	1.2552	Inf	Inf
4.5860	1.2751	Inf	Inf
4.6860	1.2953	Inf	Inf
4.7890	1.3069	Inf	Inf
4.8905	1.3118	Inf	Inf
4.9905	1.2979	Inf	Inf
5.0905	1.2717	Inf	Inf
5.1920	1.3002	Inf	Inf
5.2936	1.3399	Inf	Inf
5.3943	1.3253	Inf	Inf
5.4951	1.2837	Inf	Inf
5.5966	1.3594	Inf	Inf
5.6958	1.3676	Inf	Inf
5.7951	1.3650	Inf	Inf
5.8943	1.3852	Inf	Inf
5.9935	1.4223	Inf	Inf
6.0935	1.4448	Inf	Inf
6.1950	1.4669	Inf	Inf
6.2966	1.4793	Inf	Inf
6.3988	1.4995	Inf	Inf
6.4981	1.4759	Inf	Inf
6.5996	1.4733	Inf	Inf
6.7011	1.5119	Inf	Inf
6.8019	1.5059	Inf	Inf
6.9019	1.4227	Inf	Inf
6.9912	1.5235	Inf	Inf
7.0896	1.5711	Inf	Inf
7.1881	1.5804	Inf	Inf
7.2896	1.6235	Inf	Inf
7.3889	1.6524	Inf	Inf
7.4889	1.6689	Inf	Inf
7.5888	1.6951	Inf	Inf
7.6904	1.7543	Inf	Inf
7.7911	1.7753	Inf	Inf
7.8926	1.7536	Inf	Inf
7.9926	1.8307	Inf	Inf
8.0926	1.8506	Inf	Inf
8.1873	1.7494	Inf	Inf
8.2338	1.8484	Inf	Inf
8.2896	1.9529	Inf	Inf
8.3880	2.0428	Inf	Inf
8.4873	2.0552	Inf	Inf
8.5880	2.1043	Inf	Inf
8.6865	2.1758	Inf	Inf
8.7872	2.2320	Inf	Inf
8.8872	2.2942	Inf	Inf
8.9872	2.3669	Inf	Inf
9.0888	2.4640	Inf	Inf
9.1903	2.4553	Inf	Inf
9.2910	2.5029	Inf	Inf
9.3903	2.5887	Inf	Inf
9.4903	2.5932	Inf	Inf
9.5803	2.6944	Inf	Inf
9.6147	2.7941	Inf	Inf
9.6826	2.9158	Inf	Inf
9.7498	3.0121	Inf	Inf
9.8498	3.0541	Inf	Inf
9.9498	3.1474	Inf	Inf
10.0200	3.2456	Inf	Inf
10.0986	3.3464	Inf	Inf
10.1765	3.4502	Inf	Inf
10.2314	3.5524	Inf	Inf
10.3246	3.6529	Inf	Inf
10.3589	3.7507	Inf	Inf
10.4314	3.9545	Inf	Inf
10.5322	3.8395	Inf	Inf
10.5566	3.9410	Inf	Inf
10.6566	3.9878	Inf	Inf
10.6681	4.0860	Inf	Inf
10.7215	4.2464	Inf	Inf
10.7978	4.3400	Inf	Inf
