Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 16:29:57

Name:	Al Alloy 34B
User Comment:	Seamus, Alex, Will

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0255	Inf	Inf
0.2000	0.0214	Inf	Inf
0.3007	0.0195	Inf	Inf
0.4015	0.0101	Inf	Inf
0.5015	0.0225	Inf	Inf
0.6000	0.0210	Inf	Inf
0.7007	0.0165	Inf	Inf
0.8007	0.0247	Inf	Inf
0.9007	0.0221	Inf	Inf
1.0007	0.0176	Inf	Inf
1.1007	0.0244	Inf	Inf
1.2007	0.0274	Inf	Inf
1.3007	0.0281	Inf	Inf
1.4014	0.0528	Inf	Inf
1.5014	0.0356	Inf	Inf
1.6014	0.0405	Inf	Inf
1.7022	0.0363	Inf	Inf
1.8014	0.0266	Inf	Inf
1.9014	0.0244	Inf	Inf
2.0014	0.0266	Inf	Inf
2.1014	0.0270	Inf	Inf
2.2014	0.0191	Inf	Inf
2.3021	0.0277	Inf	Inf
2.4021	0.0802	Inf	Inf
2.4189	0.1810	Inf	Inf
2.4235	0.2810	Inf	Inf
2.4411	0.3811	Inf	Inf
2.4495	0.4789	Inf	Inf
2.4602	0.6175	Inf	Inf
2.4815	0.9124	Inf	Inf
2.5113	1.2391	Inf	Inf
2.5296	1.5730	Inf	Inf
2.5533	1.9076	Inf	Inf
2.5632	2.1275	Inf	Inf
2.5724	2.3411	Inf	Inf
2.5853	2.5509	Inf	Inf
2.5861	2.4509	Inf	Inf
2.5998	2.6922	Inf	Inf
2.6006	2.8941	Inf	Inf
2.6021	2.7922	Inf	Inf
2.6037	2.9942	Inf	Inf
2.6136	3.0931	Inf	Inf
2.6143	3.2325	Inf	Inf
2.6350	3.3872	Inf	Inf
2.6510	3.6285	Inf	Inf
2.6708	3.7795	Inf	Inf
2.6830	3.8803	Inf	Inf
2.7067	3.9807	Inf	Inf
2.7411	4.0811	Inf	Inf
2.7792	4.1812	Inf	Inf
2.8243	4.2808	Inf	Inf
2.8548	4.3820	Inf	Inf
2.8952	4.4832	Inf	Inf
2.9311	4.5843	Inf	Inf
2.9929	4.6859	Inf	Inf
3.0395	4.7848	Inf	Inf
3.0578	4.8860	Inf	Inf
3.0723	4.9860	Inf	Inf
3.1647	5.0842	Inf	Inf
3.2326	5.1861	Inf	Inf
3.3174	5.2858	Inf	Inf
3.3738	5.3877	Inf	Inf
3.4631	5.4870	Inf	Inf
3.5639	5.5863	Inf	Inf
3.5784	5.5851	Inf	Inf
3.5815	5.4851	Inf	Inf
3.6448	5.6867	Inf	Inf
3.7448	5.6533	Inf	Inf
3.7814	5.7553	Inf	Inf
3.8089	5.6530	Inf	Inf
3.8150	5.7549	Inf	Inf
3.8730	5.8545	Inf	Inf
3.9730	5.8426	Inf	Inf
4.0738	5.9167	Inf	Inf
4.1746	5.9831	Inf	Inf
4.2036	5.9819	Inf	Inf
4.2081	5.8819	Inf	Inf
4.3036	6.0415	Inf	Inf
4.4035	6.0366	Inf	Inf
4.5035	6.0321	Inf	Inf
4.5554	6.1311	Inf	Inf
4.6562	6.1262	Inf	Inf
4.7012	6.0235	Inf	Inf
4.7096	6.1251	Inf	Inf
4.8096	6.1191	Inf	Inf
4.9104	6.1506	Inf	Inf
5.0104	6.1876	Inf	Inf
5.1104	6.1637	Inf	Inf
5.2104	6.1813	Inf	Inf
5.2302	6.1794	Inf	Inf
5.2371	6.0805	Inf	Inf
5.3302	6.2086	Inf	Inf
5.4302	6.2438	Inf	Inf
5.5302	6.2150	Inf	Inf
5.6302	6.2068	Inf	Inf
5.6615	6.3057	Inf	Inf
5.6882	6.2034	Inf	Inf
5.7882	6.1989	Inf	Inf
5.8882	6.2034	Inf	Inf
5.9882	6.1959	Inf	Inf
6.0882	6.2386	Inf	Inf
6.1882	6.2131	Inf	Inf
6.2889	6.2214	Inf	Inf
6.3149	6.2221	Inf	Inf
6.3172	6.3233	Inf	Inf
6.3195	6.1195	Inf	Inf
6.3698	6.2221	Inf	Inf
6.4698	6.1955	Inf	Inf
6.5698	6.1899	Inf	Inf
6.6378	6.0895	Inf	Inf
6.6446	6.1910	Inf	Inf
6.6484	6.2888	Inf	Inf
6.6904	6.1839	Inf	Inf
6.7057	6.0737	Inf	Inf
6.7110	6.1715	Inf	Inf
6.7240	6.2787	Inf	Inf
6.7698	6.1232	Inf	Inf
6.8698	6.1056	Inf	Inf
6.9118	6.0018	Inf	Inf
6.9225	6.1056	Inf	Inf
6.9355	6.2060	Inf	Inf
6.9545	6.0722	Inf	Inf
7.0545	6.0310	Inf	Inf
7.1362	5.9295	Inf	Inf
7.1408	6.0299	Inf	Inf
7.2415	5.9505	Inf	Inf
7.3415	5.8826	Inf	Inf
7.3530	5.7792	Inf	Inf
7.3614	5.8796	Inf	Inf
7.4614	5.7976	Inf	Inf
7.5614	5.7414	Inf	Inf
7.6606	5.6638	Inf	Inf
7.7056	5.5623	Inf	Inf
7.8056	5.5612	Inf	Inf
7.8957	5.4607	Inf	Inf
7.9781	5.3585	Inf	Inf
8.0713	5.2539	Inf	Inf
8.1728	5.1512	Inf	Inf
8.2461	5.0467	Inf	Inf
8.3163	4.8365	Inf	Inf
8.4277	4.5371	Inf	Inf
8.5132	4.3835	Inf	Inf
8.6048	4.2321	Inf	Inf
8.6964	4.0796	Inf	Inf
Data End	

