Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 16:46:11

Name:	PLA
User Comment:	Seamus, Alex, Will

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0473	0.1000	Inf	Inf
0.1473	0.1458	Inf	Inf
0.2473	0.1604	Inf	Inf
0.3473	0.2005	Inf	Inf
0.4473	0.2199	Inf	Inf
0.5473	0.1960	Inf	Inf
0.6473	0.2102	Inf	Inf
0.7473	0.2076	Inf	Inf
0.8465	0.2098	Inf	Inf
0.9473	0.2016	Inf	Inf
1.0480	0.1993	Inf	Inf
1.1480	0.2008	Inf	Inf
1.2480	0.1952	Inf	Inf
1.3480	0.2023	Inf	Inf
1.4488	0.2095	Inf	Inf
1.5488	0.2072	Inf	Inf
1.6488	0.2754	Inf	Inf
1.7487	0.3440	Inf	Inf
1.8495	0.4399	Inf	Inf
1.9495	0.5156	Inf	Inf
2.0495	0.6085	Inf	Inf
2.1495	0.7033	Inf	Inf
2.2495	0.7910	Inf	Inf
2.3502	0.8712	Inf	Inf
2.4502	0.8873	Inf	Inf
2.5502	0.8903	Inf	Inf
2.5815	0.7749	Inf	Inf
2.6624	0.3781	Inf	Inf
2.7006	0.2465	Inf	Inf
2.7937	0.1604	Inf	Inf
2.9136	0.1652	Inf	Inf
3.0441	0.1615	Inf	Inf
3.1227	0.1615	Inf	Inf
3.2090	0.1634	Inf	Inf
3.3036	0.1652	Inf	Inf
3.4082	0.1645	Inf	Inf
3.5181	0.1619	Inf	Inf
3.6357	0.1615	Inf	Inf
3.7624	0.1634	Inf	Inf
3.8998	0.1656	Inf	Inf
4.0478	0.1652	Inf	Inf
4.2036	0.1626	Inf	Inf
4.3692	0.1615	Inf	Inf
4.5448	0.1630	Inf	Inf
4.7318	0.1649	Inf	Inf
4.9295	0.1649	Inf	Inf
5.1356	0.1626	Inf	Inf
5.3493	0.1615	Inf	Inf
