Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 16:40:10

Name:	Steel
User Comment:	Seamus, Alex, Will

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0255	Inf	Inf
0.1992	0.0296	Inf	Inf
0.2992	0.0326	Inf	Inf
0.3992	0.0453	Inf	Inf
0.4992	0.0457	Inf	Inf
0.5984	0.0416	Inf	Inf
0.6984	0.0352	Inf	Inf
0.7984	0.0307	Inf	Inf
0.8984	0.0289	Inf	Inf
0.9992	0.0285	Inf	Inf
1.0992	0.0277	Inf	Inf
1.1999	0.0401	Inf	Inf
1.2999	0.0382	Inf	Inf
1.4007	0.0274	Inf	Inf
1.4999	0.0472	Inf	Inf
1.5365	0.1473	Inf	Inf
1.5526	0.2465	Inf	Inf
1.5724	0.3455	Inf	Inf
1.5801	0.4448	Inf	Inf
1.5846	0.6467	Inf	Inf
1.5915	0.5459	Inf	Inf
1.5923	0.8453	Inf	Inf
1.5946	0.7460	Inf	Inf
1.5968	0.9450	Inf	Inf
1.5984	1.0439	Inf	Inf
1.6014	1.1428	Inf	Inf
1.6106	1.3414	Inf	Inf
1.6129	1.2428	Inf	Inf
1.6213	1.4418	Inf	Inf
1.6281	1.5419	Inf	Inf
1.6343	1.8401	Inf	Inf
1.6350	2.1372	Inf	Inf
1.6358	1.7408	Inf	Inf
1.6404	1.9383	Inf	Inf
1.6411	2.0372	Inf	Inf
1.6419	2.3373	Inf	Inf
1.6449	2.2373	Inf	Inf
1.6449	2.4381	Inf	Inf
1.6503	2.5382	Inf	Inf
1.6556	2.6378	Inf	Inf
1.6594	2.8375	Inf	Inf
1.6610	2.7375	Inf	Inf
1.6610	2.9376	Inf	Inf
1.6717	3.0365	Inf	Inf
1.6739	3.1358	Inf	Inf
1.6793	3.3355	Inf	Inf
1.6808	3.4337	Inf	Inf
1.6823	3.5333	Inf	Inf
1.6930	3.6330	Inf	Inf
1.6953	3.7334	Inf	Inf
1.7075	3.8327	Inf	Inf
1.7075	4.1355	Inf	Inf
1.7121	3.9324	Inf	Inf
1.7159	4.3359	Inf	Inf
1.7167	4.2363	Inf	Inf
1.7190	4.4367	Inf	Inf
1.7266	4.9369	Inf	Inf
1.7281	4.8380	Inf	Inf
1.7304	4.7383	Inf	Inf
1.7320	4.5371	Inf	Inf
1.7388	4.6372	Inf	Inf
1.7411	5.0358	Inf	Inf
1.7449	5.1366	Inf	Inf
1.7465	5.3348	Inf	Inf
1.7518	5.5334	Inf	Inf
1.7526	5.2363	Inf	Inf
1.7564	5.4341	Inf	Inf
1.7610	5.6346	Inf	Inf
1.7640	5.7335	Inf	Inf
1.7716	5.8347	Inf	Inf
1.7770	6.1337	Inf	Inf
1.7816	6.2341	Inf	Inf
1.7854	6.3330	Inf	Inf
1.7877	6.4342	Inf	Inf
1.7923	7.0487	Inf	Inf
1.7930	6.6523	Inf	Inf
1.7968	6.7531	Inf	Inf
1.7976	6.5526	Inf	Inf
1.8014	6.8520	Inf	Inf
1.8022	7.1506	Inf	Inf
1.8045	6.9509	Inf	Inf
1.8045	7.2521	Inf	Inf
1.8083	7.5609	Inf	Inf
1.8106	7.6568	Inf	Inf
1.8113	7.4571	Inf	Inf
1.8159	7.8715	Inf	Inf
1.8174	7.7763	Inf	Inf
1.8426	8.3155	Inf	Inf
1.8472	8.6104	Inf	Inf
1.8503	8.4133	Inf	Inf
1.8526	8.5126	Inf	Inf
1.8526	9.1792	Inf	Inf
1.8541	8.7730	Inf	Inf
1.8571	9.0765	Inf	Inf
1.8610	8.9776	Inf	Inf
1.8617	9.3321	Inf	Inf
1.8640	8.8753	Inf	Inf
1.8900	9.4302	Inf	Inf
1.8999	9.2245	Inf	Inf
1.9052	9.3261	Inf	Inf
1.9098	9.3227	Inf	Inf
1.9548	9.4220	Inf	Inf
1.9732	9.3204	Inf	Inf
2.0014	9.4194	Inf	Inf
2.0190	9.5216	Inf	Inf
2.0296	9.4197	Inf	Inf
2.0312	9.3186	Inf	Inf
2.0380	9.2155	Inf	Inf
2.0495	9.3107	Inf	Inf
2.0663	9.5336	Inf	Inf
2.0991	9.4302	Inf	Inf
2.1190	9.3257	Inf	Inf
2.2189	9.3774	Inf	Inf
2.2487	9.4774	Inf	Inf
2.2709	9.3721	Inf	Inf
2.3220	9.4711	Inf	Inf
2.3663	9.5711	Inf	Inf
2.3899	9.4662	Inf	Inf
2.4014	9.3335	Inf	Inf
2.4044	9.0274	Inf	Inf
2.4044	9.2328	Inf	Inf
2.4060	9.1301	Inf	Inf
2.4212	9.1263	Inf	Inf
2.4220	9.2271	Inf	Inf
2.4235	9.3287	Inf	Inf
2.4434	9.4272	Inf	Inf
2.4831	9.5288	Inf	Inf
2.5266	9.6277	Inf	Inf
2.5495	9.5250	Inf	Inf
2.5609	9.5243	Inf	Inf
2.5693	9.6296	Inf	Inf
2.6067	9.5231	Inf	Inf
2.6273	9.4209	Inf	Inf
2.6594	9.3189	Inf	Inf
2.6662	9.4209	Inf	Inf
2.7197	9.5250	Inf	Inf
2.7349	9.4238	Inf	Inf
2.7441	9.3201	Inf	Inf
2.7578	9.4205	Inf	Inf
2.7800	9.5183	Inf	Inf
2.7968	9.4156	Inf	Inf
2.8036	9.3133	Inf	Inf
2.8136	9.5149	Inf	Inf
2.8181	9.4119	Inf	Inf
2.8250	9.6153	Inf	Inf
2.8609	9.7086	Inf	Inf
2.8723	9.8341	Inf	Inf
2.8960	9.5898	Inf	Inf
2.9319	9.4887	Inf	Inf
2.9395	9.5835	Inf	Inf
2.9815	9.6839	Inf	Inf
2.9975	9.5808	Inf	Inf
3.0242	9.6790	Inf	Inf
3.0342	9.5760	Inf	Inf
3.0662	9.4722	Inf	Inf
3.0769	9.5719	Inf	Inf
3.0960	9.5666	Inf	Inf
3.1006	9.4696	Inf	Inf
3.1128	9.6666	Inf	Inf
3.1364	9.7708	Inf	Inf
3.1609	9.7704	Inf	Inf
3.1662	9.6681	Inf	Inf
3.1731	9.9211	Inf	Inf
3.1906	10.0230	Inf	Inf
3.2082	10.1211	Inf	Inf
3.2708	10.2212	Inf	Inf
3.2777	10.1193	Inf	Inf
3.2853	10.2167	Inf	Inf
3.2983	10.3179	Inf	Inf
3.3273	10.4194	Inf	Inf
3.4044	10.5236	Inf	Inf
3.4715	10.6274	Inf	Inf
3.5036	10.4797	Inf	Inf
3.5105	10.4749	Inf	Inf
3.5257	10.5940	Inf	Inf
3.5593	10.6948	Inf	Inf
3.5960	10.6956	Inf	Inf
3.5990	10.5940	Inf	Inf
3.6395	10.7990	Inf	Inf
3.6547	10.6952	Inf	Inf
3.6815	10.5921	Inf	Inf
3.6830	10.7956	Inf	Inf
3.6914	10.6941	Inf	Inf
3.6967	10.6967	Inf	Inf
3.7189	10.9102	Inf	Inf
3.7937	10.8053	Inf	Inf
3.7998	10.9065	Inf	Inf
3.8196	11.0436	Inf	Inf
3.9082	11.1444	Inf	Inf
3.9646	11.0410	Inf	Inf
3.9799	11.1411	Inf	Inf
4.0097	11.0388	Inf	Inf
4.0150	10.9380	Inf	Inf
4.0204	10.8364	Inf	Inf
4.0234	10.9354	Inf	Inf
4.0349	11.2347	Inf	Inf
4.0456	11.0789	Inf	Inf
4.0540	10.9781	Inf	Inf
4.0662	11.0815	Inf	Inf
4.0723	11.2029	Inf	Inf
4.0791	11.0998	Inf	Inf
4.0845	10.9968	Inf	Inf
4.0875	11.1021	Inf	Inf
4.1463	11.3591	Inf	Inf
4.2394	11.4595	Inf	Inf
4.3394	11.4805	Inf	Inf
