Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 16:57:06

Name:	Timber_Parallel
User Comment:	Alex, Will, Seamus

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0356	Inf	Inf
0.2000	0.0262	Inf	Inf
0.3000	0.0307	Inf	Inf
0.4000	0.0259	Inf	Inf
0.5000	0.0142	Inf	Inf
0.6007	0.0303	Inf	Inf
0.7007	0.0311	Inf	Inf
0.8007	0.0232	Inf	Inf
0.9007	0.0259	Inf	Inf
1.0007	0.0195	Inf	Inf
1.0999	0.0071	Inf	Inf
1.2007	0.0060	Inf	Inf
1.3007	0.0165	Inf	Inf
1.4007	0.0157	Inf	Inf
1.5007	0.0124	Inf	Inf
1.5488	0.1124	Inf	Inf
1.5625	0.2106	Inf	Inf
1.5984	0.4103	Inf	Inf
1.6182	0.5688	Inf	Inf
1.6259	0.7696	Inf	Inf
1.6281	0.6692	Inf	Inf
1.6411	0.8704	Inf	Inf
1.6434	0.9708	Inf	Inf
1.6610	1.2357	Inf	Inf
1.6686	1.3642	Inf	Inf
1.6770	1.5846	Inf	Inf
1.6854	1.8720	Inf	Inf
1.6862	1.7266	Inf	Inf
1.6869	2.0720	Inf	Inf
1.6907	1.9712	Inf	Inf
1.6907	2.1717	Inf	Inf
1.6930	2.2721	Inf	Inf
1.6938	2.4722	Inf	Inf
1.6976	2.5715	Inf	Inf
1.6999	2.6723	Inf	Inf
1.7052	2.7716	Inf	Inf
1.7083	2.9720	Inf	Inf
1.7106	2.8713	Inf	Inf
1.7152	3.0732	Inf	Inf
1.7182	3.2737	Inf	Inf
1.7205	3.3733	Inf	Inf
1.7236	3.6742	Inf	Inf
1.7251	3.4745	Inf	Inf
1.7350	3.7743	Inf	Inf
1.7381	3.9721	Inf	Inf
1.7396	3.8728	Inf	Inf
1.7419	4.1711	Inf	Inf
1.7426	4.0733	Inf	Inf
1.7495	4.3363	Inf	Inf
1.7549	4.6514	Inf	Inf
1.7587	4.7822	Inf	Inf
1.7648	4.8826	Inf	Inf
1.7709	4.9834	Inf	Inf
1.7732	5.1820	Inf	Inf
1.7747	5.0819	Inf	Inf
