Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 17:02:05

Name:	Timber_Perpendicular
User Comment:	Will, Alex, Seamus

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0225	Inf	Inf
0.2000	0.0191	Inf	Inf
0.3000	0.0184	Inf	Inf
0.4000	0.0217	Inf	Inf
0.5007	0.0064	Inf	Inf
0.6007	0.0135	Inf	Inf
0.7015	0.0150	Inf	Inf
0.8015	0.0082	Inf	Inf
0.9022	0.0259	Inf	Inf
0.9870	0.1259	Inf	Inf
1.0312	0.2263	Inf	Inf
1.0732	0.3267	Inf	Inf
1.1022	0.4264	Inf	Inf
1.1282	0.5272	Inf	Inf
1.1465	0.6269	Inf	Inf
1.1770	0.7276	Inf	Inf
1.1870	0.8269	Inf	Inf
1.2152	0.9262	Inf	Inf
1.2343	1.0270	Inf	Inf
1.2572	1.1271	Inf	Inf
1.3579	1.1185	Inf	Inf
1.4587	1.1964	Inf	Inf
1.5587	1.2642	Inf	Inf
1.6396	1.1615	Inf	Inf
1.6610	1.2620	Inf	Inf
1.7617	1.2683	Inf	Inf
1.8617	1.3661	Inf	Inf
1.9617	1.4212	Inf	Inf
2.0083	1.3178	Inf	Inf
2.1083	1.3403	Inf	Inf
2.2090	1.4055	Inf	Inf
2.3090	1.4081	Inf	Inf
2.4090	1.4474	Inf	Inf
2.5082	1.4399	Inf	Inf
2.6082	1.4886	Inf	Inf
2.6914	1.3871	Inf	Inf
2.7098	1.4868	Inf	Inf
2.8098	1.5145	Inf	Inf
2.9097	1.5535	Inf	Inf
2.9212	1.4497	Inf	Inf
2.9907	1.5508	Inf	Inf
3.0907	1.5673	Inf	Inf
3.1906	1.5786	Inf	Inf
3.2906	1.6273	Inf	Inf
3.3914	1.6644	Inf	Inf
3.4914	1.6205	Inf	Inf
3.5921	1.5670	Inf	Inf
3.6295	1.6677	Inf	Inf
3.7295	1.6760	Inf	Inf
3.8295	1.6895	Inf	Inf
3.9295	1.6692	Inf	Inf
4.0295	1.7352	Inf	Inf
4.1295	1.7757	Inf	Inf
4.1455	1.6719	Inf	Inf
4.2104	1.7723	Inf	Inf
4.3104	1.7757	Inf	Inf
4.4112	1.8345	Inf	Inf
4.4318	1.7326	Inf	Inf
4.4646	1.8345	Inf	Inf
4.5646	1.8922	Inf	Inf
4.6646	1.8513	Inf	Inf
4.7257	1.9491	Inf	Inf
4.8257	2.0057	Inf	Inf
4.8463	1.8993	Inf	Inf
4.9463	1.9297	Inf	Inf
5.0463	2.0023	Inf	Inf
5.1463	2.0364	Inf	Inf
5.2462	2.0664	Inf	Inf
5.3462	2.0372	Inf	Inf
5.4432	2.1357	Inf	Inf
5.5432	2.1084	Inf	Inf
5.6439	2.1324	Inf	Inf
5.7439	2.1297	Inf	Inf
5.7912	2.2302	Inf	Inf
5.8912	2.2425	Inf	Inf
5.9912	2.2669	Inf	Inf
6.0897	2.3673	Inf	Inf
6.1897	2.2680	Inf	Inf
6.2126	2.3680	Inf	Inf
6.2821	2.4688	Inf	Inf
6.3821	2.4741	Inf	Inf
6.4828	2.5224	Inf	Inf
6.5828	2.4790	Inf	Inf
6.6591	2.5797	Inf	Inf
6.7599	2.5591	Inf	Inf
6.8049	2.6573	Inf	Inf
6.9042	2.6888	Inf	Inf
7.0042	2.6828	Inf	Inf
7.1041	2.7603	Inf	Inf
7.2049	2.7648	Inf	Inf
7.2713	2.8649	Inf	Inf
7.3721	2.9110	Inf	Inf
7.4438	2.8072	Inf	Inf
7.4530	2.7045	Inf	Inf
7.4705	2.8027	Inf	Inf
7.4904	2.9042	Inf	Inf
7.5492	3.1275	Inf	Inf
7.6430	3.0234	Inf	Inf
7.7430	3.0601	Inf	Inf
7.8430	3.1410	Inf	Inf
7.9430	3.1590	Inf	Inf
7.9965	3.2587	Inf	Inf
8.0247	3.3599	Inf	Inf
8.0804	3.2583	Inf	Inf
8.0888	3.1530	Inf	Inf
8.1087	3.2516	Inf	Inf
8.1361	3.1504	Inf	Inf
8.1514	3.2441	Inf	Inf
8.1835	3.4438	Inf	Inf
8.2338	3.5854	Inf	Inf
8.3331	3.5056	Inf	Inf
8.4323	3.5652	Inf	Inf
8.4567	3.6652	Inf	Inf
8.5567	3.6397	Inf	Inf
8.5750	3.5341	Inf	Inf
8.6109	3.6345	Inf	Inf
8.6392	3.7345	Inf	Inf
8.7277	3.6319	Inf	Inf
8.7506	3.7353	Inf	Inf
8.7659	3.8567	Inf	Inf
8.8552	3.9575	Inf	Inf
8.9033	4.0553	Inf	Inf
9.0040	4.1164	Inf	Inf
9.0155	4.0096	Inf	Inf
9.0460	4.1100	Inf	Inf
9.1178	4.2123	Inf	Inf
9.1666	4.3101	Inf	Inf
9.2666	4.3906	Inf	Inf
9.3010	4.4907	Inf	Inf
9.3407	4.3633	Inf	Inf
9.3956	4.4633	Inf	Inf
9.4246	4.5630	Inf	Inf
9.5238	4.5922	Inf	Inf
9.6139	4.4877	Inf	Inf
9.6223	4.3839	Inf	Inf
9.6277	4.2816	Inf	Inf
9.6467	4.3820	Inf	Inf
9.6612	4.4839	Inf	Inf
9.6658	4.5832	Inf	Inf
9.7131	4.6825	Inf	Inf
9.7284	4.7829	Inf	Inf
9.8170	4.8822	Inf	Inf
9.9002	4.9808	Inf	Inf
9.9856	4.8785	Inf	Inf
9.9933	4.7784	Inf	Inf
10.0002	4.6765	Inf	Inf
10.0162	4.7732	Inf	Inf
10.0314	4.9879	Inf	Inf
10.0582	5.1850	Inf	Inf
10.0918	5.2843	Inf	Inf
10.1917	5.2880	Inf	Inf
10.2185	5.3888	Inf	Inf
10.2520	5.4877	Inf	Inf
10.2917	5.5896	Inf	Inf
10.3085	5.4851	Inf	Inf
10.3146	5.3442	Inf	Inf
