Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 16:12:27

Name:	perpendicular wood
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1007	0.0054	Inf	Inf
0.2013	0.0050	Inf	Inf
0.2982	0.1062	Inf	Inf
0.3361	0.2058	Inf	Inf
0.3964	0.4447	Inf	Inf
0.4376	0.6572	Inf	Inf
0.5000	0.9618	Inf	Inf
0.5413	1.1440	Inf	Inf
0.5850	1.3040	Inf	Inf
0.6167	1.3998	Inf	Inf
0.6884	1.6656	Inf	Inf
0.7212	1.7649	Inf	Inf
0.7898	1.9363	Inf	Inf
0.8894	2.0181	Inf	Inf
0.9217	2.1243	Inf	Inf
0.9971	2.2780	Inf	Inf
1.0947	2.3520	Inf	Inf
1.1951	2.3719	Inf	Inf
1.2485	2.2669	Inf	Inf
1.2541	2.1655	Inf	Inf
1.3195	2.2671	Inf	Inf
1.3667	2.3670	Inf	Inf
1.4670	2.4342	Inf	Inf
1.5673	2.4460	Inf	Inf
1.6670	2.4193	Inf	Inf
1.7671	2.4860	Inf	Inf
1.8676	2.4867	Inf	Inf
1.9674	2.5279	Inf	Inf
2.0675	2.5875	Inf	Inf
2.1674	2.5325	Inf	Inf
2.2661	2.5159	Inf	Inf
2.3662	2.5980	Inf	Inf
2.4671	2.6365	Inf	Inf
2.5673	2.5977	Inf	Inf
2.6675	2.6519	Inf	Inf
2.7683	2.6690	Inf	Inf
2.8677	2.6857	Inf	Inf
2.9670	2.7322	Inf	Inf
3.0671	2.7918	Inf	Inf
3.1671	2.7652	Inf	Inf
3.2673	2.7585	Inf	Inf
3.3622	2.8581	Inf	Inf
3.4619	2.8270	Inf	Inf
3.5618	2.8814	Inf	Inf
3.6615	2.9398	Inf	Inf
3.7627	2.9800	Inf	Inf
3.8628	2.9564	Inf	Inf
3.9629	2.9427	Inf	Inf
4.0631	2.8987	Inf	Inf
4.1332	2.9980	Inf	Inf
4.2337	3.0361	Inf	Inf
4.3330	3.0980	Inf	Inf
4.4331	3.1031	Inf	Inf
4.5338	3.0708	Inf	Inf
4.6343	3.0475	Inf	Inf
4.7347	3.0509	Inf	Inf
4.8341	3.1402	Inf	Inf
4.9341	3.0588	Inf	Inf
4.9928	3.1570	Inf	Inf
5.0935	3.2125	Inf	Inf
5.1931	3.2105	Inf	Inf
5.2928	3.1860	Inf	Inf
5.3928	3.2267	Inf	Inf
5.4920	3.2711	Inf	Inf
5.5914	3.2284	Inf	Inf
5.6907	3.2134	Inf	Inf
5.7900	3.3101	Inf	Inf
5.8900	3.2908	Inf	Inf
5.9905	3.2112	Inf	Inf
6.0631	3.1089	Inf	Inf
