Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 03.03.2023	Time: 16:21:41

Name:	parrallel wood test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0993	0.0284	Inf	Inf
0.2000	0.0244	Inf	Inf
0.2795	0.1239	Inf	Inf
0.3006	0.3253	Inf	Inf
0.3103	0.4899	Inf	Inf
0.3482	1.3021	Inf	Inf
0.3866	2.0066	Inf	Inf
0.4276	3.0766	Inf	Inf
0.4470	4.1424	Inf	Inf
0.4840	5.4317	Inf	Inf
0.5010	6.1525	Inf	Inf
0.5159	6.2547	Inf	Inf
0.5165	7.0045	Inf	Inf
0.5530	8.4511	Inf	Inf
0.6030	10.0283	Inf	Inf
0.6550	11.2172	Inf	Inf
0.6754	11.4932	Inf	Inf
0.7375	11.9018	Inf	Inf
0.7771	12.7426	Inf	Inf
0.7926	12.9090	Inf	Inf
0.8939	12.8701	Inf	Inf
0.9026	12.7489	Inf	Inf
0.9172	12.2763	Inf	Inf
0.9245	11.9447	Inf	Inf
0.9281	12.0771	Inf	Inf
0.9359	12.0481	Inf	Inf
0.9533	13.0532	Inf	Inf
1.0400	13.6571	Inf	Inf
1.0646	13.5509	Inf	Inf
1.1447	13.4283	Inf	Inf
1.1644	13.0973	Inf	Inf
1.1698	12.9342	Inf	Inf
1.1769	12.3952	Inf	Inf
1.1891	12.1868	Inf	Inf
1.1968	12.0472	Inf	Inf
1.2034	12.1392	Inf	Inf
1.2472	13.9694	Inf	Inf
1.3378	13.8615	Inf	Inf
1.3976	13.7588	Inf	Inf
1.4976	13.6613	Inf	Inf
1.5991	13.6489	Inf	Inf
1.6994	13.6637	Inf	Inf
1.7500	13.5519	Inf	Inf
1.8018	13.2764	Inf	Inf
1.8209	13.0289	Inf	Inf
1.8538	12.3146	Inf	Inf
1.8706	12.0746	Inf	Inf
1.8756	11.9322	Inf	Inf
1.8759	11.8316	Inf	Inf
1.8809	11.7309	Inf	Inf
1.8857	11.7278	Inf	Inf
1.9154	13.7024	Inf	Inf
1.9904	14.2045	Inf	Inf
2.0664	14.0918	Inf	Inf
2.0967	13.9105	Inf	Inf
2.1711	13.6587	Inf	Inf
2.2721	13.6024	Inf	Inf
2.3708	13.5188	Inf	Inf
2.4715	13.4458	Inf	Inf
2.4898	13.3300	Inf	Inf
2.5468	12.4195	Inf	Inf
2.5682	12.0546	Inf	Inf
2.5763	11.8673	Inf	Inf
2.5828	11.7467	Inf	Inf
2.5891	11.8497	Inf	Inf
2.5946	12.1879	Inf	Inf
2.6470	13.6546	Inf	Inf
2.6960	13.7880	Inf	Inf
2.7955	13.6885	Inf	Inf
2.8968	13.5694	Inf	Inf
2.9966	13.5190	Inf	Inf
3.0971	13.4314	Inf	Inf
3.1964	13.3840	Inf	Inf
3.2383	13.4875	Inf	Inf
3.3400	13.4269	Inf	Inf
3.3581	13.3034	Inf	Inf
3.4135	13.3974	Inf	Inf
3.4645	13.6000	Inf	Inf
3.5261	13.4817	Inf	Inf
3.5682	13.2610	Inf	Inf
3.6226	13.3603	Inf	Inf
3.7030	13.2566	Inf	Inf
3.7475	13.1463	Inf	Inf
3.7714	12.9344	Inf	Inf
3.8187	12.0566	Inf	Inf
3.8367	11.7379	Inf	Inf
3.8467	11.5572	Inf	Inf
3.8516	11.4314	Inf	Inf
3.8586	11.5393	Inf	Inf
3.8748	12.0815	Inf	Inf
3.9529	13.5574	Inf	Inf
4.0090	13.4485	Inf	Inf
4.0661	13.3436	Inf	Inf
4.1183	13.2219	Inf	Inf
4.1524	13.1171	Inf	Inf
4.2534	13.1006	Inf	Inf
4.2985	12.9955	Inf	Inf
4.3984	12.9884	Inf	Inf
4.4272	12.8735	Inf	Inf
4.5271	12.8000	Inf	Inf
4.6269	12.9028	Inf	Inf
4.7257	12.9621	Inf	Inf
4.7757	12.8521	Inf	Inf
4.8764	12.8534	Inf	Inf
4.9581	12.7428	Inf	Inf
5.0123	12.6389	Inf	Inf
5.0823	12.5261	Inf	Inf
5.1059	12.4112	Inf	Inf
5.1635	11.5258	Inf	Inf
5.1875	11.1199	Inf	Inf
5.1926	10.9119	Inf	Inf
5.2068	10.7875	Inf	Inf
5.2238	10.8939	Inf	Inf
5.3075	12.6580	Inf	Inf
5.3856	12.5557	Inf	Inf
5.4338	12.4491	Inf	Inf
5.4896	12.2169	Inf	Inf
5.5900	12.2539	Inf	Inf
5.6279	12.1471	Inf	Inf
5.6855	12.0087	Inf	Inf
5.7764	11.9000	Inf	Inf
5.8662	11.7932	Inf	Inf
5.9136	11.6863	Inf	Inf
6.0125	11.6247	Inf	Inf
6.1000	11.7226	Inf	Inf
6.1990	11.7157	Inf	Inf
6.2418	11.6094	Inf	Inf
6.3426	11.6137	Inf	Inf
6.4129	11.5090	Inf	Inf
6.5118	11.5654	Inf	Inf
6.5759	11.4568	Inf	Inf
6.5890	11.3464	Inf	Inf
6.6386	10.5733	Inf	Inf
6.6530	10.2558	Inf	Inf
6.6630	10.0746	Inf	Inf
6.6733	9.9518	Inf	Inf
6.6817	10.0504	Inf	Inf
6.7149	11.0147	Inf	Inf
6.7852	11.8156	Inf	Inf
6.8845	11.7174	Inf	Inf
6.9862	11.6576	Inf	Inf
7.0862	11.6964	Inf	Inf
7.1863	11.6824	Inf	Inf
7.2871	11.6164	Inf	Inf
7.3872	11.6156	Inf	Inf
7.4624	11.7144	Inf	Inf
7.4918	11.8174	Inf	Inf
7.5243	11.9217	Inf	Inf
7.6263	11.9709	Inf	Inf
7.6931	11.8629	Inf	Inf
7.7928	11.9221	Inf	Inf
7.8929	11.9784	Inf	Inf
7.9922	11.9672	Inf	Inf
8.0213	11.8559	Inf	Inf
8.0541	11.3789	Inf	Inf
8.0685	10.8590	Inf	Inf
8.0857	10.6192	Inf	Inf
8.0972	10.4587	Inf	Inf
8.1049	10.3478	Inf	Inf
8.1259	10.4440	Inf	Inf
8.1546	11.7487	Inf	Inf
8.2272	12.4993	Inf	Inf
8.2573	12.7707	Inf	Inf
8.2749	12.8660	Inf	Inf
8.3749	12.7845	Inf	Inf
8.4253	12.8832	Inf	Inf
8.5251	12.9322	Inf	Inf
8.6244	12.9967	Inf	Inf
8.7245	13.0594	Inf	Inf
8.7540	13.1591	Inf	Inf
8.8172	13.2552	Inf	Inf
8.8562	13.4282	Inf	Inf
8.9200	13.5918	Inf	Inf
9.0193	13.6893	Inf	Inf
9.1179	13.7744	Inf	Inf
9.2013	13.8748	Inf	Inf
9.2809	13.7685	Inf	Inf
9.3037	13.6593	Inf	Inf
9.3620	12.6314	Inf	Inf
9.3835	12.2081	Inf	Inf
9.4006	11.9535	Inf	Inf
9.4044	11.7870	Inf	Inf
9.4093	11.8824	Inf	Inf
9.4392	13.2670	Inf	Inf
9.5111	14.1743	Inf	Inf
9.5429	14.3759	Inf	Inf
9.6236	14.2549	Inf	Inf
9.6562	14.0592	Inf	Inf
9.7374	13.5055	Inf	Inf
9.7711	13.2822	Inf	Inf
9.8553	12.7924	Inf	Inf
9.8867	12.6072	Inf	Inf
9.9652	12.2257	Inf	Inf
10.0026	12.1083	Inf	Inf
10.0888	12.0028	Inf	Inf
10.1535	11.8955	Inf	Inf
10.2066	11.7930	Inf	Inf
10.3057	11.8049	Inf	Inf
10.3830	11.9055	Inf	Inf
10.4298	12.0024	Inf	Inf
10.4851	12.1132	Inf	Inf
10.5548	12.2163	Inf	Inf
10.5884	12.3341	Inf	Inf
10.6159	12.4309	Inf	Inf
10.6915	12.6462	Inf	Inf
10.7361	12.7468	Inf	Inf
10.7782	12.6401	Inf	Inf
10.8182	11.8920	Inf	Inf
10.8267	11.6179	Inf	Inf
10.8384	11.4500	Inf	Inf
10.8512	11.5590	Inf	Inf
10.8578	11.9530	Inf	Inf
10.9406	13.8715	Inf	Inf
10.9645	13.9727	Inf	Inf
11.0437	14.6346	Inf	Inf
11.0884	14.7358	Inf	Inf
11.1467	15.1193	Inf	Inf
11.2011	15.2226	Inf	Inf
11.2507	15.5380	Inf	Inf
11.3508	15.5136	Inf	Inf
11.3729	15.6181	Inf	Inf
11.4527	16.0334	Inf	Inf
11.4737	16.1435	Inf	Inf
11.4886	16.2572	Inf	Inf
11.5779	17.0247	Inf	Inf
11.5921	17.1210	Inf	Inf
11.6359	17.3051	Inf	Inf
11.6938	17.5820	Inf	Inf
11.7382	17.8752	Inf	Inf
11.7876	17.9722	Inf	Inf
11.8397	18.2774	Inf	Inf
11.8906	18.4528	Inf	Inf
11.9188	18.3451	Inf	Inf
11.9657	17.3725	Inf	Inf
11.9922	16.9051	Inf	Inf
12.0099	16.6113	Inf	Inf
12.0171	16.4112	Inf	Inf
12.0287	16.2700	Inf	Inf
12.0354	16.3775	Inf	Inf
12.0431	17.4927	Inf	Inf
12.0839	18.8864	Inf	Inf
12.1207	19.4102	Inf	Inf
12.1648	20.3502	Inf	Inf
12.2608	20.4488	Inf	Inf
12.2683	20.5461	Inf	Inf
12.2851	20.7338	Inf	Inf
12.3139	20.6108	Inf	Inf
12.3393	20.1801	Inf	Inf
12.3402	19.9009	Inf	Inf
12.3459	19.6611	Inf	Inf
12.3616	19.4910	Inf	Inf
12.3686	19.3335	Inf	Inf
12.3859	19.2190	Inf	Inf
12.3868	19.1157	Inf	Inf
12.3916	19.0134	Inf	Inf
12.3963	18.9112	Inf	Inf
12.4009	18.7095	Inf	Inf
12.4013	18.8097	Inf	Inf
12.4093	18.6087	Inf	Inf
12.4107	18.5076	Inf	Inf
Data End	

