Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 09.02.2023	Time: 15:47:15

Name:	Group 5 YF,JH, DM - Steel
User Comment:	Yoni Fridman, Jude Hill, Diego Mendoza

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.1015	-0.0105	-Inf	-Inf
-0.0672	0.0896	-Inf	Inf
0.0336	0.1251	Inf	Inf
0.1343	0.1596	Inf	Inf
0.2343	0.1607	Inf	Inf
0.3007	0.2604	Inf	Inf
0.3122	0.3605	Inf	Inf
0.3191	0.4609	Inf	Inf
0.3290	0.5590	Inf	Inf
0.3397	0.6587	Inf	Inf
0.3504	0.7569	Inf	Inf
0.3572	0.8573	Inf	Inf
0.3755	0.9573	Inf	Inf
0.3809	1.0566	Inf	Inf
0.3839	1.1567	Inf	Inf
0.3901	1.2567	Inf	Inf
0.3969	1.3568	Inf	Inf
0.4000	1.4560	Inf	Inf
0.4076	1.6677	Inf	Inf
0.4091	1.8083	Inf	Inf
0.4114	2.0132	Inf	Inf
0.4168	2.1118	Inf	Inf
0.4229	2.3137	Inf	Inf
0.4275	2.4130	Inf	Inf
0.4320	2.5123	Inf	Inf
0.4366	2.6108	Inf	Inf
0.4450	2.7109	Inf	Inf
0.4488	2.8124	Inf	Inf
0.4496	3.0118	Inf	Inf
0.4549	3.2115	Inf	Inf
0.4565	3.1107	Inf	Inf
0.4572	3.4123	Inf	Inf
0.4595	3.3123	Inf	Inf
0.4649	3.5131	Inf	Inf
0.4656	3.6143	Inf	Inf
0.4733	3.8338	Inf	Inf
0.4748	3.7147	Inf	Inf
0.4786	4.0410	Inf	Inf
0.4816	4.1493	Inf	Inf
0.4824	4.2625	Inf	Inf
0.4862	4.3858	Inf	Inf
0.4923	4.4899	Inf	Inf
0.4939	4.6106	Inf	Inf
0.4962	4.7189	Inf	Inf
0.5015	4.8211	Inf	Inf
0.5061	4.9485	Inf	Inf
0.5122	5.0669	Inf	Inf
0.5137	5.2933	Inf	Inf
0.5175	5.1670	Inf	Inf
0.5252	5.3918	Inf	Inf
0.5290	5.4922	Inf	Inf
0.5320	5.6934	Inf	Inf
0.5343	5.7923	Inf	Inf
0.5366	5.9917	Inf	Inf
0.5381	5.8931	Inf	Inf
0.5427	6.2941	Inf	Inf
0.5465	6.1925	Inf	Inf
0.5473	6.3948	Inf	Inf
0.5481	6.5957	Inf	Inf
0.5496	6.4953	Inf	Inf
0.5549	6.7965	Inf	Inf
0.5565	6.6965	Inf	Inf
0.5595	6.8951	Inf	Inf
0.5603	6.9951	Inf	Inf
0.5687	7.0948	Inf	Inf
0.5702	7.1937	Inf	Inf
0.5717	7.3938	Inf	Inf
0.5740	7.4931	Inf	Inf
0.5748	7.2937	Inf	Inf
0.5748	7.5927	Inf	Inf
0.5755	7.6924	Inf	Inf
0.5763	7.7928	Inf	Inf
0.5771	7.9922	Inf	Inf
0.5816	7.8932	Inf	Inf
0.5878	8.0914	Inf	Inf
0.5900	8.1911	Inf	Inf
0.5931	8.2908	Inf	Inf
0.5977	8.3901	Inf	Inf
0.6038	8.4901	Inf	Inf
0.6038	8.6913	Inf	Inf
0.6053	8.5909	Inf	Inf
0.6587	8.5875	Inf	Inf
0.7091	8.4867	Inf	Inf
0.7946	8.5875	Inf	Inf
0.8809	8.4852	Inf	Inf
0.9809	8.4905	Inf	Inf
1.0809	8.5096	Inf	Inf
1.1816	8.4294	Inf	Inf
1.1831	8.5295	Inf	Inf
1.2526	8.6280	Inf	Inf
1.3534	8.6231	Inf	Inf
1.3770	8.7251	Inf	Inf
1.4114	8.6250	Inf	Inf
1.4343	8.5231	Inf	Inf
1.4373	8.4212	Inf	Inf
1.4381	8.5212	Inf	Inf
1.4518	8.6228	Inf	Inf
1.4854	8.7239	Inf	Inf
1.4969	8.8258	Inf	Inf
1.5327	8.9251	Inf	Inf
1.5732	9.0252	Inf	Inf
1.6243	9.1245	Inf	Inf
1.6991	9.2241	Inf	Inf
1.7236	9.3249	Inf	Inf
1.7533	9.4246	Inf	Inf
1.8236	9.5246	Inf	Inf
1.8755	9.6243	Inf	Inf
1.9533	9.7251	Inf	Inf
2.0396	9.8251	Inf	Inf
2.0678	9.7236	Inf	Inf
2.0701	9.8236	Inf	Inf
2.0754	9.9233	Inf	Inf
2.1571	10.0237	Inf	Inf
2.2327	10.1234	Inf	Inf
2.3220	10.2238	Inf	Inf
2.3556	10.3246	Inf	Inf
2.4327	10.4254	Inf	Inf
2.5136	10.5258	Inf	Inf
2.6136	10.5768	Inf	Inf
2.6517	10.6757	Inf	Inf
2.7525	10.7495	Inf	Inf
2.8525	10.8334	Inf	Inf
2.9052	10.9335	Inf	Inf
2.9372	10.8316	Inf	Inf
2.9410	10.7300	Inf	Inf
2.9433	10.8274	Inf	Inf
2.9586	10.9365	Inf	Inf
2.9609	10.8346	Inf	Inf
2.9670	10.9361	Inf	Inf
3.0670	11.0268	Inf	Inf
3.1670	11.0687	Inf	Inf
