Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 09.02.2023	Time: 16:18:19

Name:	Wood - Parrallel
User Comment:	Yoni Fridman, Jude Hill, Diego Mendoza

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1004	0.0983	Inf	Inf
0.2002	0.1272	Inf	Inf
0.2710	0.2285	Inf	Inf
0.2921	0.3275	Inf	Inf
0.3051	0.4279	Inf	Inf
0.3181	0.5292	Inf	Inf
0.3231	0.6529	Inf	Inf
0.3340	0.7634	Inf	Inf
0.3415	0.8636	Inf	Inf
0.3425	0.9634	Inf	Inf
0.3497	1.0927	Inf	Inf
0.3527	1.1934	Inf	Inf
0.3631	1.2949	Inf	Inf
0.3662	1.3965	Inf	Inf
0.3743	1.4965	Inf	Inf
0.3776	1.5975	Inf	Inf
0.3918	1.7009	Inf	Inf
0.3998	1.8206	Inf	Inf
0.4093	1.9248	Inf	Inf
0.4136	2.0349	Inf	Inf
0.4274	2.2346	Inf	Inf
0.4287	2.3351	Inf	Inf
0.4348	2.4419	Inf	Inf
0.4376	2.5495	Inf	Inf
0.4445	2.6536	Inf	Inf
0.4456	2.9458	Inf	Inf
0.4457	2.8081	Inf	Inf
0.4554	3.0955	Inf	Inf
0.4597	3.2496	Inf	Inf
0.4677	3.3509	Inf	Inf
0.4736	3.5742	Inf	Inf
0.4781	3.8381	Inf	Inf
0.4843	4.2413	Inf	Inf
0.4862	4.0361	Inf	Inf
0.4907	4.4946	Inf	Inf
0.4912	4.3669	Inf	Inf
0.4948	4.6009	Inf	Inf
0.5037	4.8014	Inf	Inf
0.5043	4.9044	Inf	Inf
0.5047	4.7002	Inf	Inf
0.5087	5.1342	Inf	Inf
0.5094	5.2346	Inf	Inf
0.5105	5.0046	Inf	Inf
0.5124	5.3662	Inf	Inf
0.5133	5.4908	Inf	Inf
0.5176	5.6515	Inf	Inf
0.5236	5.8247	Inf	Inf
0.5354	6.0112	Inf	Inf
0.5369	6.1826	Inf	Inf
0.5427	6.3679	Inf	Inf
0.5502	6.6089	Inf	Inf
0.5543	6.8418	Inf	Inf
0.5591	7.0121	Inf	Inf
0.5659	7.1678	Inf	Inf
0.5732	7.5333	Inf	Inf
0.5737	7.3539	Inf	Inf
0.5810	7.7004	Inf	Inf
0.5903	7.8815	Inf	Inf
0.5941	8.0988	Inf	Inf
0.6035	8.3528	Inf	Inf
0.6069	8.5781	Inf	Inf
0.6154	8.7631	Inf	Inf
0.6265	9.0243	Inf	Inf
0.6287	9.2030	Inf	Inf
0.6425	9.3726	Inf	Inf
0.6455	9.4723	Inf	Inf
0.6561	9.6421	Inf	Inf
0.6640	9.8369	Inf	Inf
0.6763	9.7356	Inf	Inf
0.6846	9.8383	Inf	Inf
0.6864	9.9687	Inf	Inf
0.6884	10.2058	Inf	Inf
0.6927	10.3123	Inf	Inf
0.6987	10.4278	Inf	Inf
0.7114	10.6756	Inf	Inf
0.7133	10.5762	Inf	Inf
0.7221	10.7760	Inf	Inf
0.7247	10.8772	Inf	Inf
0.7346	10.9766	Inf	Inf
0.7397	11.0756	Inf	Inf
0.7416	11.1745	Inf	Inf
0.7484	11.2754	Inf	Inf
0.7598	11.3763	Inf	Inf
0.7736	11.4768	Inf	Inf
0.7837	11.5757	Inf	Inf
0.7961	11.6739	Inf	Inf
0.8049	11.7750	Inf	Inf
0.8214	11.8759	Inf	Inf
0.8459	11.9757	Inf	Inf
0.8540	12.0760	Inf	Inf
0.8682	12.1762	Inf	Inf
0.9002	12.2764	Inf	Inf
0.9218	12.3764	Inf	Inf
0.9305	12.4752	Inf	Inf
0.9496	12.5743	Inf	Inf
0.9861	12.6737	Inf	Inf
1.0233	12.5702	Inf	Inf
1.0286	12.4364	Inf	Inf
1.0336	12.3140	Inf	Inf
1.0367	12.2116	Inf	Inf
1.0444	12.3110	Inf	Inf
1.0537	12.6454	Inf	Inf
1.0621	12.7448	Inf	Inf
