Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 09.02.2023	Time: 16:25:41

Name:	Wood - Perpendicular
User Comment:	Yoni Fridman, Jude HIll, Diego Mendoza

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0190	0.0996	Inf	Inf
0.0726	0.1993	Inf	Inf
0.1103	0.3006	Inf	Inf
0.1468	0.4395	Inf	Inf
0.1904	0.6122	Inf	Inf
0.2358	0.8170	Inf	Inf
0.2919	0.9987	Inf	Inf
0.3098	1.0993	Inf	Inf
0.3277	1.2061	Inf	Inf
0.3546	1.3111	Inf	Inf
0.3936	1.4423	Inf	Inf
0.4284	1.5853	Inf	Inf
0.4667	1.6844	Inf	Inf
0.4867	1.7845	Inf	Inf
0.5128	1.8928	Inf	Inf
0.5550	2.0490	Inf	Inf
0.5922	2.1554	Inf	Inf
0.6431	2.2599	Inf	Inf
0.6667	2.3579	Inf	Inf
0.7308	2.4584	Inf	Inf
0.7725	2.5588	Inf	Inf
0.8510	2.6580	Inf	Inf
0.9409	2.5566	Inf	Inf
1.0160	2.6561	Inf	Inf
1.0881	2.7548	Inf	Inf
1.1165	2.8552	Inf	Inf
1.2132	2.9564	Inf	Inf
1.2960	2.8549	Inf	Inf
1.3560	2.9577	Inf	Inf
1.3981	3.0696	Inf	Inf
1.4979	2.9809	Inf	Inf
1.5975	2.9510	Inf	Inf
1.6722	3.0517	Inf	Inf
1.7727	3.0097	Inf	Inf
1.8494	3.1100	Inf	Inf
1.9492	3.1312	Inf	Inf
2.0492	3.1235	Inf	Inf
2.1492	3.1131	Inf	Inf
2.2486	3.1069	Inf	Inf
2.3485	3.1293	Inf	Inf
2.4486	3.1902	Inf	Inf
2.5489	3.1721	Inf	Inf
2.6489	3.1536	Inf	Inf
2.7495	3.2384	Inf	Inf
2.8494	3.3273	Inf	Inf
2.9493	3.3211	Inf	Inf
3.0498	3.3015	Inf	Inf
3.1497	3.2517	Inf	Inf
3.2499	3.3098	Inf	Inf
3.3500	3.3293	Inf	Inf
3.4495	3.2565	Inf	Inf
3.4928	3.3561	Inf	Inf
3.5500	3.4967	Inf	Inf
3.6496	3.4289	Inf	Inf
3.7494	3.4506	Inf	Inf
3.8491	3.4481	Inf	Inf
3.9486	3.4630	Inf	Inf
4.0486	3.5154	Inf	Inf
4.1488	3.5052	Inf	Inf
4.2294	3.6056	Inf	Inf
4.3287	3.6569	Inf	Inf
4.4291	3.6083	Inf	Inf
4.5295	3.6309	Inf	Inf
4.6081	3.7311	Inf	Inf
4.7081	3.7351	Inf	Inf
4.8087	3.6963	Inf	Inf
4.9087	3.7721	Inf	Inf
4.9830	3.8735	Inf	Inf
5.0840	3.8391	Inf	Inf
5.1411	3.7374	Inf	Inf
5.2411	3.8187	Inf	Inf
5.3408	3.8409	Inf	Inf
5.4408	3.8255	Inf	Inf
5.5082	3.9237	Inf	Inf
5.5497	4.0241	Inf	Inf
5.6418	3.9201	Inf	Inf
5.7358	4.0208	Inf	Inf
5.8358	4.0433	Inf	Inf
5.9362	4.1071	Inf	Inf
5.9863	4.0044	Inf	Inf
