Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 12:18:57

Name:	Wood perpendicular
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0292	0.0999	Inf	Inf
0.0563	0.2000	Inf	Inf
0.0925	0.3104	Inf	Inf
0.1385	0.5032	Inf	Inf
0.1946	0.6836	Inf	Inf
0.2315	0.7845	Inf	Inf
0.2679	0.8902	Inf	Inf
0.3260	1.0534	Inf	Inf
0.3765	1.1541	Inf	Inf
0.4298	1.2552	Inf	Inf
0.4882	1.3562	Inf	Inf
0.5596	1.4548	Inf	Inf
0.6449	1.5559	Inf	Inf
0.7461	1.6429	Inf	Inf
0.8464	1.6882	Inf	Inf
0.9462	1.7636	Inf	Inf
1.0451	1.8037	Inf	Inf
1.1453	1.8833	Inf	Inf
1.2453	1.9218	Inf	Inf
1.3453	1.9618	Inf	Inf
1.4454	1.9345	Inf	Inf
1.5455	1.9904	Inf	Inf
1.6451	2.0730	Inf	Inf
1.7452	2.0909	Inf	Inf
1.8453	2.1589	Inf	Inf
1.9442	2.1688	Inf	Inf
2.0443	2.0776	Inf	Inf
2.0916	2.1792	Inf	Inf
2.1917	2.2584	Inf	Inf
2.2918	2.2681	Inf	Inf
2.3483	2.1671	Inf	Inf
2.4029	2.2676	Inf	Inf
2.5034	2.3426	Inf	Inf
2.6035	2.3772	Inf	Inf
2.7020	2.4187	Inf	Inf
2.8017	2.4291	Inf	Inf
2.9017	2.4372	Inf	Inf
3.0025	2.4458	Inf	Inf
3.1017	2.4944	Inf	Inf
3.2018	2.5208	Inf	Inf
3.3023	2.5510	Inf	Inf
3.4013	2.6013	Inf	Inf
3.5009	2.5565	Inf	Inf
3.6013	2.6170	Inf	Inf
3.7018	2.5714	Inf	Inf
3.7493	2.4694	Inf	Inf
3.8093	2.5713	Inf	Inf
3.8507	2.6777	Inf	Inf
3.9514	2.7621	Inf	Inf
4.0516	2.6451	Inf	Inf
4.0902	2.7449	Inf	Inf
4.1902	2.7682	Inf	Inf
4.2896	2.7918	Inf	Inf
4.3891	2.7496	Inf	Inf
4.4601	2.6487	Inf	Inf
4.5134	2.7496	Inf	Inf
4.5583	2.8498	Inf	Inf
4.6164	2.9493	Inf	Inf
4.7164	2.9702	Inf	Inf
4.8167	3.0001	Inf	Inf
4.9170	2.9946	Inf	Inf
5.0160	2.9940	Inf	Inf
5.0887	2.8915	Inf	Inf
5.1069	2.7905	Inf	Inf
5.1408	2.8928	Inf	Inf
5.1953	2.9935	Inf	Inf
5.2512	3.0939	Inf	Inf
5.3538	3.1424	Inf	Inf
5.4527	3.1704	Inf	Inf
5.5516	3.1875	Inf	Inf
5.6523	3.1673	Inf	Inf
5.7526	3.1302	Inf	Inf
5.8521	3.1063	Inf	Inf
5.9181	3.2075	Inf	Inf
5.9908	3.3070	Inf	Inf
6.0895	3.3592	Inf	Inf
6.1888	3.3664	Inf	Inf
6.2882	3.4131	Inf	Inf
6.3875	3.3809	Inf	Inf
6.4871	3.4412	Inf	Inf
6.5440	3.3379	Inf	Inf
6.5547	3.2288	Inf	Inf
6.5585	3.0694	Inf	Inf
6.5683	2.9688	Inf	Inf
6.5993	3.0701	Inf	Inf
6.6234	3.2262	Inf	Inf
6.7023	3.5000	Inf	Inf
6.7970	3.5995	Inf	Inf
6.8960	3.5796	Inf	Inf
6.9964	3.6427	Inf	Inf
7.0770	3.5409	Inf	Inf
7.0868	3.4369	Inf	Inf
7.0957	3.2991	Inf	Inf
7.1317	3.3998	Inf	Inf
7.1932	3.6831	Inf	Inf
7.2515	3.7796	Inf	Inf
7.3513	3.8329	Inf	Inf
7.4152	3.7272	Inf	Inf
7.4241	3.6235	Inf	Inf
7.4931	3.4185	Inf	Inf
7.4963	3.5206	Inf	Inf
7.5194	3.5156	Inf	Inf
7.5801	3.8860	Inf	Inf
7.6290	3.9881	Inf	Inf
7.7289	4.0610	Inf	Inf
7.8138	4.1595	Inf	Inf
7.9137	4.1034	Inf	Inf
8.0011	4.2034	Inf	Inf
8.1024	4.2466	Inf	Inf
8.2024	4.3061	Inf	Inf
8.2358	4.1975	Inf	Inf
8.3291	4.2951	Inf	Inf
8.3497	4.3982	Inf	Inf
8.4380	4.4973	Inf	Inf
8.5009	4.5975	Inf	Inf
8.6013	4.6283	Inf	Inf
8.7010	4.6550	Inf	Inf
8.8005	4.5513	Inf	Inf
8.8107	4.4425	Inf	Inf
8.8320	4.2133	Inf	Inf
8.8387	4.0718	Inf	Inf
8.8601	4.1786	Inf	Inf
8.8708	4.2817	Inf	Inf
8.9619	4.8767	Inf	Inf
9.0613	4.9510	Inf	Inf
9.1605	5.0420	Inf	Inf
9.2601	5.0622	Inf	Inf
9.3309	5.1587	Inf	Inf
9.4305	5.2140	Inf	Inf
9.4687	5.3146	Inf	Inf
9.5692	5.2997	Inf	Inf
9.5988	5.3992	Inf	Inf
9.6739	5.5629	Inf	Inf
9.7727	5.6235	Inf	Inf
9.8186	5.7248	Inf	Inf
9.9008	5.6150	Inf	Inf
9.9187	5.3791	Inf	Inf
9.9367	5.1167	Inf	Inf
9.9515	4.9955	Inf	Inf
9.9581	5.0863	Inf	Inf
10.0393	5.9348	Inf	Inf
10.0620	6.0402	Inf	Inf
10.1412	6.1968	Inf	Inf
10.2061	6.2950	Inf	Inf
10.2535	6.3951	Inf	Inf
10.3215	6.4967	Inf	Inf
10.3632	6.5970	Inf	Inf
10.4093	6.2766	Inf	Inf
10.4147	6.0021	Inf	Inf
10.4409	6.0935	Inf	Inf
10.4679	6.5258	Inf	Inf
10.5428	7.0812	Inf	Inf
10.5934	7.1739	Inf	Inf
10.6441	7.0598	Inf	Inf
10.6604	6.7001	Inf	Inf
10.6759	6.5062	Inf	Inf
10.6915	6.6118	Inf	Inf
10.7666	7.4475	Inf	Inf
10.7938	7.5710	Inf	Inf
10.8341	7.7868	Inf	Inf
10.8949	7.9937	Inf	Inf
10.9282	8.0944	Inf	Inf
10.9934	8.3354	Inf	Inf
11.0282	8.5144	Inf	Inf
11.0895	8.7211	Inf	Inf
11.1312	8.8621	Inf	Inf
11.1551	8.4802	Inf	Inf
11.1891	8.1069	Inf	Inf
11.2077	8.1979	Inf	Inf
11.2275	8.5219	Inf	Inf
11.2616	9.4793	Inf	Inf
11.2799	8.9485	Inf	Inf
11.2832	8.6943	Inf	Inf
11.3070	8.7956	Inf	Inf
11.3452	9.8119	Inf	Inf
11.4087	10.6014	Inf	Inf
11.4369	10.8267	Inf	Inf
11.5097	11.0391	Inf	Inf
11.5376	11.1667	Inf	Inf
11.6110	11.5581	Inf	Inf
11.6293	11.4441	Inf	Inf
11.6519	10.9003	Inf	Inf
11.6700	10.5904	Inf	Inf
11.6843	10.7027	Inf	Inf
11.7476	12.1646	Inf	Inf
11.7855	12.7378	Inf	Inf
11.8494	13.4533	Inf	Inf
11.8634	13.5524	Inf	Inf
11.9282	13.9420	Inf	Inf
11.9641	14.2491	Inf	Inf
12.0204	14.5782	Inf	Inf
12.0444	14.8851	Inf	Inf
12.0681	14.4832	Inf	Inf
12.0816	14.2145	Inf	Inf
12.0872	14.0178	Inf	Inf
12.0994	14.1190	Inf	Inf
12.1224	15.2118	Inf	Inf
12.1608	16.3127	Inf	Inf
12.1870	16.9289	Inf	Inf
12.2317	17.5280	Inf	Inf
12.2614	18.2539	Inf	Inf
12.2847	17.8950	Inf	Inf
12.2982	17.6016	Inf	Inf
12.3094	17.3724	Inf	Inf
12.3145	17.2012	Inf	Inf
12.3177	17.0676	Inf	Inf
12.3278	17.1718	Inf	Inf
12.3296	17.3722	Inf	Inf
12.3655	18.3762	Inf	Inf
12.3805	19.3152	Inf	Inf
12.4037	20.6249	Inf	Inf
12.4166	20.8175	Inf	Inf
12.4294	20.4920	Inf	Inf
12.4427	20.2703	Inf	Inf
12.4454	20.1065	Inf	Inf
12.4622	19.9570	Inf	Inf
12.4632	19.8337	Inf	Inf
12.4681	19.7322	Inf	Inf
12.4808	19.7405	Inf	Inf
12.4819	19.6310	Inf	Inf
12.4937	20.4367	Inf	Inf
12.5055	21.0964	Inf	Inf
12.5159	21.9762	Inf	Inf
12.5276	21.8116	Inf	Inf
12.5311	21.6597	Inf	Inf
12.5389	21.4040	Inf	Inf
12.5429	21.5205	Inf	Inf
12.5525	21.2940	Inf	Inf
12.5579	21.1939	Inf	Inf
12.5582	21.0916	Inf	Inf
12.5674	20.8884	Inf	Inf
12.5690	20.9903	Inf	Inf
12.5707	20.6842	Inf	Inf
12.5771	20.7860	Inf	Inf
12.5775	20.5830	Inf	Inf
12.5814	20.4817	Inf	Inf
12.5886	20.3804	Inf	Inf
12.5943	20.1772	Inf	Inf
12.5956	20.2785	Inf	Inf
12.6069	20.0759	Inf	Inf
12.6090	19.8743	Inf	Inf
12.6103	19.9746	Inf	Inf
12.6162	19.8761	Inf	Inf
12.6190	20.8096	Inf	Inf
12.6214	19.7727	Inf	Inf
12.6448	21.9822	Inf	Inf
12.7450	21.9863	Inf	Inf
12.8452	21.9837	Inf	Inf
Data End	

