Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 12:14:53

Name:	Wood w the grain
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0995	0.0248	Inf	Inf
0.1623	0.1234	Inf	Inf
0.1749	0.2235	Inf	Inf
0.1889	0.3231	Inf	Inf
0.1997	0.4222	Inf	Inf
0.2042	0.5233	Inf	Inf
0.2090	0.6219	Inf	Inf
0.2177	0.7330	Inf	Inf
0.2198	0.8572	Inf	Inf
0.2319	0.9651	Inf	Inf
0.2404	1.1188	Inf	Inf
0.2437	1.3063	Inf	Inf
0.2524	1.5850	Inf	Inf
0.2629	1.8081	Inf	Inf
0.2815	2.0837	Inf	Inf
0.2951	2.4856	Inf	Inf
0.3016	2.5817	Inf	Inf
0.3134	2.9714	Inf	Inf
0.3383	3.4783	Inf	Inf
0.3532	3.6883	Inf	Inf
0.3652	3.9391	Inf	Inf
0.3898	4.2544	Inf	Inf
0.4054	4.5209	Inf	Inf
0.4135	4.8394	Inf	Inf
0.4220	5.1730	Inf	Inf
0.4416	5.4557	Inf	Inf
0.4594	5.8528	Inf	Inf
0.4812	6.3636	Inf	Inf
0.4988	6.2606	Inf	Inf
0.5072	6.3563	Inf	Inf
0.5207	6.6350	Inf	Inf
0.5351	7.1310	Inf	Inf
0.5527	7.4401	Inf	Inf
0.5672	7.6984	Inf	Inf
0.5804	7.9193	Inf	Inf
0.5950	8.1249	Inf	Inf
0.6136	8.2854	Inf	Inf
0.6261	8.4368	Inf	Inf
0.6301	8.3011	Inf	Inf
0.6320	8.1970	Inf	Inf
0.6331	8.0959	Inf	Inf
0.6362	8.1968	Inf	Inf
0.6461	8.6501	Inf	Inf
0.6633	9.1142	Inf	Inf
0.6847	9.4224	Inf	Inf
0.7025	9.6830	Inf	Inf
0.7381	9.9481	Inf	Inf
0.7690	10.2037	Inf	Inf
0.7969	10.3344	Inf	Inf
0.8251	10.4972	Inf	Inf
0.8539	10.7237	Inf	Inf
0.8909	10.5991	Inf	Inf
0.8993	10.3228	Inf	Inf
0.9020	10.0706	Inf	Inf
0.9042	10.1741	Inf	Inf
0.9105	9.9669	Inf	Inf
0.9164	10.0706	Inf	Inf
0.9283	10.9554	Inf	Inf
0.9734	11.4983	Inf	Inf
1.0295	11.3936	Inf	Inf
1.0540	11.2881	Inf	Inf
1.0716	11.0216	Inf	Inf
1.0731	10.7200	Inf	Inf
1.0902	10.8193	Inf	Inf
1.0978	10.9157	Inf	Inf
1.1121	11.1940	Inf	Inf
1.1472	11.3890	Inf	Inf
1.2095	11.2763	Inf	Inf
1.2099	11.1666	Inf	Inf
1.2167	10.8442	Inf	Inf
1.2252	10.5257	Inf	Inf
1.2281	10.6605	Inf	Inf
1.2332	10.4236	Inf	Inf
1.2373	10.5244	Inf	Inf
1.2434	10.8693	Inf	Inf
1.2809	11.6444	Inf	Inf
1.3577	11.5362	Inf	Inf
1.3737	11.3356	Inf	Inf
1.4016	11.2311	Inf	Inf
1.4234	11.1244	Inf	Inf
1.4856	11.2251	Inf	Inf
1.4941	11.1152	Inf	Inf
1.5096	10.7908	Inf	Inf
1.5123	10.5581	Inf	Inf
1.5189	10.4127	Inf	Inf
1.5345	10.5055	Inf	Inf
1.5738	11.5183	Inf	Inf
1.6736	11.4160	Inf	Inf
1.7045	11.3079	Inf	Inf
1.7454	11.2056	Inf	Inf
1.7996	11.0649	Inf	Inf
1.8470	10.9589	Inf	Inf
1.8825	10.8559	Inf	Inf
1.9065	10.6060	Inf	Inf
1.9203	10.1726	Inf	Inf
1.9356	9.9543	Inf	Inf
1.9589	10.0535	Inf	Inf
1.9936	10.9832	Inf	Inf
2.0735	10.8792	Inf	Inf
2.1067	10.7774	Inf	Inf
2.1739	10.5820	Inf	Inf
2.2102	10.4023	Inf	Inf
2.2790	10.0978	Inf	Inf
2.2965	9.9804	Inf	Inf
2.3810	9.3641	Inf	Inf
2.3886	9.2512	Inf	Inf
2.4188	8.6132	Inf	Inf
2.4359	8.3349	Inf	Inf
2.4485	8.1561	Inf	Inf
2.4554	8.2537	Inf	Inf
2.5089	9.1022	Inf	Inf
2.5738	8.9890	Inf	Inf
2.6135	8.7539	Inf	Inf
2.6361	8.6333	Inf	Inf
2.7186	8.2077	Inf	Inf
2.7487	8.1060	Inf	Inf
2.8225	7.9639	Inf	Inf
2.8446	7.8544	Inf	Inf
2.8671	7.4036	Inf	Inf
2.8763	7.1933	Inf	Inf
2.8981	7.3024	Inf	Inf
2.9787	8.3743	Inf	Inf
3.0657	8.2668	Inf	Inf
3.0902	8.1621	Inf	Inf
3.1540	8.0602	Inf	Inf
3.1953	7.9564	Inf	Inf
3.2121	7.8524	Inf	Inf
3.2274	7.5262	Inf	Inf
3.2358	7.3172	Inf	Inf
3.2472	7.4089	Inf	Inf
3.2518	7.5057	Inf	Inf
3.3506	8.6582	Inf	Inf
3.4508	8.5809	Inf	Inf
3.5504	8.4889	Inf	Inf
3.6134	8.5908	Inf	Inf
3.6511	8.3818	Inf	Inf
3.6892	7.7072	Inf	Inf
3.6927	7.4852	Inf	Inf
3.6977	7.5959	Inf	Inf
3.7967	8.9241	Inf	Inf
3.8982	8.8859	Inf	Inf
3.9973	8.8605	Inf	Inf
4.0971	8.7350	Inf	Inf
4.1979	8.7988	Inf	Inf
4.2980	8.8929	Inf	Inf
4.3403	8.7832	Inf	Inf
4.3537	8.3159	Inf	Inf
4.3653	7.9322	Inf	Inf
4.3726	7.7658	Inf	Inf
4.4032	7.8693	Inf	Inf
4.4221	8.3284	Inf	Inf
4.4672	8.7780	Inf	Inf
4.5214	8.9513	Inf	Inf
4.5696	9.1657	Inf	Inf
4.5810	9.0435	Inf	Inf
4.6397	8.9291	Inf	Inf
4.7049	8.8241	Inf	Inf
4.7178	8.5181	Inf	Inf
4.7437	8.6152	Inf	Inf
4.8206	9.2581	Inf	Inf
4.9209	9.1995	Inf	Inf
4.9541	9.3011	Inf	Inf
4.9981	9.1751	Inf	Inf
5.0318	8.3512	Inf	Inf
5.0325	8.6313	Inf	Inf
5.0375	8.1842	Inf	Inf
5.0478	8.2818	Inf	Inf
5.0739	8.8949	Inf	Inf
5.1407	9.4978	Inf	Inf
5.1753	9.2560	Inf	Inf
5.2035	9.1548	Inf	Inf
5.2443	9.0493	Inf	Inf
5.2608	8.8279	Inf	Inf
5.2856	8.9334	Inf	Inf
5.3063	9.2754	Inf	Inf
5.3731	9.5735	Inf	Inf
5.4104	9.6757	Inf	Inf
5.5109	9.4625	Inf	Inf
5.5393	9.5641	Inf	Inf
5.6399	9.5668	Inf	Inf
5.7022	9.4571	Inf	Inf
5.7122	9.0334	Inf	Inf
5.7295	8.6581	Inf	Inf
5.7374	8.4596	Inf	Inf
5.7614	8.5630	Inf	Inf
5.7683	8.6688	Inf	Inf
5.7974	9.3339	Inf	Inf
5.8448	9.5626	Inf	Inf
5.8988	9.7353	Inf	Inf
5.9122	9.4845	Inf	Inf
5.9343	9.0032	Inf	Inf
5.9519	9.1040	Inf	Inf
5.9987	9.6103	Inf	Inf
6.0557	9.7295	Inf	Inf
6.1328	9.6269	Inf	Inf
6.2335	9.6851	Inf	Inf
6.3116	9.5791	Inf	Inf
6.3331	9.2983	Inf	Inf
6.3401	9.1905	Inf	Inf
6.3585	8.6528	Inf	Inf
6.3589	8.8618	Inf	Inf
6.3619	8.5131	Inf	Inf
6.3720	8.6147	Inf	Inf
6.4089	9.2532	Inf	Inf
