Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 11:01:51

Name:	Compressive timber normal
User Comment:	Eva,Max,Ewan,Lin

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0272	0.0996	Inf	Inf
0.0583	0.1996	Inf	Inf
0.0827	0.2996	Inf	Inf
0.1151	0.3984	Inf	Inf
0.1344	0.4993	Inf	Inf
0.1657	0.5995	Inf	Inf
0.1886	0.6999	Inf	Inf
0.2130	0.8112	Inf	Inf
0.2433	0.9118	Inf	Inf
0.2666	1.0124	Inf	Inf
0.2935	1.1124	Inf	Inf
0.3177	1.2131	Inf	Inf
0.3490	1.3133	Inf	Inf
0.3881	1.4127	Inf	Inf
0.4268	1.5125	Inf	Inf
0.4575	1.6130	Inf	Inf
0.5475	1.7135	Inf	Inf
0.6476	1.7873	Inf	Inf
0.7035	1.8874	Inf	Inf
0.8035	1.9239	Inf	Inf
0.8827	2.0249	Inf	Inf
0.9831	1.9719	Inf	Inf
1.0823	2.0388	Inf	Inf
1.1824	2.0459	Inf	Inf
1.2826	2.1291	Inf	Inf
1.3823	2.1179	Inf	Inf
1.4351	2.2173	Inf	Inf
1.5351	2.1470	Inf	Inf
1.5902	2.2472	Inf	Inf
1.6101	2.3471	Inf	Inf
1.7101	2.4073	Inf	Inf
1.8100	2.3722	Inf	Inf
1.9099	2.4228	Inf	Inf
2.0027	2.5220	Inf	Inf
2.1029	2.5839	Inf	Inf
2.1467	2.6841	Inf	Inf
2.2379	2.5820	Inf	Inf
2.3164	2.6817	Inf	Inf
2.4162	2.6959	Inf	Inf
2.5156	2.7626	Inf	Inf
2.6154	2.8371	Inf	Inf
2.7151	2.9024	Inf	Inf
2.8151	2.9694	Inf	Inf
2.9155	2.9786	Inf	Inf
3.0137	3.0793	Inf	Inf
3.0612	2.9789	Inf	Inf
3.1352	3.0788	Inf	Inf
3.2317	3.1793	Inf	Inf
3.3315	3.1678	Inf	Inf
3.3665	3.2678	Inf	Inf
3.4670	3.3670	Inf	Inf
3.5667	3.3643	Inf	Inf
3.6237	3.4640	Inf	Inf
3.6523	3.5641	Inf	Inf
3.7519	3.6603	Inf	Inf
3.8515	3.7042	Inf	Inf
3.9506	3.7372	Inf	Inf
4.0506	3.7974	Inf	Inf
4.1235	3.8974	Inf	Inf
4.1853	3.9971	Inf	Inf
4.2853	3.9651	Inf	Inf
4.3114	4.0642	Inf	Inf
4.3435	4.1642	Inf	Inf
4.4068	4.2653	Inf	Inf
4.5068	4.2471	Inf	Inf
4.5262	4.3469	Inf	Inf
4.6207	4.4474	Inf	Inf
4.6759	4.5479	Inf	Inf
4.7758	4.6084	Inf	Inf
4.8348	4.7082	Inf	Inf
4.9347	4.7492	Inf	Inf
4.9850	4.8498	Inf	Inf
5.0522	4.9499	Inf	Inf
5.1508	5.0489	Inf	Inf
5.2235	5.1483	Inf	Inf
5.2461	5.0450	Inf	Inf
5.2859	5.1449	Inf	Inf
5.3039	5.2450	Inf	Inf
5.3682	5.3450	Inf	Inf
5.4075	5.4456	Inf	Inf
5.4622	5.5459	Inf	Inf
5.5621	5.5209	Inf	Inf
5.5820	5.6203	Inf	Inf
5.6657	5.7208	Inf	Inf
5.7256	5.8204	Inf	Inf
5.8206	5.9206	Inf	Inf
5.9009	6.0197	Inf	Inf
5.9135	5.9160	Inf	Inf
5.9387	6.0166	Inf	Inf
5.9647	6.1174	Inf	Inf
6.0649	6.1889	Inf	Inf
6.1444	6.2883	Inf	Inf
6.1850	6.3872	Inf	Inf
6.2856	6.4313	Inf	Inf
6.3850	6.5022	Inf	Inf
6.4110	6.6017	Inf	Inf
6.4726	6.6994	Inf	Inf
6.5055	6.8003	Inf	Inf
6.5246	6.8995	Inf	Inf
6.5716	6.9994	Inf	Inf
6.6714	7.0942	Inf	Inf
6.7139	7.1948	Inf	Inf
6.8141	7.2444	Inf	Inf
6.9139	7.3012	Inf	Inf
6.9403	7.4012	Inf	Inf
6.9414	7.5029	Inf	Inf
6.9631	7.6893	Inf	Inf
6.9819	7.4210	Inf	Inf
7.0823	7.4227	Inf	Inf
7.1031	7.5233	Inf	Inf
7.1260	7.6240	Inf	Inf
7.1383	7.7895	Inf	Inf
7.2387	7.7398	Inf	Inf
7.2683	7.8394	Inf	Inf
7.3379	7.9415	Inf	Inf
7.3636	7.8370	Inf	Inf
7.3751	7.9353	Inf	Inf
7.4032	8.2163	Inf	Inf
7.4308	8.3669	Inf	Inf
7.4594	8.6341	Inf	Inf
7.4744	8.3630	Inf	Inf
7.5009	8.5242	Inf	Inf
7.5197	8.2905	Inf	Inf
7.5595	8.3885	Inf	Inf
7.6050	8.4923	Inf	Inf
7.6223	8.6292	Inf	Inf
7.6436	8.8353	Inf	Inf
7.6957	8.9337	Inf	Inf
7.7004	9.0336	Inf	Inf
7.7865	9.1345	Inf	Inf
7.8210	9.0297	Inf	Inf
7.8292	8.7901	Inf	Inf
7.8380	8.6222	Inf	Inf
7.8647	8.7211	Inf	Inf
7.8800	8.8849	Inf	Inf
7.8961	9.0377	Inf	Inf
7.9130	9.1354	Inf	Inf
7.9778	9.0339	Inf	Inf
7.9959	9.1336	Inf	Inf
7.9976	9.2339	Inf	Inf
8.0194	9.3313	Inf	Inf
8.0299	9.4341	Inf	Inf
8.1014	9.5346	Inf	Inf
8.1714	9.6339	Inf	Inf
8.2085	9.7340	Inf	Inf
8.2212	10.0559	Inf	Inf
8.2494	10.1536	Inf	Inf
8.2590	10.2887	Inf	Inf
8.2739	10.0822	Inf	Inf
8.2900	10.1790	Inf	Inf
8.3223	10.2790	Inf	Inf
8.3556	10.3806	Inf	Inf
8.3970	10.2786	Inf	Inf
8.4013	10.1548	Inf	Inf
8.4131	10.0296	Inf	Inf
8.4232	10.1284	Inf	Inf
8.4307	10.0258	Inf	Inf
8.4372	9.9224	Inf	Inf
8.4447	9.8210	Inf	Inf
8.4500	9.6178	Inf	Inf
8.4532	9.7197	Inf	Inf
8.4665	9.7213	Inf	Inf
8.4738	9.8804	Inf	Inf
8.4790	10.0814	Inf	Inf
8.4932	10.3070	Inf	Inf
8.5096	10.5133	Inf	Inf
8.5149	10.6240	Inf	Inf
8.5288	10.7915	Inf	Inf
8.5439	10.8928	Inf	Inf
8.5521	11.0146	Inf	Inf
8.5679	11.2331	Inf	Inf
8.5875	11.4492	Inf	Inf
8.6091	11.2288	Inf	Inf
8.6106	11.3463	Inf	Inf
8.6329	11.3289	Inf	Inf
8.6546	11.4614	Inf	Inf
8.6806	11.5613	Inf	Inf
8.6840	11.6642	Inf	Inf
8.7397	11.7621	Inf	Inf
8.7511	11.6606	Inf	Inf
8.7725	11.5452	Inf	Inf
8.7750	11.6437	Inf	Inf
8.7972	11.7446	Inf	Inf
8.8116	11.8447	Inf	Inf
8.8473	11.9437	Inf	Inf
8.8701	12.0389	Inf	Inf
8.8826	12.3040	Inf	Inf
8.8905	12.4454	Inf	Inf
8.9084	12.5552	Inf	Inf
8.9381	12.6554	Inf	Inf
8.9480	12.7977	Inf	Inf
8.9538	12.6532	Inf	Inf
8.9584	12.4925	Inf	Inf
8.9681	12.3623	Inf	Inf
8.9699	12.2478	Inf	Inf
8.9903	12.3481	Inf	Inf
9.0002	12.4731	Inf	Inf
9.0092	12.5816	Inf	Inf
9.0235	12.6816	Inf	Inf
9.0317	12.8453	Inf	Inf
9.0461	13.0634	Inf	Inf
9.1126	13.1631	Inf	Inf
9.1189	13.2616	Inf	Inf
9.1218	13.3626	Inf	Inf
9.1231	13.4631	Inf	Inf
9.1396	13.5622	Inf	Inf
9.1473	13.8565	Inf	Inf
9.1646	14.0104	Inf	Inf
9.1733	14.1129	Inf	Inf
9.1882	14.2387	Inf	Inf
9.1983	14.3747	Inf	Inf
9.2075	14.1779	Inf	Inf
9.2197	14.0090	Inf	Inf
9.2208	13.7489	Inf	Inf
9.2254	13.8655	Inf	Inf
9.2337	13.6440	Inf	Inf
9.2345	13.5419	Inf	Inf
9.2501	13.7416	Inf	Inf
9.2503	13.6433	Inf	Inf
9.2626	13.9046	Inf	Inf
9.2656	14.0762	Inf	Inf
9.2693	14.2516	Inf	Inf
9.2855	14.5984	Inf	Inf
9.3049	14.7018	Inf	Inf
9.3144	14.8401	Inf	Inf
9.3549	14.9413	Inf	Inf
9.3698	15.0408	Inf	Inf
9.3788	15.1429	Inf	Inf
9.3889	15.2428	Inf	Inf
9.3966	15.3424	Inf	Inf
9.4026	15.4409	Inf	Inf
9.4105	15.5823	Inf	Inf
9.4346	15.6834	Inf	Inf
9.4553	15.9413	Inf	Inf
9.4644	16.0503	Inf	Inf
9.4683	15.8061	Inf	Inf
9.4728	15.6208	Inf	Inf
9.4819	15.4742	Inf	Inf
9.4840	15.3328	Inf	Inf
9.4961	15.2173	Inf	Inf
9.4975	15.1024	Inf	Inf
9.5022	15.0009	Inf	Inf
9.5057	14.8989	Inf	Inf
9.5187	14.7972	Inf	Inf
9.5242	14.6957	Inf	Inf
Data End	

