Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 10:56:50

Name:	Compressive timber parallel
User Comment:	Eva,Max,Ewan,Lin

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0998	0.0457	Inf	Inf
0.1999	0.0605	Inf	Inf
0.2914	0.1607	Inf	Inf
0.3129	0.2614	Inf	Inf
0.3329	0.3619	Inf	Inf
0.3491	0.4608	Inf	Inf
0.3605	0.5599	Inf	Inf
0.3660	0.6600	Inf	Inf
0.3754	0.7595	Inf	Inf
0.3842	0.8599	Inf	Inf
0.3901	0.9595	Inf	Inf
0.4036	1.0595	Inf	Inf
0.4175	1.1592	Inf	Inf
0.4226	1.2592	Inf	Inf
0.4284	1.3595	Inf	Inf
0.4301	1.4599	Inf	Inf
0.4396	1.5598	Inf	Inf
0.4399	1.6593	Inf	Inf
0.4507	1.7591	Inf	Inf
0.4530	1.8593	Inf	Inf
0.4639	1.9590	Inf	Inf
0.4677	2.0589	Inf	Inf
0.4691	2.1596	Inf	Inf
0.4694	2.2600	Inf	Inf
0.4746	2.3596	Inf	Inf
0.4808	2.4602	Inf	Inf
0.4824	2.6609	Inf	Inf
0.4848	2.5602	Inf	Inf
0.4938	2.7605	Inf	Inf
0.5023	2.9614	Inf	Inf
0.5031	2.8614	Inf	Inf
0.5075	3.0616	Inf	Inf
0.5099	3.2619	Inf	Inf
0.5105	3.1620	Inf	Inf
0.5171	3.3616	Inf	Inf
0.5299	3.4612	Inf	Inf
0.5364	3.5613	Inf	Inf
0.5431	3.6610	Inf	Inf
0.5533	3.7614	Inf	Inf
0.5546	3.8617	Inf	Inf
0.5560	3.9623	Inf	Inf
0.5614	4.0614	Inf	Inf
0.5624	4.1616	Inf	Inf
0.5751	4.2614	Inf	Inf
0.5798	4.3616	Inf	Inf
0.5908	4.4616	Inf	Inf
0.5946	4.5632	Inf	Inf
0.6007	4.6641	Inf	Inf
0.6140	4.7637	Inf	Inf
0.6224	4.8640	Inf	Inf
0.6299	4.9643	Inf	Inf
0.6377	5.0637	Inf	Inf
0.6458	5.1643	Inf	Inf
0.6585	5.2650	Inf	Inf
0.6647	5.3645	Inf	Inf
0.6811	5.4654	Inf	Inf
0.6879	5.5648	Inf	Inf
0.6970	5.6650	Inf	Inf
0.7093	5.7638	Inf	Inf
0.7158	5.8650	Inf	Inf
0.7224	5.9647	Inf	Inf
0.7386	5.9632	Inf	Inf
0.7401	5.8626	Inf	Inf
0.7462	6.0639	Inf	Inf
0.7575	6.1632	Inf	Inf
0.7649	6.2641	Inf	Inf
0.7838	6.3651	Inf	Inf
0.7965	6.4659	Inf	Inf
0.8067	6.5655	Inf	Inf
0.8229	6.6662	Inf	Inf
0.8357	6.7660	Inf	Inf
0.8445	6.8662	Inf	Inf
0.8524	6.9672	Inf	Inf
0.8744	7.0681	Inf	Inf
0.8874	6.9668	Inf	Inf
0.8924	7.0670	Inf	Inf
0.8988	7.1659	Inf	Inf
0.9044	7.2657	Inf	Inf
0.9111	7.3654	Inf	Inf
0.9165	7.4648	Inf	Inf
0.9632	7.5647	Inf	Inf
0.9716	7.6639	Inf	Inf
0.9900	7.7629	Inf	Inf
1.0063	7.8637	Inf	Inf
1.0146	7.9636	Inf	Inf
1.0358	8.0636	Inf	Inf
1.0839	8.1628	Inf	Inf
1.0943	8.2617	Inf	Inf
1.1138	8.1599	Inf	Inf
1.1198	8.0595	Inf	Inf
1.1293	8.1605	Inf	Inf
1.1318	8.2623	Inf	Inf
1.1353	8.3619	Inf	Inf
1.1451	8.4622	Inf	Inf
1.1738	8.5624	Inf	Inf
1.2000	8.6623	Inf	Inf
1.2159	8.7600	Inf	Inf
1.2387	8.6585	Inf	Inf
1.2586	8.7584	Inf	Inf
1.2953	8.8588	Inf	Inf
1.3026	8.9581	Inf	Inf
1.3457	9.0571	Inf	Inf
1.3832	9.1579	Inf	Inf
1.4132	9.2581	Inf	Inf
1.4411	9.3584	Inf	Inf
1.4507	9.2567	Inf	Inf
1.4524	9.1530	Inf	Inf
1.4611	9.0520	Inf	Inf
1.4736	9.1511	Inf	Inf
1.4784	9.2497	Inf	Inf
1.4820	9.3501	Inf	Inf
1.5035	9.4492	Inf	Inf
1.5481	9.3485	Inf	Inf
1.5518	9.2459	Inf	Inf
1.5594	9.1439	Inf	Inf
1.5631	9.2439	Inf	Inf
1.5671	9.3439	Inf	Inf
1.5789	9.4454	Inf	Inf
1.5830	9.5448	Inf	Inf
1.6127	9.4433	Inf	Inf
1.6133	9.3413	Inf	Inf
1.6251	9.4412	Inf	Inf
1.6439	9.5408	Inf	Inf
1.6534	9.4389	Inf	Inf
1.6579	9.5404	Inf	Inf
1.6664	9.6395	Inf	Inf
1.6696	9.7397	Inf	Inf
1.7696	9.6742	Inf	Inf
1.8223	9.5722	Inf	Inf
1.8261	9.4668	Inf	Inf
1.8303	9.3638	Inf	Inf
1.8319	9.2624	Inf	Inf
1.8386	9.1607	Inf	Inf
1.8475	9.2617	Inf	Inf
1.8482	9.3615	Inf	Inf
1.8489	9.5127	Inf	Inf
1.8531	9.6870	Inf	Inf
1.8628	9.8201	Inf	Inf
1.9628	9.7372	Inf	Inf
2.0014	9.8358	Inf	Inf
2.0822	9.7338	Inf	Inf
2.1546	9.6300	Inf	Inf
2.1601	9.5252	Inf	Inf
2.1658	9.2982	Inf	Inf
2.1663	9.3997	Inf	Inf
2.1689	9.1965	Inf	Inf
2.1805	9.2956	Inf	Inf
2.1885	9.3943	Inf	Inf
2.1925	9.4936	Inf	Inf
2.1958	9.6482	Inf	Inf
2.2075	9.7737	Inf	Inf
2.2457	9.8744	Inf	Inf
2.2788	9.7724	Inf	Inf
2.2965	9.6703	Inf	Inf
2.3077	9.5680	Inf	Inf
2.4080	9.5578	Inf	Inf
2.5082	9.5503	Inf	Inf
2.6083	9.4580	Inf	Inf
2.7085	9.4357	Inf	Inf
2.7109	9.3322	Inf	Inf
2.7429	9.4346	Inf	Inf
2.7797	9.3314	Inf	Inf
2.7852	9.1888	Inf	Inf
2.8081	8.9917	Inf	Inf
2.9080	8.9867	Inf	Inf
2.9620	8.8825	Inf	Inf
2.9951	8.7813	Inf	Inf
3.0281	8.5774	Inf	Inf
3.0317	8.6784	Inf	Inf
3.0417	8.4753	Inf	Inf
3.0447	8.3732	Inf	Inf
3.0477	8.2712	Inf	Inf
3.0531	8.3687	Inf	Inf
3.0573	8.5192	Inf	Inf
3.0731	8.7755	Inf	Inf
3.0833	8.9590	Inf	Inf
3.0927	9.1476	Inf	Inf
3.1179	9.2715	Inf	Inf
3.1816	9.1695	Inf	Inf
3.2634	9.0677	Inf	Inf
3.2944	8.9650	Inf	Inf
3.3060	8.8591	Inf	Inf
3.3195	8.7558	Inf	Inf
3.3250	8.6063	Inf	Inf
3.3274	8.4804	Inf	Inf
3.3325	8.3790	Inf	Inf
3.3401	8.2784	Inf	Inf
3.3427	8.3792	Inf	Inf
3.3578	8.5859	Inf	Inf
3.3701	8.8340	Inf	Inf
3.3929	9.0012	Inf	Inf
3.4094	9.1339	Inf	Inf
3.4392	9.0324	Inf	Inf
3.5227	8.9317	Inf	Inf
3.6112	8.8295	Inf	Inf
3.6462	8.7287	Inf	Inf
3.6476	8.5055	Inf	Inf
3.6514	8.6257	Inf	Inf
3.6596	8.2910	Inf	Inf
3.6625	8.3944	Inf	Inf
3.6818	8.3889	Inf	Inf
3.6856	8.7426	Inf	Inf
3.7095	8.9508	Inf	Inf
3.7225	9.0725	Inf	Inf
3.7716	8.9677	Inf	Inf
3.8717	9.0251	Inf	Inf
3.9718	9.0102	Inf	Inf
4.0663	9.1064	Inf	Inf
4.0891	8.9954	Inf	Inf
4.0949	8.8912	Inf	Inf
4.1074	8.6170	Inf	Inf
4.1162	8.4434	Inf	Inf
4.1254	8.3217	Inf	Inf
4.1334	8.2198	Inf	Inf
4.1371	8.1154	Inf	Inf
4.1466	8.2166	Inf	Inf
4.1480	8.3156	Inf	Inf
4.1623	8.5243	Inf	Inf
4.1699	8.8093	Inf	Inf
4.1947	8.9102	Inf	Inf
4.2133	9.0103	Inf	Inf
4.3134	8.9990	Inf	Inf
4.3407	8.8911	Inf	Inf
4.3467	8.7856	Inf	Inf
4.3497	8.6572	Inf	Inf
