Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 15:23:13

Name:	group 13A wood parallel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1004	0.0150	Inf	Inf
0.2000	0.0093	Inf	Inf
0.3001	0.0211	Inf	Inf
0.4004	0.0180	Inf	Inf
0.5000	0.0257	Inf	Inf
0.5937	0.1256	Inf	Inf
0.6384	0.2257	Inf	Inf
0.6777	0.3255	Inf	Inf
0.7060	0.4257	Inf	Inf
0.7252	0.5257	Inf	Inf
0.7559	0.6258	Inf	Inf
0.7847	0.7257	Inf	Inf
0.8050	0.8254	Inf	Inf
0.8275	0.9253	Inf	Inf
0.8590	1.0248	Inf	Inf
0.8826	1.1247	Inf	Inf
0.9077	1.2243	Inf	Inf
0.9442	1.3241	Inf	Inf
0.9651	1.4240	Inf	Inf
1.0188	1.5243	Inf	Inf
1.0418	1.6247	Inf	Inf
1.0807	1.7241	Inf	Inf
1.1401	1.8245	Inf	Inf
1.2014	1.9244	Inf	Inf
1.2886	2.0245	Inf	Inf
1.3825	2.1244	Inf	Inf
1.4818	2.1652	Inf	Inf
1.5817	2.1789	Inf	Inf
1.6823	2.1961	Inf	Inf
1.7821	2.1060	Inf	Inf
1.8467	2.2057	Inf	Inf
1.9468	2.2091	Inf	Inf
2.0471	2.1864	Inf	Inf
2.1472	2.1828	Inf	Inf
2.2466	2.2073	Inf	Inf
2.3464	2.2177	Inf	Inf
2.4463	2.1640	Inf	Inf
2.5462	2.1970	Inf	Inf
2.6472	2.2076	Inf	Inf
2.7473	2.1261	Inf	Inf
2.8475	2.1694	Inf	Inf
2.9477	2.1877	Inf	Inf
2.9712	2.0863	Inf	Inf
3.0714	2.0896	Inf	Inf
3.1722	2.1370	Inf	Inf
3.2719	2.1320	Inf	Inf
3.3329	2.0299	Inf	Inf
3.4322	2.0706	Inf	Inf
3.5323	2.0784	Inf	Inf
3.6333	2.1265	Inf	Inf
3.7337	2.1487	Inf	Inf
3.8335	2.1273	Inf	Inf
3.9336	2.1208	Inf	Inf
3.9612	2.0201	Inf	Inf
4.0608	2.0563	Inf	Inf
4.1599	2.1321	Inf	Inf
4.2592	2.0800	Inf	Inf
4.3600	2.0407	Inf	Inf
4.4593	2.0821	Inf	Inf
4.5594	2.0758	Inf	Inf
4.6587	2.0943	Inf	Inf
4.7585	2.1395	Inf	Inf
4.8589	2.1227	Inf	Inf
4.9579	2.1439	Inf	Inf
5.0576	2.0430	Inf	Inf
5.1581	2.0417	Inf	Inf
5.2582	2.0377	Inf	Inf
5.3586	2.0713	Inf	Inf
5.4587	2.0941	Inf	Inf
5.4897	1.9921	Inf	Inf
5.5856	2.0918	Inf	Inf
5.6857	2.1383	Inf	Inf
5.7857	2.1799	Inf	Inf
5.8855	2.1981	Inf	Inf
5.9856	2.1927	Inf	Inf
6.0861	2.1736	Inf	Inf
6.1861	2.1621	Inf	Inf
