Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 15:35:38

Name:	wood perpendicular group 13A
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0997	0.0180	Inf	Inf
0.1998	0.0440	Inf	Inf
0.2798	0.1435	Inf	Inf
0.3107	0.2434	Inf	Inf
0.3384	0.3433	Inf	Inf
0.3688	0.4437	Inf	Inf
0.3877	0.5432	Inf	Inf
0.4099	0.6426	Inf	Inf
0.4263	0.7431	Inf	Inf
0.4479	0.8433	Inf	Inf
0.4661	0.9432	Inf	Inf
0.4831	1.0430	Inf	Inf
0.5021	1.1427	Inf	Inf
0.5213	1.2428	Inf	Inf
0.5487	1.3430	Inf	Inf
0.5675	1.4425	Inf	Inf
0.5907	1.5424	Inf	Inf
0.6206	1.6418	Inf	Inf
0.6489	1.7422	Inf	Inf
0.6783	1.8424	Inf	Inf
0.7240	1.9427	Inf	Inf
0.8241	2.0323	Inf	Inf
0.9246	1.9902	Inf	Inf
1.0243	2.0059	Inf	Inf
1.1243	2.0822	Inf	Inf
1.2240	2.0815	Inf	Inf
1.3234	2.0118	Inf	Inf
1.3905	2.1132	Inf	Inf
1.4597	2.0081	Inf	Inf
1.4614	1.9074	Inf	Inf
1.4856	2.0073	Inf	Inf
1.4958	2.1079	Inf	Inf
1.5941	2.2001	Inf	Inf
1.6941	2.2091	Inf	Inf
1.7948	2.2143	Inf	Inf
1.8946	2.2064	Inf	Inf
1.9952	2.2153	Inf	Inf
2.0963	2.2262	Inf	Inf
2.1950	2.2329	Inf	Inf
2.2945	2.2818	Inf	Inf
2.3955	2.2734	Inf	Inf
2.4969	2.3199	Inf	Inf
2.5972	2.2469	Inf	Inf
2.6973	2.3357	Inf	Inf
2.7959	2.3147	Inf	Inf
2.8958	2.3250	Inf	Inf
2.9956	2.2926	Inf	Inf
3.0951	2.3208	Inf	Inf
3.1956	2.3205	Inf	Inf
3.2966	2.3781	Inf	Inf
3.3975	2.3813	Inf	Inf
3.4978	2.4054	Inf	Inf
3.5981	2.4041	Inf	Inf
3.6979	2.3793	Inf	Inf
3.7986	2.3748	Inf	Inf
3.8986	2.4428	Inf	Inf
3.9985	2.3940	Inf	Inf
4.0986	2.4335	Inf	Inf
4.1992	2.4050	Inf	Inf
4.3001	2.4795	Inf	Inf
4.4009	2.4489	Inf	Inf
4.5010	2.4193	Inf	Inf
4.6015	2.4031	Inf	Inf
4.6472	2.5031	Inf	Inf
4.7477	2.5237	Inf	Inf
4.8488	2.5153	Inf	Inf
4.9487	2.4917	Inf	Inf
5.0486	2.5176	Inf	Inf
5.1489	2.4969	Inf	Inf
5.2494	2.4683	Inf	Inf
5.3493	2.5378	Inf	Inf
5.4486	2.5723	Inf	Inf
5.5492	2.5814	Inf	Inf
5.6489	2.5997	Inf	Inf
5.7505	2.5783	Inf	Inf
5.8506	2.5965	Inf	Inf
5.8641	2.4913	Inf	Inf
5.9125	2.5913	Inf	Inf
6.0122	2.6636	Inf	Inf
6.1130	2.6650	Inf	Inf
6.2136	2.7248	Inf	Inf
6.3140	2.7383	Inf	Inf
6.4137	2.6173	Inf	Inf
6.4310	2.7210	Inf	Inf
6.4711	2.8222	Inf	Inf
6.5708	2.8277	Inf	Inf
6.6717	2.7969	Inf	Inf
6.7718	2.7861	Inf	Inf
6.8631	2.8860	Inf	Inf
6.9624	2.7859	Inf	Inf
7.0632	2.8641	Inf	Inf
7.1630	2.8686	Inf	Inf
7.2630	2.8955	Inf	Inf
7.3639	2.9171	Inf	Inf
7.4644	2.9096	Inf	Inf
7.5152	2.8070	Inf	Inf
7.5595	2.9036	Inf	Inf
7.6596	3.0007	Inf	Inf
7.7601	2.9891	Inf	Inf
7.8606	2.9611	Inf	Inf
7.9607	3.0244	Inf	Inf
8.0601	3.0258	Inf	Inf
8.1605	3.0520	Inf	Inf
8.2610	3.0135	Inf	Inf
8.3065	3.1133	Inf	Inf
8.4073	3.1038	Inf	Inf
8.5062	3.1874	Inf	Inf
8.6060	3.1662	Inf	Inf
8.7057	3.2370	Inf	Inf
8.8060	3.2574	Inf	Inf
8.9063	3.2608	Inf	Inf
