Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 16.02.2023	Time: 15:13:50

Name:	group 13A steel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0130	0.1003	Inf	Inf
0.0265	0.1999	Inf	Inf
0.0379	0.2999	Inf	Inf
0.0443	0.3998	Inf	Inf
0.0493	0.4996	Inf	Inf
0.0577	0.5999	Inf	Inf
0.0654	0.7002	Inf	Inf
0.0671	0.8006	Inf	Inf
0.0737	0.9005	Inf	Inf
0.0831	1.1013	Inf	Inf
0.0846	1.0008	Inf	Inf
0.0913	1.2017	Inf	Inf
0.0938	1.3010	Inf	Inf
0.0981	1.4005	Inf	Inf
0.1058	1.5009	Inf	Inf
0.1065	1.6012	Inf	Inf
0.1143	1.7008	Inf	Inf
0.1180	1.8006	Inf	Inf
0.1227	1.9011	Inf	Inf
0.1326	2.0011	Inf	Inf
0.1336	2.1015	Inf	Inf
0.1397	2.2012	Inf	Inf
0.1461	2.3017	Inf	Inf
0.1478	2.4022	Inf	Inf
0.1564	2.5022	Inf	Inf
0.1577	2.6023	Inf	Inf
0.1661	2.7015	Inf	Inf
0.1698	2.8016	Inf	Inf
0.1716	2.9010	Inf	Inf
0.1834	3.0009	Inf	Inf
0.1846	3.1013	Inf	Inf
0.1909	3.3010	Inf	Inf
0.1942	3.2017	Inf	Inf
0.1950	3.4009	Inf	Inf
0.2071	3.5012	Inf	Inf
0.2101	3.6011	Inf	Inf
0.2128	3.7011	Inf	Inf
0.2168	3.8011	Inf	Inf
0.2226	3.9015	Inf	Inf
0.2302	4.1015	Inf	Inf
0.2307	4.0015	Inf	Inf
0.2377	4.2010	Inf	Inf
0.2390	4.3010	Inf	Inf
0.2428	4.4008	Inf	Inf
0.2435	4.5010	Inf	Inf
0.2451	4.7005	Inf	Inf
0.2476	4.6009	Inf	Inf
0.2545	4.9002	Inf	Inf
0.2567	4.8004	Inf	Inf
0.2590	5.0005	Inf	Inf
0.2623	5.1006	Inf	Inf
0.2644	5.2010	Inf	Inf
0.2692	5.3020	Inf	Inf
0.2720	5.4020	Inf	Inf
0.2797	5.5018	Inf	Inf
0.2838	5.7015	Inf	Inf
0.2848	5.6018	Inf	Inf
0.2870	5.8010	Inf	Inf
0.2893	5.9011	Inf	Inf
0.2932	6.0009	Inf	Inf
0.3028	6.2010	Inf	Inf
0.3033	6.1008	Inf	Inf
0.3079	6.3011	Inf	Inf
0.3115	6.4011	Inf	Inf
0.3199	6.5012	Inf	Inf
0.3218	6.6005	Inf	Inf
0.3233	6.7006	Inf	Inf
0.3240	6.8006	Inf	Inf
0.3297	6.9006	Inf	Inf
0.3311	7.0006	Inf	Inf
0.3342	7.1005	Inf	Inf
0.3358	7.1996	Inf	Inf
0.3414	7.2999	Inf	Inf
0.3445	7.3995	Inf	Inf
0.3452	7.5992	Inf	Inf
0.3501	7.4992	Inf	Inf
0.3599	7.6983	Inf	Inf
0.3602	7.7982	Inf	Inf
0.3628	7.8981	Inf	Inf
0.3692	7.9977	Inf	Inf
0.3695	8.0978	Inf	Inf
0.3793	8.1973	Inf	Inf
0.3808	8.2992	Inf	Inf
0.3833	8.6004	Inf	Inf
0.3837	8.5000	Inf	Inf
0.3885	8.3995	Inf	Inf
0.3895	8.7001	Inf	Inf
0.3960	8.8005	Inf	Inf
0.4012	8.9012	Inf	Inf
0.4050	9.0008	Inf	Inf
0.4070	9.1009	Inf	Inf
0.4111	9.2005	Inf	Inf
0.4172	9.2994	Inf	Inf
0.4283	9.3992	Inf	Inf
0.5128	9.2972	Inf	Inf
0.6126	9.2854	Inf	Inf
0.6475	9.1851	Inf	Inf
0.6520	9.0846	Inf	Inf
0.6577	8.9835	Inf	Inf
0.6650	9.0841	Inf	Inf
0.6698	9.1847	Inf	Inf
0.6807	9.2853	Inf	Inf
0.7809	9.3664	Inf	Inf
0.8811	9.4469	Inf	Inf
0.9192	9.3454	Inf	Inf
0.9240	9.2441	Inf	Inf
0.9251	9.1433	Inf	Inf
0.9389	9.2442	Inf	Inf
0.9437	9.3438	Inf	Inf
0.9641	9.4441	Inf	Inf
1.0055	9.5435	Inf	Inf
1.0708	9.6442	Inf	Inf
1.1363	9.5433	Inf	Inf
1.2365	9.5240	Inf	Inf
1.3120	9.4225	Inf	Inf
1.3161	9.2213	Inf	Inf
1.3194	9.3218	Inf	Inf
1.3264	9.3201	Inf	Inf
1.3328	9.4191	Inf	Inf
1.3472	9.6005	Inf	Inf
1.3714	9.7065	Inf	Inf
1.4063	9.8079	Inf	Inf
1.5061	9.8193	Inf	Inf
1.5897	9.9193	Inf	Inf
1.6189	10.0191	Inf	Inf
1.6487	9.9180	Inf	Inf
1.6638	9.8171	Inf	Inf
1.6650	9.9169	Inf	Inf
1.6752	10.0171	Inf	Inf
1.6858	10.1165	Inf	Inf
1.7233	10.2165	Inf	Inf
1.7671	10.3167	Inf	Inf
1.8373	10.4171	Inf	Inf
1.9014	10.5179	Inf	Inf
1.9624	10.6179	Inf	Inf
2.0106	10.7175	Inf	Inf
2.0847	10.8174	Inf	Inf
2.0945	10.7153	Inf	Inf
2.1018	10.6139	Inf	Inf
2.1050	10.5125	Inf	Inf
2.1174	10.6123	Inf	Inf
2.1224	10.7119	Inf	Inf
2.1289	10.8114	Inf	Inf
2.1727	10.9103	Inf	Inf
2.2725	10.9776	Inf	Inf
