Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 13:53:48

Name:	AL TENSION
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0135	0.0999	Inf	Inf
0.0229	0.1999	Inf	Inf
0.0315	0.3001	Inf	Inf
0.0340	0.4007	Inf	Inf
0.0436	0.5015	Inf	Inf
0.0481	0.6006	Inf	Inf
0.0617	0.7008	Inf	Inf
0.0695	0.8000	Inf	Inf
0.0700	0.9000	Inf	Inf
0.0797	0.9992	Inf	Inf
0.0902	1.0991	Inf	Inf
0.0947	1.1993	Inf	Inf
0.1052	1.2996	Inf	Inf
0.1095	1.3992	Inf	Inf
0.1152	1.4986	Inf	Inf
0.1194	1.5987	Inf	Inf
0.1330	1.6986	Inf	Inf
0.1364	1.7984	Inf	Inf
0.1377	1.9988	Inf	Inf
0.1457	1.8987	Inf	Inf
0.1488	2.0988	Inf	Inf
0.1496	2.1996	Inf	Inf
0.1581	2.3061	Inf	Inf
0.1617	2.4064	Inf	Inf
0.1707	2.5063	Inf	Inf
0.1713	2.6061	Inf	Inf
0.1849	2.7068	Inf	Inf
0.1953	2.8071	Inf	Inf
0.1964	3.0071	Inf	Inf
0.1967	2.9072	Inf	Inf
0.2075	3.1071	Inf	Inf
0.2097	3.3071	Inf	Inf
0.2129	3.2068	Inf	Inf
0.2226	3.4074	Inf	Inf
0.2411	3.6076	Inf	Inf
0.2491	3.7070	Inf	Inf
0.2632	3.8065	Inf	Inf
0.2905	3.9072	Inf	Inf
0.3458	4.0072	Inf	Inf
0.3875	4.1070	Inf	Inf
0.4261	4.2065	Inf	Inf
0.4637	4.3065	Inf	Inf
0.5079	4.4066	Inf	Inf
0.5402	4.5073	Inf	Inf
0.5744	4.6072	Inf	Inf
0.6255	4.7068	Inf	Inf
0.6668	4.8065	Inf	Inf
0.7192	4.9059	Inf	Inf
0.7871	5.0051	Inf	Inf
0.7908	5.1047	Inf	Inf
0.8652	5.2052	Inf	Inf
0.9653	5.2189	Inf	Inf
0.9797	5.3191	Inf	Inf
1.0604	5.4188	Inf	Inf
1.1172	5.5193	Inf	Inf
1.2166	5.4959	Inf	Inf
1.2609	5.5956	Inf	Inf
1.3481	5.6959	Inf	Inf
1.4479	5.6685	Inf	Inf
1.4483	5.7696	Inf	Inf
1.5437	5.8700	Inf	Inf
1.5642	5.7681	Inf	Inf
1.6385	5.8682	Inf	Inf
1.7379	5.9418	Inf	Inf
1.7521	5.8349	Inf	Inf
1.7596	5.9349	Inf	Inf
1.8109	5.8330	Inf	Inf
1.8238	5.9341	Inf	Inf
1.9230	5.9584	Inf	Inf
1.9844	6.0583	Inf	Inf
2.0849	6.1061	Inf	Inf
2.1279	6.0056	Inf	Inf
2.1844	6.1052	Inf	Inf
2.2075	6.0002	Inf	Inf
2.3073	5.9963	Inf	Inf
2.3935	6.0965	Inf	Inf
2.4939	6.0845	Inf	Inf
2.5935	6.0876	Inf	Inf
2.6049	5.9874	Inf	Inf
2.6149	6.0876	Inf	Inf
2.6277	6.1873	Inf	Inf
2.6381	6.0866	Inf	Inf
2.7379	6.1031	Inf	Inf
2.8383	6.1200	Inf	Inf
2.8593	6.0186	Inf	Inf
2.8608	6.1173	Inf	Inf
2.8792	6.2177	Inf	Inf
2.9227	6.1143	Inf	Inf
3.0223	6.1348	Inf	Inf
3.1224	6.1813	Inf	Inf
3.1476	6.0803	Inf	Inf
3.1603	6.1789	Inf	Inf
3.2603	6.0967	Inf	Inf
3.2675	6.1976	Inf	Inf
3.3676	6.1409	Inf	Inf
3.4680	6.1775	Inf	Inf
3.5677	6.1589	Inf	Inf
3.6685	6.1497	Inf	Inf
3.7682	6.1457	Inf	Inf
3.8671	6.1567	Inf	Inf
3.9675	6.1370	Inf	Inf
3.9809	6.1343	Inf	Inf
3.9839	6.0359	Inf	Inf
4.0806	6.1648	Inf	Inf
4.1814	6.1491	Inf	Inf
4.2807	6.2013	Inf	Inf
4.3158	6.1000	Inf	Inf
4.4163	6.1522	Inf	Inf
4.5155	6.1111	Inf	Inf
4.6149	6.1045	Inf	Inf
4.7050	6.0020	Inf	Inf
4.7073	6.1037	Inf	Inf
4.7775	6.0023	Inf	Inf
4.8779	6.0184	Inf	Inf
4.9118	5.9151	Inf	Inf
5.0123	5.9333	Inf	Inf
5.0731	5.8325	Inf	Inf
5.1736	5.7720	Inf	Inf
5.2727	5.7846	Inf	Inf
5.3730	5.7162	Inf	Inf
5.4731	5.6333	Inf	Inf
5.5387	5.5304	Inf	Inf
5.5489	5.6323	Inf	Inf
5.5597	5.5293	Inf	Inf
5.6594	5.4525	Inf	Inf
5.7590	5.3514	Inf	Inf
5.8552	5.2502	Inf	Inf
5.9136	5.1477	Inf	Inf
5.9930	5.0454	Inf	Inf
6.0855	4.9404	Inf	Inf
6.1039	4.8387	Inf	Inf
6.2079	4.5518	Inf	Inf
6.2797	4.3947	Inf	Inf
6.3598	4.2377	Inf	Inf
6.4434	4.0801	Inf	Inf
6.5290	3.9215	Inf	Inf
Data End	

