Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 13:41:54

Name:	Steel Tension
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0020	0.0999	Inf	Inf
0.0110	0.1996	Inf	Inf
0.0145	0.2993	Inf	Inf
0.0208	0.3992	Inf	Inf
0.0270	0.5991	Inf	Inf
0.0339	0.4994	Inf	Inf
0.0359	0.6988	Inf	Inf
0.0425	0.7987	Inf	Inf
0.0525	0.8987	Inf	Inf
0.0626	0.9987	Inf	Inf
0.0638	1.0988	Inf	Inf
0.0660	1.1993	Inf	Inf
0.0704	1.2988	Inf	Inf
0.0717	1.4985	Inf	Inf
0.0739	1.3985	Inf	Inf
0.0767	1.5986	Inf	Inf
0.0902	1.6990	Inf	Inf
0.0903	1.7990	Inf	Inf
0.1010	2.0993	Inf	Inf
0.1011	1.9998	Inf	Inf
0.1013	2.1994	Inf	Inf
0.1045	1.8990	Inf	Inf
0.1081	2.2993	Inf	Inf
0.1190	2.4996	Inf	Inf
0.1211	2.3993	Inf	Inf
0.1273	2.6992	Inf	Inf
0.1274	2.7995	Inf	Inf
0.1281	2.5993	Inf	Inf
0.1299	2.8999	Inf	Inf
0.1358	3.0994	Inf	Inf
0.1407	3.1989	Inf	Inf
0.1410	2.9999	Inf	Inf
0.1432	3.3990	Inf	Inf
0.1443	3.2987	Inf	Inf
0.1529	3.4992	Inf	Inf
0.1532	3.5993	Inf	Inf
0.1587	3.6993	Inf	Inf
0.1610	3.8995	Inf	Inf
0.1634	3.7996	Inf	Inf
0.1682	3.9996	Inf	Inf
0.1723	4.0994	Inf	Inf
0.1762	4.1996	Inf	Inf
0.1765	4.3002	Inf	Inf
0.1780	4.4866	Inf	Inf
0.1806	4.5864	Inf	Inf
0.1811	4.7869	Inf	Inf
0.1846	4.6870	Inf	Inf
0.1871	4.8872	Inf	Inf
0.1930	4.9877	Inf	Inf
0.1943	5.1876	Inf	Inf
0.1945	5.0882	Inf	Inf
0.1975	5.3870	Inf	Inf
0.2048	5.4875	Inf	Inf
0.2051	5.2878	Inf	Inf
0.2058	5.5880	Inf	Inf
0.2072	5.6875	Inf	Inf
0.2096	5.7884	Inf	Inf
0.2115	5.8898	Inf	Inf
0.2129	5.9894	Inf	Inf
0.2208	6.2067	Inf	Inf
0.2212	6.1061	Inf	Inf
0.2360	6.3061	Inf	Inf
0.2401	6.4056	Inf	Inf
0.2483	6.7057	Inf	Inf
0.2502	6.5054	Inf	Inf
0.2518	6.6055	Inf	Inf
0.2528	6.9067	Inf	Inf
0.2542	6.8062	Inf	Inf
0.2602	7.0068	Inf	Inf
0.2637	7.1066	Inf	Inf
0.2659	7.2067	Inf	Inf
0.2663	7.6066	Inf	Inf
0.2698	7.3064	Inf	Inf
0.2736	7.4062	Inf	Inf
0.2750	7.5066	Inf	Inf
0.2806	7.7054	Inf	Inf
0.2830	7.9045	Inf	Inf
0.2847	7.8053	Inf	Inf
0.2905	8.0035	Inf	Inf
0.2907	8.1025	Inf	Inf
0.2949	8.2035	Inf	Inf
0.3005	8.3030	Inf	Inf
0.3173	8.4020	Inf	Inf
0.3195	8.5020	Inf	Inf
0.3440	8.4005	Inf	Inf
0.3495	8.2998	Inf	Inf
0.3552	8.1987	Inf	Inf
0.3576	8.0979	Inf	Inf
0.3614	7.9993	Inf	Inf
0.3670	7.9975	Inf	Inf
0.3702	7.8963	Inf	Inf
0.3747	8.1017	Inf	Inf
0.3810	8.4081	Inf	Inf
0.3958	8.5279	Inf	Inf
0.4117	8.4273	Inf	Inf
0.5119	8.3573	Inf	Inf
0.5629	8.4569	Inf	Inf
0.6113	8.5568	Inf	Inf
0.6271	8.6576	Inf	Inf
0.6472	8.7574	Inf	Inf
0.6635	8.6548	Inf	Inf
0.6701	8.5538	Inf	Inf
0.6737	8.4533	Inf	Inf
0.6874	8.6522	Inf	Inf
0.6894	8.5528	Inf	Inf
0.7356	8.7543	Inf	Inf
0.7708	8.8548	Inf	Inf
0.8133	8.7519	Inf	Inf
0.8148	8.6492	Inf	Inf
0.8241	8.5274	Inf	Inf
0.8328	8.6299	Inf	Inf
0.8782	8.7302	Inf	Inf
0.9710	8.8309	Inf	Inf
1.0715	8.7984	Inf	Inf
1.1464	8.9024	Inf	Inf
1.1707	9.0001	Inf	Inf
1.2037	9.0974	Inf	Inf
1.2314	9.1956	Inf	Inf
1.2687	9.2961	Inf	Inf
1.2874	9.1923	Inf	Inf
1.3000	9.0835	Inf	Inf
1.3012	8.9829	Inf	Inf
1.3031	9.0850	Inf	Inf
1.3129	9.2502	Inf	Inf
1.3434	9.3497	Inf	Inf
1.3741	9.4509	Inf	Inf
1.4005	9.3495	Inf	Inf
1.4087	9.4472	Inf	Inf
1.4384	9.5466	Inf	Inf
1.4856	9.6470	Inf	Inf
1.5358	9.5460	Inf	Inf
1.5398	9.6377	Inf	Inf
1.5727	9.8056	Inf	Inf
1.6087	9.9065	Inf	Inf
1.6511	10.0055	Inf	Inf
1.7390	9.9035	Inf	Inf
1.7477	10.0040	Inf	Inf
1.7501	10.1033	Inf	Inf
1.8192	10.2035	Inf	Inf
