Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 14:18:58

Name:	parallel timber cube
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1009	0.0143	Inf	Inf
0.2007	0.0093	Inf	Inf
0.3006	0.0075	Inf	Inf
0.4008	0.0130	Inf	Inf
0.5005	0.0160	Inf	Inf
0.6006	0.0126	Inf	Inf
0.7016	0.0105	Inf	Inf
0.8022	0.0231	Inf	Inf
0.9022	0.0292	Inf	Inf
1.0023	0.0295	Inf	Inf
1.1024	0.0286	Inf	Inf
1.2024	0.0418	Inf	Inf
1.3024	0.0340	Inf	Inf
1.4023	0.0244	Inf	Inf
1.5030	0.0267	Inf	Inf
1.6025	0.0404	Inf	Inf
1.7021	0.0375	Inf	Inf
1.8017	0.0758	Inf	Inf
1.8414	0.1759	Inf	Inf
1.8848	0.2761	Inf	Inf
1.8944	0.3762	Inf	Inf
1.9015	0.4761	Inf	Inf
1.9157	0.5769	Inf	Inf
1.9188	0.6769	Inf	Inf
1.9335	0.7773	Inf	Inf
1.9424	0.8772	Inf	Inf
1.9517	0.9775	Inf	Inf
1.9591	1.1785	Inf	Inf
1.9593	1.0778	Inf	Inf
1.9655	1.2791	Inf	Inf
1.9713	1.3794	Inf	Inf
1.9797	1.4783	Inf	Inf
1.9859	1.6782	Inf	Inf
1.9882	1.5787	Inf	Inf
1.9901	1.7782	Inf	Inf
1.9914	1.8783	Inf	Inf
1.9936	2.0769	Inf	Inf
1.9972	1.9779	Inf	Inf
2.0082	2.1764	Inf	Inf
2.0105	2.3762	Inf	Inf
2.0125	2.4759	Inf	Inf
2.0167	2.2764	Inf	Inf
2.0209	2.5759	Inf	Inf
2.0252	2.6758	Inf	Inf
2.0274	2.8748	Inf	Inf
2.0274	2.7755	Inf	Inf
2.0386	3.0755	Inf	Inf
2.0394	2.9749	Inf	Inf
2.0406	3.1756	Inf	Inf
2.0433	3.2769	Inf	Inf
2.0436	3.3765	Inf	Inf
2.0452	3.5774	Inf	Inf
2.0481	3.4766	Inf	Inf
2.0540	3.7774	Inf	Inf
2.0589	3.8776	Inf	Inf
2.0605	3.6779	Inf	Inf
2.0722	3.9783	Inf	Inf
2.0726	4.0787	Inf	Inf
2.0736	4.1776	Inf	Inf
2.0808	4.3785	Inf	Inf
2.0810	4.2772	Inf	Inf
2.0855	4.4778	Inf	Inf
