Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 14:25:40

Name:	timber cube compr perpendicular
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0995	0.0192	Inf	Inf
0.1993	0.0251	Inf	Inf
0.2986	0.0292	Inf	Inf
0.3977	0.0193	Inf	Inf
0.4981	0.0171	Inf	Inf
0.5983	0.0215	Inf	Inf
0.6981	0.0184	Inf	Inf
0.7973	0.0259	Inf	Inf
0.8969	0.0155	Inf	Inf
0.9955	0.0263	Inf	Inf
1.0962	0.0226	Inf	Inf
1.1961	0.0262	Inf	Inf
1.2957	0.1023	Inf	Inf
1.3542	0.2024	Inf	Inf
1.4091	0.3030	Inf	Inf
1.4621	0.4032	Inf	Inf
1.5118	0.5024	Inf	Inf
1.5583	0.6024	Inf	Inf
1.6249	0.7025	Inf	Inf
1.7006	0.8029	Inf	Inf
1.8007	0.8898	Inf	Inf
1.8999	0.9149	Inf	Inf
2.0003	0.9072	Inf	Inf
2.1003	0.9199	Inf	Inf
2.2008	0.9477	Inf	Inf
2.3012	0.9771	Inf	Inf
2.4016	0.9767	Inf	Inf
2.5025	1.0021	Inf	Inf
2.6029	1.0058	Inf	Inf
2.7033	0.9982	Inf	Inf
2.8033	1.0178	Inf	Inf
2.9034	1.0152	Inf	Inf
3.0035	1.0105	Inf	Inf
3.1031	1.0321	Inf	Inf
3.2036	1.0091	Inf	Inf
3.3036	1.0416	Inf	Inf
3.4033	1.0538	Inf	Inf
3.5030	1.0456	Inf	Inf
3.6030	1.0379	Inf	Inf
3.7031	1.0712	Inf	Inf
3.8031	1.1175	Inf	Inf
3.9031	1.1403	Inf	Inf
4.0028	1.1757	Inf	Inf
4.1029	1.1991	Inf	Inf
4.2029	1.2286	Inf	Inf
4.3029	1.2317	Inf	Inf
4.4023	1.2909	Inf	Inf
4.5028	1.2899	Inf	Inf
4.6025	1.3353	Inf	Inf
4.6108	1.2346	Inf	Inf
4.6525	1.3353	Inf	Inf
4.7523	1.3850	Inf	Inf
4.8526	1.3847	Inf	Inf
4.9534	1.4348	Inf	Inf
5.0538	1.4955	Inf	Inf
5.1539	1.5219	Inf	Inf
5.2223	1.4216	Inf	Inf
5.2955	1.5221	Inf	Inf
5.3956	1.5481	Inf	Inf
5.4956	1.5451	Inf	Inf
5.5961	1.5586	Inf	Inf
5.6957	1.5990	Inf	Inf
5.7955	1.5526	Inf	Inf
5.8588	1.6524	Inf	Inf
5.9583	1.6554	Inf	Inf
6.0588	1.6817	Inf	Inf
6.1593	1.6720	Inf	Inf
6.2589	1.7115	Inf	Inf
6.3585	1.6959	Inf	Inf
6.4590	1.7166	Inf	Inf
6.5587	1.7613	Inf	Inf
6.6592	1.7684	Inf	Inf
6.7602	1.7451	Inf	Inf
6.8604	1.7920	Inf	Inf
6.9604	1.8430	Inf	Inf
7.0609	1.9307	Inf	Inf
7.1067	1.8296	Inf	Inf
7.2065	1.8750	Inf	Inf
7.3064	1.9108	Inf	Inf
7.4065	1.9657	Inf	Inf
7.5059	1.9781	Inf	Inf
7.5769	2.0793	Inf	Inf
7.6777	2.0857	Inf	Inf
7.7746	1.9056	Inf	Inf
7.7782	2.1083	Inf	Inf
7.7868	2.0064	Inf	Inf
7.8313	2.0063	Inf	Inf
7.8933	2.1050	Inf	Inf
7.9933	2.1612	Inf	Inf
8.0918	2.1878	Inf	Inf
8.1920	2.1756	Inf	Inf
8.2524	2.2757	Inf	Inf
8.3130	2.0732	Inf	Inf
8.3135	2.1741	Inf	Inf
8.3492	2.1721	Inf	Inf
8.3983	2.3098	Inf	Inf
8.4989	2.3813	Inf	Inf
8.5987	2.3416	Inf	Inf
8.6987	2.4316	Inf	Inf
8.7980	2.4743	Inf	Inf
8.8089	2.3732	Inf	Inf
8.8126	2.2722	Inf	Inf
8.8465	2.3711	Inf	Inf
8.8742	2.4749	Inf	Inf
8.9282	2.5751	Inf	Inf
9.0282	2.6287	Inf	Inf
9.1261	2.5261	Inf	Inf
9.1662	2.6254	Inf	Inf
9.1873	2.7250	Inf	Inf
9.2874	2.8240	Inf	Inf
9.3887	2.8776	Inf	Inf
9.4027	2.6747	Inf	Inf
9.4034	2.5739	Inf	Inf
9.4113	2.7755	Inf	Inf
9.4435	2.6739	Inf	Inf
9.4793	2.8069	Inf	Inf
9.5042	2.9333	Inf	Inf
9.5337	2.8314	Inf	Inf
9.5457	2.7308	Inf	Inf
9.5788	2.8292	Inf	Inf
9.5992	2.9493	Inf	Inf
9.6387	3.1328	Inf	Inf
9.7392	3.1397	Inf	Inf
9.7999	3.2389	Inf	Inf
9.8996	3.3290	Inf	Inf
9.9512	3.4302	Inf	Inf
10.0387	3.3287	Inf	Inf
10.1025	3.2265	Inf	Inf
10.1107	3.1261	Inf	Inf
10.1225	3.2283	Inf	Inf
10.1279	3.3285	Inf	Inf
10.1569	3.4515	Inf	Inf
10.2096	3.5925	Inf	Inf
10.2592	3.7000	Inf	Inf
10.3600	3.7697	Inf	Inf
10.4611	3.8502	Inf	Inf
10.5271	3.9499	Inf	Inf
10.6274	4.0277	Inf	Inf
10.7277	3.9734	Inf	Inf
10.7679	4.0724	Inf	Inf
10.7850	4.1723	Inf	Inf
10.8268	3.9687	Inf	Inf
10.8364	3.8671	Inf	Inf
10.8367	4.0698	Inf	Inf
10.8446	3.7665	Inf	Inf
10.8680	3.8680	Inf	Inf
10.8797	4.0700	Inf	Inf
10.9209	4.2833	Inf	Inf
10.9268	4.1185	Inf	Inf
10.9466	4.2174	Inf	Inf
10.9678	4.4193	Inf	Inf
10.9973	4.5221	Inf	Inf
11.0765	4.6227	Inf	Inf
11.1353	4.7198	Inf	Inf
11.1778	4.9149	Inf	Inf
11.2562	4.8074	Inf	Inf
11.3046	4.7016	Inf	Inf
11.3206	4.8025	Inf	Inf
11.4158	4.8997	Inf	Inf
11.4866	5.0014	Inf	Inf
11.4999	4.8990	Inf	Inf
11.5103	4.8920	Inf	Inf
11.5106	4.7973	Inf	Inf
11.5414	5.1031	Inf	Inf
11.5599	5.2365	Inf	Inf
11.6292	5.3412	Inf	Inf
11.6791	5.4374	Inf	Inf
11.7010	5.2040	Inf	Inf
11.7012	5.0771	Inf	Inf
11.7051	5.3343	Inf	Inf
11.7163	4.9753	Inf	Inf
11.7203	4.8743	Inf	Inf
11.7216	4.9749	Inf	Inf
11.7331	5.0735	Inf	Inf
11.7427	5.2112	Inf	Inf
11.7669	5.4363	Inf	Inf
11.7830	5.5578	Inf	Inf
11.8339	5.6584	Inf	Inf
11.8512	5.7935	Inf	Inf
11.8889	5.9111	Inf	Inf
11.9345	5.8066	Inf	Inf
