Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 15:00:38

Name:	Aluminium Tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0145	0.1004	Inf	Inf
0.0313	0.2001	Inf	Inf
0.0496	0.2998	Inf	Inf
0.0679	0.3998	Inf	Inf
0.0702	0.5002	Inf	Inf
0.0863	0.5999	Inf	Inf
0.0969	0.6995	Inf	Inf
0.1061	0.7985	Inf	Inf
0.1084	0.8974	Inf	Inf
0.1221	1.0967	Inf	Inf
0.1397	1.2638	Inf	Inf
0.1542	1.4362	Inf	Inf
0.1633	1.5827	Inf	Inf
0.1664	1.7037	Inf	Inf
0.1763	1.8030	Inf	Inf
0.1809	1.9031	Inf	Inf
0.1840	2.0023	Inf	Inf
0.1862	2.1013	Inf	Inf
0.1908	2.2013	Inf	Inf
0.1954	2.3017	Inf	Inf
0.1992	2.4014	Inf	Inf
0.2030	2.5014	Inf	Inf
0.2122	2.6011	Inf	Inf
0.2145	2.7011	Inf	Inf
0.2221	2.8012	Inf	Inf
0.2275	2.9012	Inf	Inf
0.2320	3.0013	Inf	Inf
0.2404	3.1017	Inf	Inf
0.2458	3.2096	Inf	Inf
0.2465	3.3096	Inf	Inf
0.2488	3.4093	Inf	Inf
0.2572	3.5090	Inf	Inf
0.2588	3.6094	Inf	Inf
0.2702	3.7094	Inf	Inf
0.2809	3.8095	Inf	Inf
0.2962	3.9095	Inf	Inf
0.3091	4.0099	Inf	Inf
0.3366	4.1096	Inf	Inf
0.3496	4.2093	Inf	Inf
0.4099	4.3093	Inf	Inf
0.4427	4.4094	Inf	Inf
0.4626	4.5083	Inf	Inf
0.5206	4.6083	Inf	Inf
0.5587	4.7087	Inf	Inf
0.6106	4.8088	Inf	Inf
0.6549	4.9092	Inf	Inf
0.6961	5.0085	Inf	Inf
0.7641	5.1089	Inf	Inf
0.8083	5.2086	Inf	Inf
0.8839	5.3086	Inf	Inf
0.9770	5.4087	Inf	Inf
1.0091	5.5087	Inf	Inf
1.1091	5.5881	Inf	Inf
1.2098	5.6642	Inf	Inf
1.3098	5.6687	Inf	Inf
1.3152	5.7676	Inf	Inf
1.4152	5.7897	Inf	Inf
1.5152	5.8467	Inf	Inf
1.6152	5.9021	Inf	Inf
1.6426	5.8013	Inf	Inf
1.6518	5.9003	Inf	Inf
1.6587	6.0010	Inf	Inf
1.7579	5.9853	Inf	Inf
1.8587	6.0134	Inf	Inf
1.9457	6.1142	Inf	Inf
2.0457	6.0606	Inf	Inf
2.1457	6.1030	Inf	Inf
2.2457	6.1097	Inf	Inf
2.3457	6.1951	Inf	Inf
2.4457	6.1674	Inf	Inf
2.5166	6.0670	Inf	Inf
2.5296	6.1640	Inf	Inf
2.6296	6.1891	Inf	Inf
2.7296	6.1802	Inf	Inf
2.8281	6.2806	Inf	Inf
2.9281	6.2187	Inf	Inf
3.0281	6.2525	Inf	Inf
3.1288	6.2259	Inf	Inf
3.1532	6.1254	Inf	Inf
3.1563	6.2244	Inf	Inf
3.2563	6.2551	Inf	Inf
3.3563	6.2675	Inf	Inf
3.4563	6.2660	Inf	Inf
3.5402	6.1640	Inf	Inf
3.5502	6.2611	Inf	Inf
3.5822	6.2588	Inf	Inf
3.5830	6.1599	Inf	Inf
3.6822	6.2255	Inf	Inf
3.7822	6.2315	Inf	Inf
3.8814	6.2409	Inf	Inf
3.9425	6.1404	Inf	Inf
3.9479	6.2401	Inf	Inf
3.9578	6.3390	Inf	Inf
4.0578	6.2420	Inf	Inf
4.1578	6.2435	Inf	Inf
4.2333	6.1434	Inf	Inf
4.2455	6.2431	Inf	Inf
4.3455	6.2345	Inf	Inf
4.4455	6.2124	Inf	Inf
4.5463	6.1802	Inf	Inf
4.5562	6.2798	Inf	Inf
4.5845	6.1753	Inf	Inf
4.6852	6.1419	Inf	Inf
4.7852	6.1045	Inf	Inf
4.8852	6.0685	Inf	Inf
4.9669	5.9681	Inf	Inf
4.9730	6.0670	Inf	Inf
5.0737	5.9782	Inf	Inf
5.1745	5.9122	Inf	Inf
5.2745	5.8317	Inf	Inf
5.3287	5.7309	Inf	Inf
5.3432	5.8324	Inf	Inf
5.4355	5.7316	Inf	Inf
5.5355	5.6721	Inf	Inf
5.5607	5.5717	Inf	Inf
5.5645	5.6713	Inf	Inf
5.6355	5.5709	Inf	Inf
5.7302	5.4697	Inf	Inf
5.8233	5.3693	Inf	Inf
5.9164	5.2693	Inf	Inf
5.9989	5.1677	Inf	Inf
6.0775	5.0658	Inf	Inf
6.1760	4.8320	Inf	Inf
6.2935	4.5420	Inf	Inf
6.3668	4.3940	Inf	Inf
6.4385	4.2449	Inf	Inf
6.5103	4.0961	Inf	Inf
Data End	

