Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 14:51:24

Name:	Tensile Test (steel)
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0061	0.1000	Inf	Inf
0.0198	0.1990	Inf	Inf
0.0260	0.2998	Inf	Inf
0.0405	0.4002	Inf	Inf
0.0511	0.4995	Inf	Inf
0.0565	0.5995	Inf	Inf
0.0710	0.9011	Inf	Inf
0.0748	0.7007	Inf	Inf
0.0771	0.8003	Inf	Inf
0.0863	1.0004	Inf	Inf
0.0870	1.0990	Inf	Inf
0.0954	1.1983	Inf	Inf
0.0992	1.2991	Inf	Inf
0.1000	1.3980	Inf	Inf
0.1092	1.5962	Inf	Inf
0.1107	1.4969	Inf	Inf
0.1137	1.8967	Inf	Inf
0.1145	1.7974	Inf	Inf
0.1153	1.6970	Inf	Inf
0.1198	1.9964	Inf	Inf
0.1206	2.0960	Inf	Inf
0.1267	2.1968	Inf	Inf
0.1321	2.5438	Inf	Inf
0.1328	2.4426	Inf	Inf
0.1343	2.6434	Inf	Inf
0.1420	2.8001	Inf	Inf
0.1458	2.9061	Inf	Inf
0.1519	3.0050	Inf	Inf
0.1557	3.1347	Inf	Inf
0.1611	3.3733	Inf	Inf
0.1618	3.2355	Inf	Inf
0.1626	3.4726	Inf	Inf
0.1702	3.8084	Inf	Inf
0.1710	3.5764	Inf	Inf
0.1717	3.7064	Inf	Inf
0.1756	3.9298	Inf	Inf
0.1786	4.0575	Inf	Inf
0.1824	4.2719	Inf	Inf
0.1862	4.1579	Inf	Inf
0.1862	4.4082	Inf	Inf
0.1893	4.5214	Inf	Inf
0.1992	4.6679	Inf	Inf
0.2030	4.7938	Inf	Inf
0.2038	4.8931	Inf	Inf
0.2076	5.0167	Inf	Inf
0.2091	5.1325	Inf	Inf
0.2114	5.2314	Inf	Inf
0.2137	5.3322	Inf	Inf
0.2198	5.5327	Inf	Inf
0.2206	5.4315	Inf	Inf
0.2221	5.6339	Inf	Inf
0.2275	5.7324	Inf	Inf
0.2305	5.8321	Inf	Inf
0.2351	6.0318	Inf	Inf
0.2366	5.9332	Inf	Inf
0.2366	6.1329	Inf	Inf
0.2382	6.6347	Inf	Inf
0.2420	6.3900	Inf	Inf
0.2435	6.2783	Inf	Inf
0.2458	6.5342	Inf	Inf
0.2603	6.9490	Inf	Inf
0.2626	7.1963	Inf	Inf
0.2710	7.5178	Inf	Inf
0.2725	7.3102	Inf	Inf
0.2840	7.6171	Inf	Inf
0.2847	7.7325	Inf	Inf
0.2954	7.9131	Inf	Inf
0.2962	8.1349	Inf	Inf
0.2992	8.3886	Inf	Inf
0.3015	8.2353	Inf	Inf
0.3046	8.5598	Inf	Inf
0.3053	8.6610	Inf	Inf
0.3076	8.8307	Inf	Inf
0.3168	9.0563	Inf	Inf
0.3282	9.4021	Inf	Inf
0.4290	9.3204	Inf	Inf
0.4473	9.4197	Inf	Inf
0.5068	9.5209	Inf	Inf
0.5580	9.4182	Inf	Inf
0.6580	9.5149	Inf	Inf
0.6801	9.6164	Inf	Inf
0.6946	9.7142	Inf	Inf
0.7419	9.8124	Inf	Inf
0.8419	9.6644	Inf	Inf
0.9144	9.5610	Inf	Inf
0.9366	9.4587	Inf	Inf
0.9786	9.3530	Inf	Inf
1.0618	9.4542	Inf	Inf
1.1251	9.3523	Inf	Inf
1.2106	9.2466	Inf	Inf
1.2610	9.1398	Inf	Inf
1.2999	9.0364	Inf	Inf
1.3541	8.9311	Inf	Inf
1.3885	9.0300	Inf	Inf
1.3969	9.1312	Inf	Inf
1.4289	9.2309	Inf	Inf
1.4434	9.1297	Inf	Inf
1.4587	9.2279	Inf	Inf
1.4854	9.3276	Inf	Inf
1.5091	9.4280	Inf	Inf
1.5564	9.5273	Inf	Inf
1.5869	9.3148	Inf	Inf
1.5892	9.4235	Inf	Inf
1.5900	9.2099	Inf	Inf
1.5991	9.1080	Inf	Inf
1.6022	9.2058	Inf	Inf
1.6075	9.4332	Inf	Inf
1.6289	9.5340	Inf	Inf
1.6365	9.6344	Inf	Inf
1.6648	9.7453	Inf	Inf
1.6869	9.8458	Inf	Inf
1.7045	9.9450	Inf	Inf
1.7457	10.0443	Inf	Inf
1.7984	10.1451	Inf	Inf
1.8304	10.2452	Inf	Inf
1.8724	10.3437	Inf	Inf
1.9464	10.4460	Inf	Inf
1.9961	10.5449	Inf	Inf
2.0632	10.6405	Inf	Inf
2.0976	10.7375	Inf	Inf
2.1686	10.8379	Inf	Inf
2.2189	10.9365	Inf	Inf
2.3189	10.9586	Inf	Inf
2.3380	11.0612	Inf	Inf
2.4388	11.1459	Inf	Inf
2.5281	11.2460	Inf	Inf
2.5617	11.1418	Inf	Inf
2.5647	11.0283	Inf	Inf
2.5678	10.9271	Inf	Inf
2.5747	11.0275	Inf	Inf
2.5785	11.1276	Inf	Inf
2.6006	11.2651	Inf	Inf
2.6777	11.3655	Inf	Inf
2.7777	11.4352	Inf	Inf
2.8586	11.5352	Inf	Inf
2.9594	11.6195	Inf	Inf
3.0586	11.6739	Inf	Inf
3.1136	11.7747	Inf	Inf
3.2135	11.8402	Inf	Inf
3.3135	11.7072	Inf	Inf
3.3181	11.8043	Inf	Inf
3.3601	11.9043	Inf	Inf
3.4601	11.9605	Inf	Inf
3.5578	11.7559	Inf	Inf
3.5593	11.8571	Inf	Inf
3.5670	11.6548	Inf	Inf
3.5715	11.7570	Inf	Inf
3.5815	11.8537	Inf	Inf
3.5998	12.0853	Inf	Inf
3.6998	12.0122	Inf	Inf
3.8005	12.0647	Inf	Inf
3.9005	12.1284	Inf	Inf
4.0013	12.1419	Inf	Inf
4.1020	12.2284	Inf	Inf
4.1921	12.1246	Inf	Inf
4.1959	12.0223	Inf	Inf
4.2089	12.1250	Inf	Inf
4.2173	12.2539	Inf	Inf
4.3173	12.3281	Inf	Inf
4.4173	12.3344	Inf	Inf
4.5173	12.3798	Inf	Inf
4.6173	12.3682	Inf	Inf
4.7173	12.3862	Inf	Inf
4.8180	12.4495	Inf	Inf
4.9081	12.3479	Inf	Inf
4.9142	12.2468	Inf	Inf
4.9157	12.2494	Inf	Inf
