Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 15:05:12

Name:	Timber Normal Compression
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0195	Inf	Inf
0.2008	0.0311	Inf	Inf
0.3007	0.0187	Inf	Inf
0.4007	0.0974	Inf	Inf
0.4404	0.1975	Inf	Inf
0.4664	0.2971	Inf	Inf
0.5023	0.3987	Inf	Inf
0.5274	0.4987	Inf	Inf
0.5587	0.5980	Inf	Inf
0.5855	0.6969	Inf	Inf
0.6168	0.7977	Inf	Inf
0.6465	0.8981	Inf	Inf
0.7030	0.9993	Inf	Inf
0.7725	1.0993	Inf	Inf
0.8725	1.1211	Inf	Inf
0.9732	1.1338	Inf	Inf
1.0732	1.0982	Inf	Inf
1.1740	1.1896	Inf	Inf
1.2740	1.2185	Inf	Inf
1.3747	1.2305	Inf	Inf
1.4159	1.1293	Inf	Inf
1.4396	1.2290	Inf	Inf
1.5312	1.3290	Inf	Inf
1.6312	1.3478	Inf	Inf
1.7312	1.4115	Inf	Inf
1.8090	1.3107	Inf	Inf
1.8663	1.4103	Inf	Inf
1.9663	1.3957	Inf	Inf
2.0663	1.4025	Inf	Inf
2.1174	1.3013	Inf	Inf
2.1396	1.4010	Inf	Inf
2.2403	1.4789	Inf	Inf
2.3411	1.4920	Inf	Inf
2.4418	1.5295	Inf	Inf
2.5426	1.5205	Inf	Inf
2.5685	1.4186	Inf	Inf
2.6021	1.5197	Inf	Inf
2.7021	1.5598	Inf	Inf
2.8029	1.5936	Inf	Inf
2.9029	1.5437	Inf	Inf
2.9464	1.6449	Inf	Inf
3.0471	1.6711	Inf	Inf
3.1471	1.7644	Inf	Inf
3.2471	1.7431	Inf	Inf
3.2647	1.6415	Inf	Inf
3.2906	1.7404	Inf	Inf
3.3906	1.8349	Inf	Inf
3.4906	1.8615	Inf	Inf
3.5906	1.8330	Inf	Inf
3.6005	1.7314	Inf	Inf
3.6288	1.8319	Inf	Inf
3.7288	1.8581	Inf	Inf
3.8295	1.8532	Inf	Inf
3.9295	1.8135	Inf	Inf
3.9662	1.7123	Inf	Inf
3.9944	1.8124	Inf	Inf
4.0952	1.8986	Inf	Inf
4.1952	1.8982	Inf	Inf
4.2807	1.7963	Inf	Inf
4.3158	1.8974	Inf	Inf
4.4158	1.9791	Inf	Inf
4.5158	2.0533	Inf	Inf
4.6157	2.0608	Inf	Inf
4.7157	2.1016	Inf	Inf
4.7463	2.0008	Inf	Inf
4.7570	1.9001	Inf	Inf
4.7814	1.9997	Inf	Inf
4.7982	2.1140	Inf	Inf
4.8982	2.1312	Inf	Inf
4.9982	2.1271	Inf	Inf
5.0982	2.1792	Inf	Inf
5.1989	2.1691	Inf	Inf
5.2592	2.2684	Inf	Inf
