Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 15:08:18

Name:	Timber Parallel Compression
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0281	Inf	Inf
0.2008	0.0236	Inf	Inf
0.2771	0.1229	Inf	Inf
0.3175	0.2222	Inf	Inf
0.3717	0.4178	Inf	Inf
0.4152	0.6437	Inf	Inf
0.4649	0.9349	Inf	Inf
0.4748	1.0727	Inf	Inf
0.4893	1.1750	Inf	Inf
0.5000	1.2736	Inf	Inf
0.5236	1.6363	Inf	Inf
0.5450	1.8588	Inf	Inf
0.5458	2.0481	Inf	Inf
0.5671	2.3969	Inf	Inf
0.5839	2.6374	Inf	Inf
0.5908	2.8293	Inf	Inf
0.5969	3.0391	Inf	Inf
0.6053	3.1384	Inf	Inf
0.6061	3.2546	Inf	Inf
0.6183	3.6139	Inf	Inf
0.6267	3.8267	Inf	Inf
0.6358	4.1253	Inf	Inf
0.6427	4.4701	Inf	Inf
0.6595	4.7882	Inf	Inf
0.6656	5.1258	Inf	Inf
0.6748	5.4619	Inf	Inf
0.6793	5.8399	Inf	Inf
0.6977	6.1374	Inf	Inf
0.7015	6.0366	Inf	Inf
0.7038	6.1378	Inf	Inf
0.7106	6.2409	Inf	Inf
0.7198	6.5818	Inf	Inf
0.7229	6.9588	Inf	Inf
0.7396	7.2596	Inf	Inf
0.7442	7.5114	Inf	Inf
0.7603	7.7003	Inf	Inf
0.7633	8.0356	Inf	Inf
0.7648	8.2439	Inf	Inf
0.7748	8.4448	Inf	Inf
0.7931	8.9278	Inf	Inf
0.8145	9.2110	Inf	Inf
0.8190	9.5782	Inf	Inf
0.8320	9.4767	Inf	Inf
0.8343	9.2725	Inf	Inf
0.8351	9.3751	Inf	Inf
0.8435	9.1724	Inf	Inf
0.8465	9.3665	Inf	Inf
0.8480	9.2717	Inf	Inf
0.8480	9.7858	Inf	Inf
0.8625	10.3954	Inf	Inf
0.8778	10.8252	Inf	Inf
0.8832	10.5599	Inf	Inf
0.8862	10.4168	Inf	Inf
0.8969	10.3164	Inf	Inf
0.8977	10.2144	Inf	Inf
0.8999	10.3175	Inf	Inf
0.9045	10.4261	Inf	Inf
0.9152	10.7716	Inf	Inf
0.9297	11.1834	Inf	Inf
0.9534	11.6514	Inf	Inf
0.9831	11.8961	Inf	Inf
1.0289	12.0639	Inf	Inf
1.0717	12.3682	Inf	Inf
