Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 15:43:54

Name:	18_b_steel
User Comment:	Nairn, Koby and Weronika

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0991	0.0392	Inf	Inf
0.1988	0.0369	Inf	Inf
0.2995	0.0543	Inf	Inf
0.3997	0.0616	Inf	Inf
0.5000	0.0666	Inf	Inf
0.5998	0.0800	Inf	Inf
0.6998	0.0759	Inf	Inf
0.7994	0.0793	Inf	Inf
0.8987	0.0827	Inf	Inf
0.9977	0.0831	Inf	Inf
1.0978	0.0837	Inf	Inf
1.1982	0.0894	Inf	Inf
1.2976	0.0784	Inf	Inf
1.3978	0.0802	Inf	Inf
1.4981	0.0900	Inf	Inf
1.5981	0.0755	Inf	Inf
1.6982	0.0821	Inf	Inf
1.7978	0.0793	Inf	Inf
1.8983	0.0781	Inf	Inf
1.9303	0.1778	Inf	Inf
1.9532	0.2777	Inf	Inf
1.9598	0.3806	Inf	Inf
1.9651	0.5018	Inf	Inf
1.9713	0.8003	Inf	Inf
1.9742	0.6009	Inf	Inf
1.9780	0.7003	Inf	Inf
1.9785	0.9003	Inf	Inf
1.9840	1.0207	Inf	Inf
1.9854	1.1715	Inf	Inf
1.9912	1.2712	Inf	Inf
1.9922	1.3721	Inf	Inf
1.9938	1.4722	Inf	Inf
2.0013	1.5721	Inf	Inf
2.0083	1.6722	Inf	Inf
2.0132	1.7716	Inf	Inf
2.0137	1.8708	Inf	Inf
2.0159	2.0707	Inf	Inf
2.0281	1.9708	Inf	Inf
2.0320	2.1704	Inf	Inf
2.0334	2.2701	Inf	Inf
2.0357	2.3695	Inf	Inf
2.0371	2.4699	Inf	Inf
2.0385	2.5693	Inf	Inf
2.0415	2.6688	Inf	Inf
2.0534	2.8760	Inf	Inf
2.0578	3.1371	Inf	Inf
2.0587	2.9983	Inf	Inf
2.0640	3.2367	Inf	Inf
2.0712	3.4372	Inf	Inf
2.0731	3.3362	Inf	Inf
2.0763	3.6368	Inf	Inf
2.0778	3.7371	Inf	Inf
2.0801	3.5376	Inf	Inf
2.0813	3.8372	Inf	Inf
2.0864	4.0379	Inf	Inf
2.0899	4.1377	Inf	Inf
2.0910	3.9379	Inf	Inf
2.0946	4.3371	Inf	Inf
2.0976	4.2376	Inf	Inf
2.0990	4.4375	Inf	Inf
2.1027	4.5381	Inf	Inf
2.1070	4.6378	Inf	Inf
2.1088	4.8368	Inf	Inf
2.1157	4.7377	Inf	Inf
2.1182	5.1369	Inf	Inf
2.1186	5.0367	Inf	Inf
2.1225	4.9372	Inf	Inf
2.1243	5.2965	Inf	Inf
2.1273	5.4405	Inf	Inf
2.1301	5.6413	Inf	Inf
2.1347	5.7418	Inf	Inf
2.1354	5.8431	Inf	Inf
2.1366	5.5405	Inf	Inf
2.1422	6.0439	Inf	Inf
2.1431	5.9434	Inf	Inf
2.1469	6.1426	Inf	Inf
2.1505	6.2423	Inf	Inf
2.1533	6.6063	Inf	Inf
2.1548	6.3696	Inf	Inf
2.1567	6.4706	Inf	Inf
2.1609	6.9293	Inf	Inf
2.1610	6.8298	Inf	Inf
2.1633	7.1062	Inf	Inf
2.1713	7.3286	Inf	Inf
2.1770	7.5212	Inf	Inf
2.1808	8.2395	Inf	Inf
2.1812	7.6920	Inf	Inf
2.1822	8.1393	Inf	Inf
2.1830	8.0411	Inf	Inf
2.1843	7.8803	Inf	Inf
2.1876	8.3395	Inf	Inf
2.1908	8.6093	Inf	Inf
2.1969	8.4402	Inf	Inf
2.1979	8.9671	Inf	Inf
2.2063	9.3042	Inf	Inf
2.2066	8.8139	Inf	Inf
2.2102	9.4407	Inf	Inf
2.2128	9.1863	Inf	Inf
2.2207	9.5959	Inf	Inf
2.2212	9.6951	Inf	Inf
2.2216	9.7946	Inf	Inf
2.2255	9.8925	Inf	Inf
2.2326	10.0933	Inf	Inf
2.2392	10.3316	Inf	Inf
2.2445	10.4779	Inf	Inf
2.2456	10.2148	Inf	Inf
2.2505	10.7760	Inf	Inf
2.2509	10.6753	Inf	Inf
2.2556	10.8770	Inf	Inf
2.2625	11.0191	Inf	Inf
2.2637	11.1808	Inf	Inf
2.2685	11.4594	Inf	Inf
2.2827	11.3222	Inf	Inf
2.3702	10.0250	Inf	Inf
2.3733	9.9140	Inf	Inf
2.4031	9.7386	Inf	Inf
2.4176	9.6088	Inf	Inf
2.4490	9.5050	Inf	Inf
2.5497	9.4810	Inf	Inf
2.5734	9.5811	Inf	Inf
2.6487	9.4763	Inf	Inf
2.6533	9.3736	Inf	Inf
2.6655	9.2731	Inf	Inf
2.6690	9.1721	Inf	Inf
2.6774	9.2718	Inf	Inf
2.6918	9.3704	Inf	Inf
2.7072	9.4698	Inf	Inf
2.8068	9.4921	Inf	Inf
2.8641	9.5914	Inf	Inf
2.9639	9.5766	Inf	Inf
3.0062	9.4734	Inf	Inf
3.0237	9.3724	Inf	Inf
3.0314	9.2708	Inf	Inf
3.0470	9.3764	Inf	Inf
3.0592	9.6066	Inf	Inf
3.1440	9.7052	Inf	Inf
3.1868	9.6036	Inf	Inf
3.2670	9.7033	Inf	Inf
3.3063	9.8025	Inf	Inf
3.3529	9.9026	Inf	Inf
3.3926	10.0012	Inf	Inf
3.4144	10.1011	Inf	Inf
3.4262	10.2022	Inf	Inf
3.4492	10.0710	Inf	Inf
3.4682	9.9701	Inf	Inf
3.4713	9.8693	Inf	Inf
3.4740	9.9654	Inf	Inf
3.4816	10.0974	Inf	Inf
3.4915	10.1972	Inf	Inf
3.5213	10.2958	Inf	Inf
3.5572	10.3959	Inf	Inf
3.6111	10.4955	Inf	Inf
3.6558	10.5965	Inf	Inf
3.6760	10.4927	Inf	Inf
3.6794	10.3924	Inf	Inf
3.6905	10.4935	Inf	Inf
3.7188	10.5936	Inf	Inf
3.7386	10.6934	Inf	Inf
3.7871	10.7932	Inf	Inf
3.8872	10.8420	Inf	Inf
3.9128	10.9419	Inf	Inf
3.9544	11.0443	Inf	Inf
3.9888	10.8398	Inf	Inf
3.9892	10.9419	Inf	Inf
3.9926	10.7396	Inf	Inf
4.0079	10.8417	Inf	Inf
4.0171	11.0018	Inf	Inf
4.0465	11.0980	Inf	Inf
4.1374	11.1988	Inf	Inf
4.1469	11.0970	Inf	Inf
4.1610	11.1969	Inf	Inf
4.2222	11.2982	Inf	Inf
4.2955	11.3972	Inf	Inf
4.3123	11.2944	Inf	Inf
4.3206	11.3947	Inf	Inf
4.3428	11.2918	Inf	Inf
4.3566	11.3874	Inf	Inf
4.3764	11.5833	Inf	Inf
4.4142	11.4707	Inf	Inf
4.4154	11.3244	Inf	Inf
4.4177	11.2242	Inf	Inf
4.4230	11.3199	Inf	Inf
4.4253	11.4567	Inf	Inf
4.4533	11.5560	Inf	Inf
4.5541	11.5193	Inf	Inf
4.5712	11.6191	Inf	Inf
4.6223	11.7191	Inf	Inf
4.7216	11.7652	Inf	Inf
4.7790	11.8662	Inf	Inf
4.8087	11.7649	Inf	Inf
4.8236	11.8651	Inf	Inf
4.8373	11.9652	Inf	Inf
4.9176	11.8611	Inf	Inf
4.9222	11.7598	Inf	Inf
4.9279	11.7657	Inf	Inf
4.9282	11.6593	Inf	Inf
4.9543	11.8791	Inf	Inf
4.9833	11.9810	Inf	Inf
5.0255	12.0792	Inf	Inf
5.1253	12.1063	Inf	Inf
5.2234	12.2062	Inf	Inf
5.2659	12.1015	Inf	Inf
5.2689	12.2026	Inf	Inf
5.3689	12.2262	Inf	Inf
5.4412	12.3258	Inf	Inf
5.5411	12.2757	Inf	Inf
5.5640	12.1741	Inf	Inf
5.5722	12.0737	Inf	Inf
5.5768	12.1777	Inf	Inf
5.5926	12.2830	Inf	Inf
5.6012	12.3939	Inf	Inf
5.7002	12.3950	Inf	Inf
5.7791	12.4954	Inf	Inf
5.8792	12.4531	Inf	Inf
5.9186	12.5535	Inf	Inf
6.0188	12.5506	Inf	Inf
6.1189	12.6003	Inf	Inf
6.1747	12.6986	Inf	Inf
6.2400	12.5952	Inf	Inf
6.2556	12.4925	Inf	Inf
