Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 15:49:05

Name:	18_b_TimberParallel
User Comment:	Nairn, Koby and Weronika

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1005	0.0255	Inf	Inf
0.2009	0.0274	Inf	Inf
0.3012	0.0347	Inf	Inf
0.4014	0.0307	Inf	Inf
0.5010	0.0349	Inf	Inf
0.6014	0.0263	Inf	Inf
0.7016	0.0202	Inf	Inf
0.8006	0.0294	Inf	Inf
0.9005	0.0304	Inf	Inf
1.0001	0.0334	Inf	Inf
1.0990	0.0278	Inf	Inf
1.1995	0.0330	Inf	Inf
1.2994	0.0287	Inf	Inf
1.3987	0.0219	Inf	Inf
1.4990	0.0299	Inf	Inf
1.5987	0.0288	Inf	Inf
1.6875	0.1290	Inf	Inf
1.7016	0.2277	Inf	Inf
1.7179	0.3275	Inf	Inf
1.7234	0.4548	Inf	Inf
1.7300	0.7352	Inf	Inf
1.7444	0.9412	Inf	Inf
1.7517	1.0416	Inf	Inf
1.7605	1.1435	Inf	Inf
1.7732	1.4801	Inf	Inf
1.7741	1.3305	Inf	Inf
1.7847	1.6695	Inf	Inf
1.7852	2.0578	Inf	Inf
1.8086	2.3612	Inf	Inf
1.8150	2.6509	Inf	Inf
1.8277	3.1520	Inf	Inf
1.8437	3.4502	Inf	Inf
1.8533	3.5502	Inf	Inf
1.8552	3.6997	Inf	Inf
1.8681	4.3328	Inf	Inf
1.8797	4.5515	Inf	Inf
1.8815	4.4499	Inf	Inf
1.8937	5.2884	Inf	Inf
1.9103	5.7529	Inf	Inf
1.9344	6.1427	Inf	Inf
1.9370	6.3731	Inf	Inf
1.9498	6.6581	Inf	Inf
1.9609	7.0242	Inf	Inf
1.9656	7.3631	Inf	Inf
1.9776	7.4635	Inf	Inf
1.9854	7.3617	Inf	Inf
1.9943	7.3547	Inf	Inf
1.9947	7.2609	Inf	Inf
1.9958	7.4530	Inf	Inf
2.0010	7.6693	Inf	Inf
2.0098	8.2379	Inf	Inf
2.0284	8.4727	Inf	Inf
2.0484	8.7529	Inf	Inf
2.0644	8.9838	Inf	Inf
2.0857	9.1975	Inf	Inf
2.0977	9.3796	Inf	Inf
2.1190	9.5252	Inf	Inf
2.1354	9.6240	Inf	Inf
2.1590	9.7595	Inf	Inf
2.1713	9.9995	Inf	Inf
2.1982	9.8932	Inf	Inf
2.2040	9.7134	Inf	Inf
2.2083	9.5813	Inf	Inf
2.2167	9.4797	Inf	Inf
2.2227	9.3784	Inf	Inf
2.2292	9.4812	Inf	Inf
2.2294	9.5796	Inf	Inf
2.2541	10.0949	Inf	Inf
2.2654	10.3665	Inf	Inf
2.3655	10.4606	Inf	Inf
2.4650	10.5253	Inf	Inf
2.5646	10.5601	Inf	Inf
2.6248	10.4540	Inf	Inf
2.6280	10.3418	Inf	Inf
2.6459	9.9492	Inf	Inf
2.6575	9.7346	Inf	Inf
2.6595	9.6043	Inf	Inf
2.6695	9.5035	Inf	Inf
2.6754	9.4022	Inf	Inf
2.6843	9.5018	Inf	Inf
2.6925	9.8658	Inf	Inf
2.7177	10.0226	Inf	Inf
2.7286	10.1624	Inf	Inf
2.7515	10.2692	Inf	Inf
2.7908	10.3692	Inf	Inf
2.8552	10.2652	Inf	Inf
2.9062	10.1588	Inf	Inf
2.9471	10.0533	Inf	Inf
3.0021	9.9498	Inf	Inf
3.0685	9.8388	Inf	Inf
3.0819	9.5961	Inf	Inf
3.1009	9.3243	Inf	Inf
3.1085	9.1615	Inf	Inf
3.1088	9.0458	Inf	Inf
3.1148	8.9445	Inf	Inf
3.1228	9.0474	Inf	Inf
3.1350	9.2236	Inf	Inf
3.1527	9.3955	Inf	Inf
3.1622	9.7370	Inf	Inf
3.2040	9.8357	Inf	Inf
3.2418	9.9356	Inf	Inf
3.3168	9.8216	Inf	Inf
3.3267	9.6461	Inf	Inf
3.3911	9.7494	Inf	Inf
3.4374	9.6450	Inf	Inf
3.4534	9.5404	Inf	Inf
3.4740	9.0324	Inf	Inf
3.4980	8.7468	Inf	Inf
3.5057	8.5796	Inf	Inf
3.5155	8.3684	Inf	Inf
3.5193	8.4700	Inf	Inf
3.5247	8.4723	Inf	Inf
3.5299	8.8592	Inf	Inf
3.5477	8.9793	Inf	Inf
3.5763	9.2667	Inf	Inf
3.6764	9.2896	Inf	Inf
3.6940	9.1872	Inf	Inf
3.7310	9.0802	Inf	Inf
3.7493	8.8987	Inf	Inf
3.8017	8.7902	Inf	Inf
3.8104	8.6238	Inf	Inf
3.8254	8.3665	Inf	Inf
3.8322	8.0891	Inf	Inf
3.8350	8.1962	Inf	Inf
3.8414	8.0890	Inf	Inf
3.8415	7.9877	Inf	Inf
3.8700	8.6014	Inf	Inf
3.8879	8.7016	Inf	Inf
