Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 15:53:06

Name:	18_b_TimberPerpendicular
User Comment:	Nairn, Koby and Weronika

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0999	0.0786	Inf	Inf
0.1999	0.0814	Inf	Inf
0.3005	0.0880	Inf	Inf
0.3988	0.1017	Inf	Inf
0.4993	0.1083	Inf	Inf
0.5994	0.1079	Inf	Inf
0.6994	0.1072	Inf	Inf
0.7994	0.1072	Inf	Inf
0.8993	0.1090	Inf	Inf
0.9991	0.1065	Inf	Inf
1.0994	0.1145	Inf	Inf
1.1990	0.1094	Inf	Inf
1.2988	0.1067	Inf	Inf
1.3992	0.1168	Inf	Inf
1.4994	0.1268	Inf	Inf
1.5935	0.2271	Inf	Inf
1.6543	0.3276	Inf	Inf
1.7005	0.4273	Inf	Inf
1.7525	0.5270	Inf	Inf
1.7923	0.6270	Inf	Inf
1.8417	0.7277	Inf	Inf
1.8778	0.8272	Inf	Inf
1.9296	0.9275	Inf	Inf
1.9791	1.0274	Inf	Inf
2.0390	1.1276	Inf	Inf
2.1222	1.2282	Inf	Inf
2.2045	1.3287	Inf	Inf
2.3047	1.4096	Inf	Inf
2.4045	1.4807	Inf	Inf
2.5039	1.5588	Inf	Inf
2.6039	1.5737	Inf	Inf
2.7036	1.5956	Inf	Inf
2.8039	1.6578	Inf	Inf
2.9037	1.6583	Inf	Inf
3.0041	1.6082	Inf	Inf
3.1041	1.6265	Inf	Inf
3.2034	1.6698	Inf	Inf
3.3027	1.6859	Inf	Inf
3.3840	1.5850	Inf	Inf
3.4425	1.6852	Inf	Inf
3.5428	1.7667	Inf	Inf
3.6425	1.7690	Inf	Inf
3.7426	1.7590	Inf	Inf
3.8046	1.6585	Inf	Inf
3.8618	1.7593	Inf	Inf
3.9619	1.7815	Inf	Inf
4.0619	1.7499	Inf	Inf
4.1620	1.7054	Inf	Inf
4.2452	1.8054	Inf	Inf
4.3453	1.8004	Inf	Inf
4.4454	1.8039	Inf	Inf
4.4683	1.7034	Inf	Inf
4.5290	1.8027	Inf	Inf
4.6294	1.8476	Inf	Inf
4.7291	1.8772	Inf	Inf
4.8292	1.8422	Inf	Inf
4.8758	1.7415	Inf	Inf
4.9571	1.8414	Inf	Inf
5.0571	1.9080	Inf	Inf
5.1576	1.9349	Inf	Inf
5.2573	1.8973	Inf	Inf
5.3577	1.8937	Inf	Inf
5.4574	1.9155	Inf	Inf
5.4933	1.8151	Inf	Inf
5.5810	1.9153	Inf	Inf
5.6812	1.9725	Inf	Inf
5.7809	1.9600	Inf	Inf
5.8072	1.8595	Inf	Inf
5.8843	1.9590	Inf	Inf
5.9852	2.0541	Inf	Inf
6.0853	2.0100	Inf	Inf
6.1805	1.9078	Inf	Inf
6.2809	1.9894	Inf	Inf
6.3815	2.0422	Inf	Inf
6.4663	1.9406	Inf	Inf
6.5660	2.0126	Inf	Inf
6.6659	2.0585	Inf	Inf
6.7658	2.0803	Inf	Inf
6.8654	2.0246	Inf	Inf
6.8709	1.9241	Inf	Inf
6.9714	2.0145	Inf	Inf
7.0718	2.0700	Inf	Inf
7.1725	2.1106	Inf	Inf
7.2733	2.1065	Inf	Inf
7.3364	2.0053	Inf	Inf
7.3778	2.1055	Inf	Inf
7.4777	2.1973	Inf	Inf
7.5782	2.1858	Inf	Inf
7.6778	2.1497	Inf	Inf
7.7773	2.2301	Inf	Inf
7.8775	2.2040	Inf	Inf
7.9777	2.1696	Inf	Inf
8.0776	2.2434	Inf	Inf
8.1775	2.2511	Inf	Inf
8.2772	2.1824	Inf	Inf
8.3769	2.2014	Inf	Inf
8.4764	2.2896	Inf	Inf
8.5766	2.2574	Inf	Inf
8.6767	2.2812	Inf	Inf
8.7764	2.3748	Inf	Inf
8.8758	2.3757	Inf	Inf
8.9760	2.3567	Inf	Inf
9.0758	2.3624	Inf	Inf
9.1761	2.4077	Inf	Inf
9.2760	2.4661	Inf	Inf
9.3767	2.4892	Inf	Inf
9.4761	2.5609	Inf	Inf
9.5757	2.5927	Inf	Inf
9.6755	2.6438	Inf	Inf
9.7752	2.6682	Inf	Inf
9.8755	2.7224	Inf	Inf
9.9758	2.7467	Inf	Inf
10.0763	2.7812	Inf	Inf
10.1757	2.8031	Inf	Inf
10.2770	2.8173	Inf	Inf
10.3764	2.8989	Inf	Inf
10.4758	2.9267	Inf	Inf
10.5765	2.8486	Inf	Inf
10.6238	2.9479	Inf	Inf
10.7246	3.0255	Inf	Inf
10.8205	2.8722	Inf	Inf
