Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 16:47:07

Name:	Steel Tensile
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0099	0.1004	Inf	Inf
0.0221	0.2005	Inf	Inf
0.0397	0.3009	Inf	Inf
0.0542	0.3998	Inf	Inf
0.0603	0.4991	Inf	Inf
0.0794	0.5984	Inf	Inf
0.0878	0.6984	Inf	Inf
0.1015	0.8000	Inf	Inf
0.1061	0.8993	Inf	Inf
0.1084	0.9997	Inf	Inf
0.1145	1.0993	Inf	Inf
0.1221	1.2987	Inf	Inf
0.1229	1.1994	Inf	Inf
0.1366	1.3976	Inf	Inf
0.1382	1.4969	Inf	Inf
0.1481	1.6981	Inf	Inf
0.1511	1.5977	Inf	Inf
0.1664	1.7989	Inf	Inf
0.1679	1.8993	Inf	Inf
0.1710	1.9990	Inf	Inf
0.1710	2.1987	Inf	Inf
0.1725	2.0990	Inf	Inf
0.1756	2.3055	Inf	Inf
0.1847	2.4745	Inf	Inf
0.1916	2.6236	Inf	Inf
0.1992	2.7738	Inf	Inf
0.2030	2.9027	Inf	Inf
0.2076	3.0395	Inf	Inf
0.2160	3.2516	Inf	Inf
0.2237	3.4472	Inf	Inf
0.2275	3.6723	Inf	Inf
0.2328	3.9095	Inf	Inf
0.2389	4.1002	Inf	Inf
0.2504	4.2752	Inf	Inf
0.2549	4.7102	Inf	Inf
0.2565	4.4255	Inf	Inf
0.2580	4.5641	Inf	Inf
0.2694	4.8406	Inf	Inf
0.2717	5.0917	Inf	Inf
0.2740	4.9568	Inf	Inf
0.2771	5.2678	Inf	Inf
0.2809	5.4270	Inf	Inf
0.2862	5.5256	Inf	Inf
0.2916	5.6297	Inf	Inf
0.3015	5.9299	Inf	Inf
0.3046	6.0306	Inf	Inf
0.3084	6.2442	Inf	Inf
0.3160	6.4196	Inf	Inf
0.3168	6.5215	Inf	Inf
0.3206	6.6867	Inf	Inf
0.3229	6.7842	Inf	Inf
0.3259	6.9944	Inf	Inf
0.3298	7.1626	Inf	Inf
0.3336	7.3657	Inf	Inf
0.3366	7.7153	Inf	Inf
0.3397	7.5133	Inf	Inf
0.3420	7.8955	Inf	Inf
0.3527	8.0821	Inf	Inf
0.3618	8.2807	Inf	Inf
0.3679	8.5156	Inf	Inf
0.3702	8.7899	Inf	Inf
0.3771	8.9892	Inf	Inf
0.3786	9.1900	Inf	Inf
0.3817	9.2916	Inf	Inf
0.3832	8.8903	Inf	Inf
0.3923	9.5932	Inf	Inf
0.3954	9.4932	Inf	Inf
0.3954	9.6918	Inf	Inf
0.3984	9.8015	Inf	Inf
0.4061	9.9237	Inf	Inf
0.4084	10.0372	Inf	Inf
0.4450	9.4355	Inf	Inf
0.4702	9.1481	Inf	Inf
0.5183	9.0469	Inf	Inf
0.6076	8.9454	Inf	Inf
0.6282	8.8420	Inf	Inf
0.6564	8.7393	Inf	Inf
0.6870	8.8393	Inf	Inf
0.7702	8.9397	Inf	Inf
0.7847	9.0394	Inf	Inf
0.8007	9.1395	Inf	Inf
0.8068	9.0368	Inf	Inf
0.8236	9.1383	Inf	Inf
0.8633	9.0360	Inf	Inf
0.8778	9.1335	Inf	Inf
0.9114	9.2354	Inf	Inf
0.9274	9.3306	Inf	Inf
0.9656	9.4276	Inf	Inf
0.9915	9.2571	Inf	Inf
1.0045	9.0064	Inf	Inf
1.0083	8.8813	Inf	Inf
1.0175	8.7798	Inf	Inf
1.0251	8.8798	Inf	Inf
1.0396	9.1024	Inf	Inf
1.0679	9.2013	Inf	Inf
1.0839	9.3024	Inf	Inf
1.1320	9.1975	Inf	Inf
1.1495	8.9836	Inf	Inf
1.2259	9.0848	Inf	Inf
1.3053	9.1829	Inf	Inf
1.3243	9.2822	Inf	Inf
1.3541	9.1803	Inf	Inf
1.3549	9.0780	Inf	Inf
1.3625	8.9750	Inf	Inf
1.3747	9.0765	Inf	Inf
1.3930	9.1848	Inf	Inf
1.4327	9.0833	Inf	Inf
1.4885	8.9817	Inf	Inf
1.5411	9.0829	Inf	Inf
1.5518	9.1822	Inf	Inf
1.5656	9.2837	Inf	Inf
1.5953	9.3853	Inf	Inf
1.6503	9.4857	Inf	Inf
1.6747	9.5857	Inf	Inf
1.6801	9.4842	Inf	Inf
1.6915	9.3834	Inf	Inf
1.7022	9.5910	Inf	Inf
1.7236	9.6914	Inf	Inf
1.7991	9.7922	Inf	Inf
1.8610	9.8922	Inf	Inf
1.8923	9.9923	Inf	Inf
1.9487	10.0930	Inf	Inf
2.0495	10.1804	Inf	Inf
2.0571	10.2793	Inf	Inf
2.1419	10.3789	Inf	Inf
2.1632	10.2774	Inf	Inf
2.1754	10.3827	Inf	Inf
2.2121	10.4846	Inf	Inf
2.2876	10.5835	Inf	Inf
2.3876	10.6536	Inf	Inf
2.4365	10.7536	Inf	Inf
2.4762	10.6521	Inf	Inf
2.5166	10.7540	Inf	Inf
2.5937	10.6525	Inf	Inf
2.5960	10.5509	Inf	Inf
2.6082	10.6510	Inf	Inf
2.6258	10.9717	Inf	Inf
2.7258	11.0470	Inf	Inf
2.8258	11.0508	Inf	Inf
2.9166	11.1512	Inf	Inf
3.0174	11.1767	Inf	Inf
3.0433	11.2763	Inf	Inf
3.0540	11.1291	Inf	Inf
3.0784	11.2302	Inf	Inf
3.1036	11.3307	Inf	Inf
3.1326	11.2291	Inf	Inf
3.1380	11.1283	Inf	Inf
3.1456	11.0257	Inf	Inf
3.1487	11.1208	Inf	Inf
3.1548	11.2370	Inf	Inf
3.2349	11.3378	Inf	Inf
3.3349	11.4093	Inf	Inf
3.3593	11.5094	Inf	Inf
3.3754	11.4048	Inf	Inf
3.3815	11.1980	Inf	Inf
3.3960	11.2954	Inf	Inf
3.4013	11.4168	Inf	Inf
3.4181	11.5169	Inf	Inf
3.5181	11.5315	Inf	Inf
3.5738	11.6312	Inf	Inf
3.6738	11.6446	Inf	Inf
3.7456	11.5405	Inf	Inf
3.7471	11.4382	Inf	Inf
3.7578	11.5371	Inf	Inf
3.7654	11.6810	Inf	Inf
3.8662	11.7559	Inf	Inf
3.9662	11.8459	Inf	Inf
4.0501	11.7406	Inf	Inf
4.0524	11.6386	Inf	Inf
4.0623	11.5364	Inf	Inf
4.0761	11.6327	Inf	Inf
4.0799	11.7331	Inf	Inf
4.0875	11.8327	Inf	Inf
4.1875	11.8275	Inf	Inf
4.2074	11.9283	Inf	Inf
4.3074	11.9242	Inf	Inf
4.3814	11.8222	Inf	Inf
4.3822	11.7203	Inf	Inf
4.4013	11.8222	Inf	Inf
4.4119	11.9481	Inf	Inf
4.5119	12.0358	Inf	Inf
4.6119	12.0576	Inf	Inf
4.6295	11.9523	Inf	Inf
4.6333	11.8485	Inf	Inf
4.6440	11.7481	Inf	Inf
4.6463	11.8470	Inf	Inf
4.6600	12.1089	Inf	Inf
4.7600	12.1130	Inf	Inf
4.8600	12.1325	Inf	Inf
4.9600	12.1508	Inf	Inf
5.0600	12.1063	Inf	Inf
5.0692	12.0036	Inf	Inf
5.0714	11.9021	Inf	Inf
5.0875	12.0013	Inf	Inf
5.0997	12.1003	Inf	Inf
5.2004	12.1692	Inf	Inf
5.3012	12.1730	Inf	Inf
5.3363	12.0688	Inf	Inf
5.3470	11.9673	Inf	Inf
5.3554	12.0680	Inf	Inf
5.3600	12.1655	Inf	Inf
5.3752	12.2775	Inf	Inf
5.4752	12.2977	Inf	Inf
5.5752	12.2929	Inf	Inf
5.6760	12.3307	Inf	Inf
5.7684	12.2254	Inf	Inf
5.7699	12.1235	Inf	Inf
5.7729	12.0216	Inf	Inf
5.7783	12.1235	Inf	Inf
5.7867	12.2247	Inf	Inf
5.8050	12.3258	Inf	Inf
5.9042	12.3431	Inf	Inf
6.0050	12.3453	Inf	Inf
6.1050	12.3532	Inf	Inf
6.1179	12.2494	Inf	Inf
6.1187	12.0456	Inf	Inf
6.1279	12.1437	Inf	Inf
6.1309	12.2423	Inf	Inf
6.1485	12.3427	Inf	Inf
6.2492	12.3543	Inf	Inf
6.3492	12.3457	Inf	Inf
6.4370	12.2430	Inf	Inf
6.4378	12.1400	Inf	Inf
6.4553	12.2389	Inf	Inf
6.4569	12.3708	Inf	Inf
6.5569	12.3948	Inf	Inf
6.6576	12.3813	Inf	Inf
6.7576	12.3618	Inf	Inf
6.7660	12.2588	Inf	Inf
6.7713	12.1561	Inf	Inf
6.7805	12.2561	Inf	Inf
6.7897	12.4450	Inf	Inf
6.8897	12.4274	Inf	Inf
6.9889	12.3626	Inf	Inf
7.0889	12.4086	Inf	Inf
7.1370	12.3071	Inf	Inf
7.1415	12.2056	Inf	Inf
7.1438	12.1036	Inf	Inf
7.1530	12.3060	Inf	Inf
7.1545	12.2052	Inf	Inf
7.1660	12.4319	Inf	Inf
7.2660	12.4128	Inf	Inf
7.3660	12.4510	Inf	Inf
7.4660	12.4551	Inf	Inf
7.4965	12.3547	Inf	Inf
7.5026	12.2528	Inf	Inf
7.5110	12.2535	Inf	Inf
