Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 17:04:20

Name:	Timber Normal
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0465	Inf	Inf
0.2000	0.0555	Inf	Inf
0.3015	0.1177	Inf	Inf
0.3710	0.2177	Inf	Inf
0.4198	0.3177	Inf	Inf
0.4534	0.4163	Inf	Inf
0.4893	0.5193	Inf	Inf
0.5206	0.6186	Inf	Inf
0.5618	0.7205	Inf	Inf
0.6068	0.8625	Inf	Inf
0.6542	0.9626	Inf	Inf
0.7053	1.0622	Inf	Inf
0.7419	1.1619	Inf	Inf
0.8419	1.2533	Inf	Inf
0.9419	1.2934	Inf	Inf
1.0419	1.3253	Inf	Inf
1.1419	1.3594	Inf	Inf
1.2427	1.3538	Inf	Inf
1.3434	1.4073	Inf	Inf
1.4442	1.3995	Inf	Inf
1.5442	1.4759	Inf	Inf
1.6442	1.4021	Inf	Inf
1.7442	1.4137	Inf	Inf
1.8434	1.4130	Inf	Inf
1.9434	1.3860	Inf	Inf
2.0434	1.4212	Inf	Inf
2.1434	1.4130	Inf	Inf
2.2441	1.4594	Inf	Inf
2.3441	1.4583	Inf	Inf
2.4441	1.3938	Inf	Inf
2.5449	1.4538	Inf	Inf
2.6456	1.4605	Inf	Inf
2.7449	1.4542	Inf	Inf
2.8456	1.5235	Inf	Inf
2.9449	1.4827	Inf	Inf
3.0441	1.5621	Inf	Inf
3.1441	1.5430	Inf	Inf
3.2441	1.5437	Inf	Inf
3.3441	1.5583	Inf	Inf
3.4448	1.5111	Inf	Inf
3.5456	1.5553	Inf	Inf
3.6456	1.5988	Inf	Inf
3.7463	1.6543	Inf	Inf
3.8456	1.6142	Inf	Inf
3.9463	1.6093	Inf	Inf
4.0471	1.6651	Inf	Inf
4.1478	1.6973	Inf	Inf
4.2478	1.7127	Inf	Inf
4.3486	1.7063	Inf	Inf
4.4486	1.7663	Inf	Inf
4.5493	1.8367	Inf	Inf
4.6501	1.8487	Inf	Inf
4.7501	1.8026	Inf	Inf
4.8463	1.9019	Inf	Inf
4.9463	1.9019	Inf	Inf
5.0463	1.9518	Inf	Inf
5.1463	1.9701	Inf	Inf
5.2470	2.0211	Inf	Inf
5.3470	2.0065	Inf	Inf
5.4470	2.0690	Inf	Inf
5.5470	2.1080	Inf	Inf
5.6470	2.1489	Inf	Inf
5.7470	2.1447	Inf	Inf
5.8470	2.1796	Inf	Inf
5.8943	2.2785	Inf	Inf
5.9951	2.2807	Inf	Inf
6.0958	2.2493	Inf	Inf
6.1561	2.3482	Inf	Inf
6.2561	2.3748	Inf	Inf
6.2889	2.2706	Inf	Inf
6.3691	2.3688	Inf	Inf
6.4691	2.3774	Inf	Inf
6.5691	2.4265	Inf	Inf
6.6691	2.4164	Inf	Inf
6.7683	2.4486	Inf	Inf
6.8683	2.5307	Inf	Inf
6.9683	2.5116	Inf	Inf
7.0683	2.6063	Inf	Inf
7.1217	2.5033	Inf	Inf
7.2141	2.6060	Inf	Inf
7.2934	2.7075	Inf	Inf
7.3408	2.6063	Inf	Inf
7.4278	2.7064	Inf	Inf
7.5278	2.6955	Inf	Inf
7.6278	2.7641	Inf	Inf
7.7270	2.8278	Inf	Inf
7.7835	2.7233	Inf	Inf
7.7965	2.6210	Inf	Inf
7.8255	2.7206	Inf	Inf
7.8858	2.8218	Inf	Inf
