Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 27.02.2023	Time: 17:01:07

Name:	Timber Parallel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0296	Inf	Inf
0.2000	0.0326	Inf	Inf
0.2778	0.1319	Inf	Inf
0.3023	0.2327	Inf	Inf
0.3114	0.3331	Inf	Inf
0.3259	0.4343	Inf	Inf
0.3427	0.5347	Inf	Inf
0.3435	0.6355	Inf	Inf
0.3618	0.7359	Inf	Inf
0.3641	0.8359	Inf	Inf
0.3755	0.9341	Inf	Inf
0.3832	1.1353	Inf	Inf
0.3946	1.2346	Inf	Inf
0.3984	1.3343	Inf	Inf
0.4076	1.4324	Inf	Inf
0.4114	1.5321	Inf	Inf
0.4168	1.6329	Inf	Inf
0.4221	1.7329	Inf	Inf
0.4244	1.8326	Inf	Inf
0.4328	2.0346	Inf	Inf
0.4336	2.1354	Inf	Inf
0.4374	2.2335	Inf	Inf
0.4435	2.5348	Inf	Inf
0.4450	2.4340	Inf	Inf
0.4519	2.7611	Inf	Inf
0.4534	2.6363	Inf	Inf
0.4588	2.8626	Inf	Inf
0.4610	2.9627	Inf	Inf
0.4656	3.0676	Inf	Inf
0.4694	3.4681	Inf	Inf
0.4702	3.3685	Inf	Inf
0.4710	3.1684	Inf	Inf
0.4740	3.2684	Inf	Inf
0.4801	3.5686	Inf	Inf
0.4809	3.7675	Inf	Inf
0.4824	3.8694	Inf	Inf
0.4839	3.6675	Inf	Inf
0.4931	3.9691	Inf	Inf
0.4992	4.1707	Inf	Inf
0.5084	4.2689	Inf	Inf
0.5114	4.3685	Inf	Inf
0.5137	4.4686	Inf	Inf
0.5183	4.6694	Inf	Inf
0.5191	4.5690	Inf	Inf
0.5213	4.8077	Inf	Inf
0.5274	5.0055	Inf	Inf
0.5320	4.9070	Inf	Inf
0.5389	5.1048	Inf	Inf
0.5420	5.2060	Inf	Inf
0.5542	5.3045	Inf	Inf
0.5565	5.4304	Inf	Inf
0.5626	5.5406	Inf	Inf
0.5633	5.7092	Inf	Inf
0.5732	5.9100	Inf	Inf
0.5740	5.8092	Inf	Inf
0.5855	6.2993	Inf	Inf
0.5862	6.0089	Inf	Inf
0.5954	6.4020	Inf	Inf
0.5977	6.5009	Inf	Inf
0.6000	6.6024	Inf	Inf
0.6053	6.8284	Inf	Inf
0.6068	6.9550	Inf	Inf
0.6160	7.1810	Inf	Inf
0.6320	7.3825	Inf	Inf
0.6419	7.4844	Inf	Inf
0.6481	7.5841	Inf	Inf
0.6503	7.6860	Inf	Inf
0.6603	7.7898	Inf	Inf
0.6687	7.8947	Inf	Inf
0.6740	8.1094	Inf	Inf
0.6847	8.2114	Inf	Inf
0.6916	8.4081	Inf	Inf
0.6961	8.2964	Inf	Inf
0.6992	8.1945	Inf	Inf
0.7084	8.2960	Inf	Inf
0.7129	8.3440	Inf	Inf
0.7145	8.4448	Inf	Inf
0.7229	8.4418	Inf	Inf
0.7290	8.5902	Inf	Inf
