Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 12:58:09

Name:	Aluminum Group 11B
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1008	0.0661	Inf	Inf
0.2009	0.0818	Inf	Inf
0.3002	0.0767	Inf	Inf
0.4006	0.1121	Inf	Inf
0.4999	0.1206	Inf	Inf
0.5996	0.1249	Inf	Inf
0.6996	0.1213	Inf	Inf
0.7989	0.1234	Inf	Inf
0.8999	0.1325	Inf	Inf
0.9995	0.2323	Inf	Inf
1.0287	0.3321	Inf	Inf
1.0448	0.4319	Inf	Inf
1.0603	0.5313	Inf	Inf
1.0701	0.6310	Inf	Inf
1.0796	0.7304	Inf	Inf
1.0880	0.8312	Inf	Inf
1.0971	0.9320	Inf	Inf
1.1083	1.0320	Inf	Inf
1.1156	1.1318	Inf	Inf
1.1235	1.2312	Inf	Inf
1.1324	1.3321	Inf	Inf
1.1430	1.5486	Inf	Inf
1.1462	1.4329	Inf	Inf
1.1622	1.7464	Inf	Inf
1.1694	1.8454	Inf	Inf
1.1787	1.9459	Inf	Inf
1.1814	2.0463	Inf	Inf
1.1839	2.1464	Inf	Inf
1.1969	2.2474	Inf	Inf
1.2018	2.5489	Inf	Inf
1.2057	2.4483	Inf	Inf
1.2104	2.6489	Inf	Inf
1.2159	2.7483	Inf	Inf
1.2212	2.9476	Inf	Inf
1.2231	2.8475	Inf	Inf
1.2324	3.0486	Inf	Inf
1.2359	3.1493	Inf	Inf
1.2381	3.2492	Inf	Inf
1.2437	3.3482	Inf	Inf
1.2499	3.5492	Inf	Inf
1.2509	3.6489	Inf	Inf
1.2515	3.4490	Inf	Inf
1.2624	3.7502	Inf	Inf
1.2789	3.8504	Inf	Inf
1.3003	3.9509	Inf	Inf
1.3290	4.0507	Inf	Inf
1.3664	4.1518	Inf	Inf
1.3823	4.2531	Inf	Inf
1.4502	4.3528	Inf	Inf
1.4765	4.4533	Inf	Inf
1.5314	4.5540	Inf	Inf
1.5629	4.6534	Inf	Inf
1.6104	4.7543	Inf	Inf
1.6668	4.8532	Inf	Inf
1.7140	4.9528	Inf	Inf
1.7700	5.0545	Inf	Inf
1.8091	5.1548	Inf	Inf
1.9012	5.2553	Inf	Inf
1.9680	5.3556	Inf	Inf
2.0476	5.4578	Inf	Inf
2.1478	5.5457	Inf	Inf
2.2480	5.6171	Inf	Inf
2.3323	5.7172	Inf	Inf
2.4323	5.7607	Inf	Inf
2.5313	5.8583	Inf	Inf
2.6309	5.8751	Inf	Inf
2.7313	5.9390	Inf	Inf
2.8317	5.9824	Inf	Inf
2.9317	6.0655	Inf	Inf
3.0318	6.0441	Inf	Inf
3.0667	6.1439	Inf	Inf
3.1661	6.1001	Inf	Inf
3.2666	6.1165	Inf	Inf
3.3662	6.1500	Inf	Inf
3.4664	6.2402	Inf	Inf
3.5666	6.1906	Inf	Inf
3.6660	6.2218	Inf	Inf
3.7655	6.2337	Inf	Inf
3.8651	6.2373	Inf	Inf
3.9652	6.2257	Inf	Inf
4.0445	6.1212	Inf	Inf
4.0477	6.0809	Inf	Inf
4.0481	5.9817	Inf	Inf
4.0481	6.1932	Inf	Inf
4.0507	6.3401	Inf	Inf
4.1510	6.2701	Inf	Inf
4.2507	6.2715	Inf	Inf
4.3504	6.2559	Inf	Inf
4.4495	6.3036	Inf	Inf
4.5499	6.2870	Inf	Inf
4.6467	6.3103	Inf	Inf
4.6500	6.2097	Inf	Inf
4.7462	6.2900	Inf	Inf
4.8460	6.2927	Inf	Inf
4.9470	6.2713	Inf	Inf
5.0475	6.2669	Inf	Inf
5.1468	6.2605	Inf	Inf
5.2467	6.2557	Inf	Inf
5.2977	6.1546	Inf	Inf
5.3041	6.2541	Inf	Inf
5.4040	6.2201	Inf	Inf
5.5038	6.1869	Inf	Inf
5.6038	6.1588	Inf	Inf
5.7036	6.1342	Inf	Inf
5.8035	6.0694	Inf	Inf
5.8891	5.9681	Inf	Inf
5.9895	5.9635	Inf	Inf
6.0894	5.9040	Inf	Inf
6.1886	5.8256	Inf	Inf
6.2886	5.7368	Inf	Inf
6.3886	5.6554	Inf	Inf
6.4880	5.5658	Inf	Inf
6.5871	5.4643	Inf	Inf
6.6694	5.3632	Inf	Inf
6.7622	5.2610	Inf	Inf
6.8456	5.1601	Inf	Inf
6.9204	4.9201	Inf	Inf
7.0515	4.6245	Inf	Inf
7.1305	4.4721	Inf	Inf
7.2152	4.3169	Inf	Inf
7.2985	4.1621	Inf	Inf
7.3751	4.0079	Inf	Inf
Data End	

